id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
FKV72B6QEN,nsga2,100,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,66,0.0635873726275065,59554.36198040069,0.664653376716703,8
RS5BH9YWGS,nsga2,100,crossover,0.3402484975173284,0.0012626262626262,0.0458333333333332,0.030006523157208,0.3400620205250483,0.0579038795599305,0.1008403361344538,0.0009157509157509,89,0.0452801017889747,50401.54731498717,0.45997577782927,2
MOLPSWHLIG,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0566547006181287,48666.72004448137,0.5772440810495162,7
MJ6FGNBN0W,nsga2,101,crossover,0.2302105312712534,0.063034188034188,0.0213178294573642,0.0993589743589743,0.3326523844868004,0.0065934065934065,0.0216346153846154,0.0459983498349834,88,0.0497315598541721,47596.51949522176,0.6032892190395562,6
R7NJISIEH3,nsga2,101,crossover,0.2383890066009192,0.0053418803418803,0.0256410256410255,0.03125,0.3606986206914835,0.0351648351648351,0.0153846153846154,0.0014438943894389,88,0.0580836782089792,46021.14468010616,0.6054010202349985,6
ANKIDE8BSP,nsga2,101,crossover,0.2387853693617737,0.0288461538461538,0.0757575757575756,0.000801282051282,0.3662757494755221,0.0032967032967032,0.0071428571428571,0.0688943894389438,88,0.0452866250395904,46420.01257372759,0.5935884280052782,6
JBKFWQUA9D,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,109,0.0514264659618354,58174.12351289076,0.6307135091171006,7
T7JO2G1H2F,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0548563866041157,72220.21378392914,0.5864803653892867,7
S3PGJT6PME,nsga2,101,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,97,0.0563448940959342,48998.76380823803,0.5560982970102312,8
84YVAILUV4,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,91,0.0486638276848096,55858.24981113269,0.5951343001041046,7
YNNNG3BD9S,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0485616126378749,60904.27136928398,0.613766296058367,7
BR4SDW5B0D,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0515450014526555,62273.33275432211,0.5827780928553471,8
SEAGA1VVJ6,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,97,0.0562670683132285,50876.61570896829,0.5770296339988706,7
6H8A7B9KH8,nsga2,101,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,125,0.0543249918911015,64488.279132964606,0.6476761163772567,8
LL4LWSUQE5,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,131,0.0547014745937026,66486.65033329737,0.6471082221581149,8
5QTEKQ2O4V,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,101,0.0432856445263619,80216.57925187917,0.5683242818903275,8
U43TY898JV,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,113,0.0549959741568172,59764.35253839172,0.5587905865166062,8
UDK5BVYZE8,nsga2,101,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92,0.0581052502828476,59368.55544489989,0.5680212971986518,8
IZ9MM8ARM9,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,126,0.056761583555432,62150.51563036681,0.6187530002318972,9
116KV5F730,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,86,0.0554727882860469,58905.89427858507,0.5768788281621048,8
E4UG46BKYP,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,111,0.05150927909088,67248.83516526739,0.5657313809973911,9
BN9WYQ3YUA,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0575771039424698,40826.048516351104,0.5479127225075887,6
ZR8JGA6GZ7,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,109,0.0556158836791757,52194.65241636588,0.5644780931152115,7
6YXLJD5CNA,nsga2,101,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,101,0.0583649418655198,63030.22506375466,0.6597163264874162,8
WG341BDL4N,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,109,0.0611212752427613,69795.81296017377,0.5652127970208894,8
22GVRPXIC0,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,111,0.0493312360792097,64624.21395519004,0.5784748511883896,8
OMTZFCYE7A,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,109,0.0549878551621898,62044.0252670431,0.6285052818877557,8
ICBDKEXOK4,nsga2,101,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,102,0.0517011366969177,62070.85268143937,0.5930605893588877,7
KMQPW5Z3WC,nsga2,102,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,130,0.0571878395697974,48586.0132670434,0.4782926333094132,6
8XLN6S0IEV,nsga2,102,crossover,0.6118467869074509,0.0021645021645021,0.0833333333333332,0.0084619213539074,0.4339240431264757,0.0002481389578163,0.1180124223602484,0.0516795865633074,129,0.0595382076606765,45471.23019122232,0.4815769476722514,6
9RHP6C2AUY,nsga2,102,crossover,0.6340456411772153,0.0021645021645021,0.1212121212121212,0.001659200265472,0.4463667923966864,0.0002481389578163,0.0942028985507247,0.028423772609819,129,0.0649175707002429,51048.770956364,0.4271352945872046,6
2PU1NO1DMU,nsga2,102,mutation,0.5139552967104553,0.0454545454545454,0.3333333333333333,0.0044798407167745,0.4421166019502631,0.0124069478908188,0.0114942528735632,0.0005617346365576,129,0.0604687477071341,47413.084829623,0.3636814321377624,7
H19CGBTNPP,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0405834429698247,60229.88303127795,0.7101761488003284,8
TFBTPDDOQ5,nsga2,103,crossover,0.4784892465122922,0.0058754406580493,0.009090909090909,0.0058479532163743,0.4,0.0049806308799114,0.0202702702702702,0.0120532438947699,147,0.0280953442340835,31647.56032712772,0.2968642277823385,5
8K2O69MDYE,nsga2,103,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0624818779909946,64292.17262835236,0.6775196354242586,8
GCHFY8QM2L,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0496575884579618,67236.79590500011,0.6452699365882703,8
AHCFN54JG2,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,103,0.0602112128130128,65272.76371514738,0.6442038998806119,8
O496YOUS2W,nsga2,103,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0652971090108745,65778.57511461941,0.6540960906488,8
GYIKNMBV1I,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0561575314179441,68606.12196409734,0.590300260823484,8
HF7HTXHOG1,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,152,0.053430971828977,63463.52676766767,0.7319650466316686,9
NESO5QEL0R,nsga2,103,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,151,0.0508862074245747,66069.41605818993,0.5729374163612632,8
RBBNZKABGK,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,152,0.0499902713969109,65492.87276181631,0.6842599462407638,8
7AUIRJ3T6V,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,136,0.0550891426739811,57581.65703749461,0.6059840892397929,8
6C4QY4JNLJ,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0453849259783913,65195.41233838823,0.7493318873585446,8
WQJ0GURZ7J,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0567177039477711,62134.45446172104,0.7502208989929794,9
ORGYM7SC2N,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0537670634976711,60705.66565996455,0.6466087329881224,8
N7JNME4Q32,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,152,0.062545854627623,69016.05681379647,0.6442256484077545,7
VD03R1DPH2,nsga2,103,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0742723205082676,74842.0394415485,0.5790225965402036,8
0HNL5KU9KB,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,137,0.050573586433743,60445.86655586848,0.7054229048073597,8
UNH4BF1QIM,nsga2,103,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0511633085367192,62108.65707128662,0.6910383167442788,8
420MN6I63T,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,126,0.0544282524373799,54045.52456669106,0.5740361595670846,8
ZLQT4XKJSV,nsga2,103,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,150,0.0464637355624478,61584.85931992291,0.7244082707784494,8
321XWXM1BH,nsga2,104,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,119,0.049290026080337,48763.44738781281,0.5403723773403174,7
OLPZ8E2R70,nsga2,104,mutation,0.3177220165114173,0.0046296296296295,0.0579234972677595,0.0119298245614034,0.3241879586116779,0.0977924944812362,0.2764227642276422,0.0002955956251847,118,0.0460615631720153,30702.008838954727,0.5520036693990145,5
NNHNSO1DBX,nsga2,105,mutation,0.8585786437626906,0.0,1.0,0.03125,1.0,0.0,1.0,0.0,121,0.0689780467290208,43591.88934841944,0.3966400321102981,4
JL38RJC0HL,nsga2,105,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,96,0.0516947574714269,33921.73134854803,0.2879152922002292,6
CTSQ7ZJKWU,nsga2,105,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,122,0.0384017973868547,55050.46668364372,0.5713401994139641,6
7KFBKNA5AC,nsga2,105,crossover,0.2519590804031477,0.1013431013431013,0.0056285178236398,0.1434294871794872,0.3362985074079597,0.0229079008882655,0.0358974358974358,0.0010481081647626,97,0.0470622246985718,37033.453610756405,0.5396087392315413,6
2X3TNN2TBA,nsga2,105,crossover,0.2519590804031477,0.1013431013431013,0.0056285178236398,0.1434294871794872,0.3362985074079597,0.0229079008882655,0.0358974358974358,0.0010481081647626,97,0.0495709797758095,37023.61169337336,0.5395598529765016,6
BE1HNHI0Z9,nsga2,106,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87,0.0557317907850098,56305.22765323663,0.6370753311442275,7
Z5MIVUIX3A,nsga2,106,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,131,0.0411984073069562,51702.74162030643,0.5558514716859114,6
SQ1DFEB8LN,nsga2,106,inicialization,0.683772233983162,0.0,0.0,0.0051169590643275,0.7152526012742504,0.0,0.0,0.0002289377289377,61,0.0856955484270545,62503.99163973451,0.727479253720485,8
0INFW6CJ8V,nsga2,107,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,112,0.0521852459468359,44954.647136497886,0.5392128925747934,7
01WGB21R5K,nsga2,107,mutation,0.3065489801435932,0.2143302180685358,0.0020161290322581,0.0848484848484848,0.2849923391625935,0.0007518796992481,0.0971786833855799,0.0201754385964911,116,0.0651200356848219,53573.49238777708,0.4112350315433299,4
VCC8JMM61S,nsga2,107,crossover,0.3508574955696383,0.0230529595015576,0.2005044136191677,0.0003910068426197,0.3044079395171752,0.0007518796992481,0.0702426564495529,0.0078947368421052,118,0.0590737520774838,49249.25089077815,0.4576921914367408,5
0EWBXNB2EQ,nsga2,107,mutation,0.3105003001700626,0.2049844236760125,0.0069444444444444,0.078396871945259,0.2849923391625935,0.0007518796992481,0.0971786833855799,0.0201754385964911,116,0.0666500356817627,53998.49173811182,0.4049974054852971,4
PHF144N40I,nsga2,107,crossover,0.5271924864615408,0.0186915887850467,0.1428571428571429,0.0005865102639296,0.3923603308369554,0.0026315789473684,0.0277777777777777,0.0026315789473684,120,0.0432387826096932,51252.14144070832,0.4948082492182909,6
DM1V1DIINI,nsga2,107,crossover,0.4236185303038956,0.0118380062305295,0.1082251082251082,0.0007820136852394,0.3319303152960207,0.0492481203007519,0.175438596491228,0.0,125,0.0696425168674825,53623.08100989855,0.4126976423004308,4
3JPIPD154N,nsga2,107,crossover,0.4643833031900151,0.0398753894080996,0.0370370370370369,0.0076246334310849,0.3472902922839155,0.0101503759398496,0.0017482517482517,0.0149122807017544,117,0.0500960382612666,48918.39825628731,0.5571216449190315,6
M1ERY46THD,nsga2,108,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,109,0.0188065168321793,56223.68524124169,0.3459202218884359,7
ZL1Q8ZR4MY,nsga2,108,mutation,0.3009522389350911,0.1716101694915254,0.0897959183673469,0.2090652786814139,0.2231933500358204,0.0844370860927152,0.0093776641091219,0.1088832178879571,112,0.0351160301657837,62637.59988806873,0.440190180666146,3
QX8XC5V0IB,nsga2,108,mutation,0.2917215414875987,0.2934322033898305,0.0228658536585365,0.2938625027109086,0.2239783999078867,0.0074503311258278,0.1135831381733021,0.0698748329080082,142,0.0370441215091255,62290.10353835879,0.4965515627815186,4
63N01EIELE,nsga2,108,mutation,0.3150314836172397,0.1832627118644068,0.0596491228070175,0.1587508132726089,0.2538096757528948,0.0618101545253862,0.015032679738562,0.0093571515372463,119,0.046335252370543,69893.35414875289,0.7398003309661814,3
XRENN5V62X,nsga2,108,crossover,0.2885093778041506,0.1292372881355932,0.1428571428571428,0.1995228800693992,0.2115113915126701,0.1280353200883002,0.0335526315789473,0.1080325677482075,130,0.0559985277245269,64783.062760682566,0.6400348164750037,5
IAK3IRA0R3,nsga2,108,crossover,0.3800577783301453,0.163135593220339,0.0135396518375242,0.0837128605508565,0.2269294370899282,0.0143487858719646,0.0049019607843137,0.0145825738242799,120,0.0528966019176115,53570.500207060926,0.597530375956225,4
UIY8ZQDH37,nsga2,108,crossover,0.3543957368743151,0.0603813559322033,0.0952380952380952,0.0902190414226848,0.2593439201819588,0.0027593818984547,0.06,0.0194434317657066,123,0.0556558617551991,56879.94726787203,0.5463287595723552,4
4YOKRHH0OT,nsga2,108,crossover,0.4582137521969963,0.0063559322033898,0.0333333333333333,0.0507482108002601,0.3562017470696348,0.0027593818984547,0.0238095238095238,0.0195649532142422,121,0.0344639457549768,67338.02920379164,0.4099648508570382,6
C4HWYRLDAQ,nsga2,108,crossover,0.3178619441398789,0.0095338983050847,0.2186147186147186,0.0676642810670136,0.2501428707508913,0.0063465783664459,0.0619195046439629,0.0143395309272086,96,0.0484335127080826,34768.94697985922,0.4843964506670873,3
UHTQHIH04U,nsga2,108,mutation,0.3179632492649432,0.0582627118644067,0.1883116883116883,0.1368466710041205,0.2095329891525547,0.0452538631346578,0.109347442680776,0.0249118969498116,155,0.0464862972216757,44234.05107373749,0.496784651264907,4
IWVDSA28NK,nsga2,108,mutation,0.3067090840886994,0.086864406779661,0.1823770491803278,0.168076339188896,0.2285079391205635,0.0618101545253862,0.0035842293906809,0.020780167699599,141,0.0553399150944606,50686.86306105755,0.5463011845087824,3
VIWKNKXSRH,nsga2,108,crossover,0.339058580524803,0.0720338983050847,0.1247357293868921,0.108870093255259,0.2495334784282512,0.054083885209713,0.0041208791208791,0.0679304897314376,118,0.0468657722485252,51263.63479974254,0.4722151790372536,3
JRUQ3CMFL3,nsga2,108,crossover,0.3828505766638382,0.024364406779661,0.1033434650455926,0.0542181739319019,0.3083904211740489,0.0011037527593818,0.0461997019374068,0.0070482440150686,132,0.0322805813688978,43428.86511173561,0.7003657607930669,5
IZUH0ARPVW,nsga2,108,mutation,0.4289071506620373,0.0063559322033898,0.0516129032258064,0.0225547603556711,0.3602381395431281,0.0160044150110375,0.0,0.0594239883339409,136,0.03912980967995,40548.232558620926,0.5697883906318018,4
SUXBWD1XTD,nsga2,108,crossover,0.3779436373628175,0.0391949152542372,0.1684684684684684,0.0518325742788982,0.2304856200483445,0.0044150110375276,0.0811320754716981,0.0104508445740673,119,0.0199686413283579,54114.65257688389,0.4137785856305392,5
58F0977HIZ,nsga2,109,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,123,0.0562695448838852,56957.45027248916,0.4886212634372751,6
RL2XN2TW11,nsga2,109,crossover,0.2529583152018919,0.0543478260869565,0.14375,0.1698502839442436,0.4017883795368542,0.0054945054945055,0.0098039215686275,0.0072912869121399,117,0.0525383189641825,44056.26033745621,0.5834567388835109,5
