id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
OTKSN68B8V,nsga2,100,mutation,0.5980583132251913,0.0340708239015163,0.0,43,11,43,0.5678246298300215,0.0157652054203778,0.0261049366761436,43,0,13,18,43,8.0
OG8YIZZG91,nsga2,100,mutation,0.7748872497925666,0.0084576265930726,0.2525252525252525,25,8,25,0.7519889059378819,0.0003897762518452,0.0023923444976077,25,1,14,19,25,9.0
61MUBBQQUW,nsga2,100,mutation,0.3959005942704673,0.028031876957425,0.0917213750865196,463,18,463,0.3982205348126177,0.0352208455656731,0.0655715200878558,463,0,18,15,506,6.0
3N8N1FCZEX,nsga2,100,mutation,0.707050130330596,0.000457378523365,0.1873315363881401,41,11,41,0.694389516383108,0.0045031596755734,0.0281923714759535,41,1,17,12,41,9.0
NS7DHB3I80,nsga2,100,crossover,0.7481890579946822,0.0058451424850382,0.2224532224532224,30,9,30,0.7171233742086818,0.0017664328009155,0.0863636363636363,30,1,15,18,30,9.0
8PU7RXL23Z,nsga2,100,crossover,0.6240216518186886,0.012496511519737,0.1350601295097132,53,9,53,0.5819408867168081,0.0125308918412366,0.0498174230568596,53,1,9,13,53,8.0
K45HLMB3MZ,nsga2,100,crossover,0.7215913693967251,0.0046590591956339,0.1689291101055806,38,11,38,0.7002639155981087,0.0013683634373289,0.0448028673835125,38,1,16,24,38,9.0
UFTVNKY57D,nsga2,100,mutation,0.7388610210164207,0.0037443021489038,0.2138836772983113,35,9,35,0.7023526942472897,0.0013683634373289,0.0418943533697632,35,1,22,18,35,9.0
IC9Z7X4YSH,nsga2,100,crossover,0.7296954766024075,0.0037443021489038,0.1943521594684385,37,9,37,0.6983406867662761,0.0029357615564512,0.0347222222222222,37,1,15,13,37,9.0
Y3TY2EIR54,nsga2,100,mutation,0.649314428118023,0.0156749046482061,0.0962772785622593,46,9,46,0.6068746461156933,0.0111625284039077,0.0347054075867635,46,1,9,22,46,8.0
PYZC6NITGZ,nsga2,100,crossover,0.7714398063335977,0.0063567862569382,0.2257053291536049,26,9,26,0.7325081859600926,0.0003897762518452,0.0296442687747034,26,1,15,19,26,9.0
