id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
TP5LGJF6N5,nsga2,101,mutation,0.3266082744506478,0.0657942386831276,0.0151862269201106,0.0848830891772129,0.3109505460309344,0.0603492951907131,0.0821538819966218,0.1272184888429396,122,0.0466457887598296,40016.6766014338,0.5066563041611722,3.0
83WLFT74UU,nsga2,101,mutation,0.3435935122704876,0.0017613168724279,0.0595060279526299,0.0361872766332872,0.3274040642616391,0.0180607379767827,0.1234412577776635,0.0494475316619281,161,0.049193778057367,47759.68745611356,0.3633200103278511,4.0
L3DDV2QK22,nsga2,101,mutation,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0515024958122339,62444.15208566457,0.4731940571636031,4.0
30FP6XLV88,nsga2,101,mutation,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0510892839112756,32240.555369741665,0.7109443707666185,4.0
V6M6GMP4L3,nsga2,101,mutation,0.3461093871682873,0.0003786008230452,0.0314568122624994,0.005138992039796,0.3203189016500115,0.0324160447761193,0.0738382852720481,0.0702108641337124,119,0.0485833181796956,15014.667921558175,0.4596264832901152,4.0
0S74R8ZNGN,nsga2,103,inicialization,0.3242451550468042,0.0113511420828494,0.064794038616028,0.0337468887795416,0.3341410616130295,0.001283595820647,0.0926985580224307,0.0468470282849982,46,0.087863716905169,10416.23217374636,0.2891362091698819,4.0
6YIPA297P4,nsga2,103,mutation,0.3242451550468042,0.0113511420828494,0.064794038616028,0.0337468887795416,0.3341410616130295,0.001283595820647,0.0926985580224307,0.0468470282849982,46,0.0606646881309359,25598.03014096266,0.4758073346354565,4.0
AQRUY4VTJD,nsga2,107,crossover,0.8350178050773296,2.115148694953241e-05,0.1333333333333334,0.004590555887627,0.7623586348587856,0.0004582426394776,0.1564482029598308,0.0193431843538488,84,0.0193457641267638,40710.46022174145,0.4630556632743224,9.0
Y6P7SSCEWZ,nsga2,108,crossover,0.8663693790437879,0.0,0.0,0.0093190890554549,0.8830316622337439,0.0,0.0,0.0040591932022786,121,0.0821374291043001,44954.16430775521,0.4746305009311413,8.0
3U0XMQCZOB,nsga2,100,crossover,0.3338952226738538,0.0215122949548823,0.0474526326043542,0.0445682518992636,0.3498721097875898,0.000621983380604,0.0975738467991826,0.0395392261855727,147,0.0337507628069578,33529.05326035149,0.4374485613636004,4.0
M2G9LS8JZQ,nsga2,101,crossover,0.327724324483476,0.0740246913580247,0.005819517080227,0.0847036481360561,0.3105025557541384,0.0866371268656716,0.0615039822459722,0.1444979322822435,122,0.0596335756750327,36128.5618463392,0.6011135300809862,3.0
T3RGZIPSBM,nsga2,101,crossover,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0519741593509416,71633.72728243013,0.4196124066088014,4.0
55GMO8SSTE,nsga2,101,mutation,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0519589646547669,69438.89543236142,0.4082601000983754,4.0
