id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
0RULREU0X7,nsga2,100,mutation,0.5087895022803057,0.0134575569358178,0.1801242236024844,0.0014161238192026,0.4789434169823309,0.0378208193846644,0.0046382189239332,0.0511308649609646,123,0.0287057024987102,30994.97999276013,0.4946178960083053,2
K518FPEP8L,nsga2,100,crossover,0.4251811770318829,0.0388198757763975,0.0213675213675213,0.0562950868833613,0.4155917266078455,0.0455125139486689,0.0017016449234259,0.0604529643657725,111,0.0398056863057472,31639.85913256997,0.3826412879976714,3
VMMY8KIJ8P,nsga2,101,crossover,0.3105505314526725,0.2355694470361385,0.0325081270317579,0.2504644373673036,0.2936681620410973,0.1927690644784152,0.0029154518950437,0.215586915684722,93,0.0288241322025383,64157.77153561318,0.3486276307115931,2
FRR7SOUTIL,nsga2,101,crossover,0.3105505314526725,0.2355694470361385,0.0325081270317579,0.2504644373673036,0.2936681620410973,0.1927690644784152,0.0029154518950437,0.215586915684722,93,0.0289207629903415,61043.66989797277,0.3589281508431781,2
ECGVAYYBGT,nsga2,101,crossover,0.3346945734808418,0.1759812154008832,0.0261274984997461,0.1887937898089171,0.2998406440443351,0.1286038867932852,0.030719226271875,0.1443435331377206,81,0.0253510174205569,56334.749548255415,0.3493152623242987,2
37ITOT2D4W,nsga2,101,crossover,0.3483018914325247,0.1895565092989985,0.0013093289689034,0.2009797416843596,0.3153560615069954,0.1162464429885513,0.0247361756015196,0.1307624237343393,107,0.0316597367960301,51167.47337407456,0.4691213143995054,2
87U4PY40IJ,nsga2,101,crossover,0.3252692919580909,0.2143590222056354,0.008594197614459,0.2241131457891012,0.3111066581021731,0.177102772814506,0.0062301166489925,0.1888842314439631,87,0.0334856042871164,54202.34320358488,0.4829829485200458,2
U7EZW9O6BP,nsga2,101,crossover,0.3300163260150101,0.2071126453940412,0.0032569974554707,0.2160076079263978,0.2997356338097868,0.1511702291928617,0.0206391332002719,0.1676183379131541,85,0.033744506897427,58387.884826098416,0.40015986693187,2
SB0KEHU0TY,nsga2,101,crossover,0.3290248737703156,0.1813615724326678,0.0050537634408602,0.1917020523708422,0.3054106529360195,0.1173538040720887,0.0335628227194492,0.1346995171782093,65,0.0311879716164024,57794.75279157462,0.3584171407983889,2
WIQ2RL51LL,nsga2,101,crossover,0.3300163260150101,0.2071126453940412,0.0032569974554707,0.2160076079263978,0.2997356338097868,0.1511702291928617,0.0206391332002719,0.1676183379131541,85,0.0252508355109135,59437.64513630031,0.3987640198136532,2
9KTQXVPOD5,nsga2,101,mutation,0.3252692919580909,0.2143590222056354,0.008594197614459,0.2241131457891012,0.3111066581021731,0.177102772814506,0.0062301166489925,0.1888842314439631,87,0.031667417640778,55160.076140222445,0.4548263062826687,2
NDTJBAT0P9,nsga2,102,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,151,0.0440659303131682,37656.11199059486,0.3674768484185017,2
TYMN5P943Z,nsga2,102,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,151,0.0413947286839879,39821.928368567926,0.3432633140447165,2
9AIT0GQA7L,nsga2,102,mutation,0.286450759450125,0.0040070242656449,0.1052631578947368,0.0344405623446161,0.3485521786798119,0.0005533730410171,0.119021727068954,0.0305490682625407,146,0.036849184460289,38272.13469359388,0.3558961209866743,2
LC7RN5HV8R,nsga2,103,crossover,0.2841330534697612,0.2061909405790765,0.0855855855855856,0.2527536231884058,0.2945024954810202,0.1674480822208094,0.0284414106939704,0.2037956900228292,132,0.0421721903972111,16884.95207464771,0.3739650778167564,2
5PCGGJ0A91,nsga2,103,crossover,1.0,0.0,1.0,0.0,0.9291118794991664,0.0,1.0,0.0012919896640827,85,0.049748431284504,37330.93156821293,0.375842355271595,9
9XKV7PH4NM,nsga2,103,crossover,1.0,0.0,1.0,0.0,0.9291118794991664,0.0,1.0,0.0012919896640827,85,0.0498157520115932,37414.53922375133,0.3761475040504519,9
OAZKOIULUO,nsga2,104,mutation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,119,0.0285912131803772,33852.66434799565,0.4523100228203352,2
6A052CQKJX,nsga2,105,mutation,0.6322420610791057,0.0092465753424657,0.2738095238095238,0.004772224894476,0.5153261864955557,0.0022893457041354,0.0084745762711864,0.0036237233911652,128,0.0559772398024094,41369.21592597429,0.29864841826516,4
GH1IDG3T04,nsga2,105,mutation,0.6319835317403777,0.0172166874221668,0.3999999999999999,0.002983316128823,0.5216293653111829,4.311385506841625e-06,0.0127450980392156,0.0002953119232189,137,0.0712813068045692,24788.08501271093,0.316440035968652,2
AZD9RTXRFM,nsga2,105,crossover,0.6404448114737019,0.0172166874221668,0.3871794871794872,0.0011944073631701,0.5213776575143974,0.0027291070258338,0.0015151515151515,0.0026208933185677,137,0.065074270973584,24708.27133709745,0.3179459428413746,2
7JSGJ9VXOG,nsga2,106,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,124,0.047313617801292,38583.86031636647,0.6148780474443771,3
8U9POYY176,nsga2,106,crossover,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,86,0.044110173637888,40062.98515020501,0.6559742374714252,2
USKMS59YEY,nsga2,106,crossover,0.92118895937609,0.0,1.0,0.0017921146953404,1.0,0.0,1.0,0.0,123,0.0433599844266659,42405.61991732851,0.628261038304425,3
EJQOVNLKKH,nsga2,106,crossover,0.7516337495250103,0.0060218112849691,0.2777777777777778,0.001943256898562,0.7444441058382374,0.0027214500898711,0.0,0.0027990503551931,124,0.0461362093219205,30410.56203063801,0.6090257559114299,2
YOP5BDKI8W,nsga2,107,mutation,0.4465230835819889,0.0131861347131979,0.0886486486486486,0.0275401069518717,0.4612745617417829,0.0002032224004099,0.1945859019029751,0.0269188974088188,142,0.044397700179099,48835.03043476459,0.3876164547076597,2
OO5EDIXPYH,nsga2,109,inicialization,0.4624390196186817,0.0003313478758234,0.2150537634408602,0.0283665690512713,0.4877268465577294,0.0444565217391304,0.0014492753623188,0.0615043717810516,39,0.0101951927959632,94576.3208139348,0.6991495165455647,3
