id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
80KWAFY1SN,nsga2,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,18,3,2.0
6UW52HPUNB,nsga2,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,20,3,2.0
N5POXVKADM,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,17,2,4.0
H1GGPCVB8B,nsga2,101,mutation,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,3,25,3,3.0
3ZQ5C4O3OE,nsga2,101,crossover,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,4,12,4,4.0
A7P4I53TPN,nsga2,101,mutation,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,23,2,3.0
OE5SONGA7G,nsga2,101,mutation,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,3,12,3,3.0
XUG633MLSM,nsga2,101,mutation,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,13,4,4.0
QTPQUGFSPM,nsga2,101,mutation,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,16,2,3.0
3Q66VZVV1Z,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,10,2,4.0
P9AOJII4ZJ,nsga2,101,mutation,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,15,4,7.0
XI029ADV3Z,nsga2,101,mutation,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,12,4,7.0
LS64ZBFO6R,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,14,2,5.0
CLGL1ZZI97,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,15,2,5.0
3ZUYLW9YSN,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,14,2,4.0
GGLN49DGVB,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,13,2,4.0
CIB4RAVDP6,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,16,2,5.0
AAYCTYWW5M,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,15,2,4.0
