id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
9K6VEBCHQN,nsga2,101,mutation,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,16,4,4
IO3LDGKTJ0,nsga2,101,mutation,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,14,4,4
80H4DPAKW0,nsga2,105,inicialization,0.0,1.0,0.0,4,3,4,0.1652350155968924,0.1388888888888889,0.0317460317460317,4,1,4,13,4,7
4CAOFX8ST5,nsga2,105,crossover,0.0,1.0,0.0,4,3,4,0.1652350155968924,0.1388888888888889,0.0317460317460317,4,1,4,14,4,7
4Y3UOTGFD4,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,13,4,2
TW26THZTM4,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,20,4,2
XLX9NGURSX,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,18,4,2
738NQKXYWT,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,15,4,2
3SIQERQ84M,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,16,4,2
2K9VS4QEZU,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,19,4,2
9UKO7NO478,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,17,4,2
QZA5QW8X3R,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,29,4,2
JA4OWQ9T7M,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,11,4,2
52TSRSUS6C,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,21,4,2
14ZZAP8O02,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,14,4,2
K53O4WSPQF,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,23,4,2
4TO6VWCZ5Y,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,22,4,2
2OAPSBR7WP,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,4,17,4,2
XXRAZ9GSNE,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,4,20,4,2
4G1J7VDZ3H,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,4,15,4,2
BDF5HZHE12,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,20,4,3
0XRXOHIE7M,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,10,4,2
479BUGR1GD,nsga2,106,mutation,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,4,23,4,2
LHPKTU6LW0,nsga2,108,inicialization,0.0,1.0,0.0,5,4,5,0.0,1.0,0.0,5,1,4,4,5,1
H9O9HL0ZCN,nsga2,108,inicialization,0.0954659662667091,0.9,0.0749999999999999,3,2,3,0.17084380241115,0.0833333333333333,0.4880952380952381,3,1,3,23,3,1
TEOX75R8GQ,nsga2,108,mutation,0.0954659662667091,0.9,0.0749999999999999,3,2,3,0.17084380241115,0.0833333333333333,0.4880952380952381,3,1,3,9,3,1
Z1NOOXJQ86,nsga2,109,crossover,0.2155354594472638,0.025,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.3230769230769231,2,0,3,17,2,1
0Z1OR7V7AN,nsga2,109,crossover,0.2155354594472638,0.025,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.3230769230769231,2,0,3,15,2,1
4F0E2NTE8N,nsga2,109,mutation,0.2155354594472638,0.025,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.3230769230769231,2,0,3,16,2,1
3BH7T6X823,nsga2,109,mutation,0.2155354594472638,0.025,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.3230769230769231,2,0,3,11,2,1
