id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
19JVL7NR8C,100,crossover,0.4124925203946654,0.0767853266767961,0.0022040661219836,18,6,18,0.3988798975969194,0.0744306778789537,0.0127032520325203,18,1,12,33,18,6.0
LZZT43U5CU,100,crossover,0.3565465307482358,0.0992743961053056,0.0118635926993275,14,6,14,0.3705715663527295,0.106359158083296,0.0224445526583735,14,1,14,29,14,6.0
2DVBMJ3GHO,100,crossover,0.3403586995990624,0.1248875934137492,0.0027070529704419,11,5,11,0.3501815028027194,0.1431888673267983,0.0062667960169048,11,0,14,22,11,5.0
CZ65D47QS9,100,mutation,0.5285158219678842,0.0650175199230983,0.0095898796164047,10,5,10,0.5302383197700364,0.0324177737970841,0.0257518796992481,10,0,13,23,10,7.0
SQOEQMBJ6A,100,crossover,0.3784857254566123,0.0799637198052652,0.0054166666666667,61,11,61,0.3940722261152286,0.047585875172082,0.0615071800737069,61,1,14,31,61,6.0
545LXNUJHY,100,crossover,0.44661510650226,0.0674672082855282,0.0012987012987013,35,11,35,0.4336630954034746,0.0580766615249374,0.0042768785366495,35,1,12,28,35,6.0
TYTBM5AQRY,100,mutation,0.3720959287137757,0.0041629197804582,0.085652142507444,91,9,91,0.350179580652335,0.0020732779353469,0.0948191234621136,91,0,9,32,91,4.0
IX7CHXSGK4,100,crossover,0.5888992238197764,0.0324816273372817,0.0006807351940094,41,11,41,0.5533475834272639,0.0204673997777446,0.0148446490218642,41,0,16,19,41,8.0
IJYDLYWVRR,100,mutation,0.3320323640665076,0.1091274148035598,0.0273136217104958,10,4,10,0.3404617849581394,0.1230780713539334,0.0534690534690535,10,0,14,21,10,4.0
J8DNW87CL4,100,crossover,0.4846882173497356,0.0533815002015566,0.0032733224222586,84,13,84,0.4728922409678645,0.0193810021396228,0.0657563780093424,84,0,13,28,84,7.0
3YNC6B1VHV,100,mutation,0.5296275545128664,0.0528698564296567,0.0375748502994011,23,9,23,0.5131736653680999,0.0243817485196795,0.0600430416068866,23,1,17,24,23,7.0
XCOOQXLKHF,100,crossover,0.6253607098704583,0.023566622220844,0.0349462365591397,29,11,29,0.6078401217886509,0.0106732348111658,0.0353448275862068,29,0,17,24,29,8.0
0QQNFDY2RK,100,crossover,0.5517783802821197,0.0361173989891159,0.0030254134731747,62,12,62,0.536074975976953,0.0202683650959513,0.0543345543345543,62,0,15,16,62,8.0
95VX5CNPRU,100,crossover,0.4913240950050302,0.0691649353468324,0.0457894736842104,13,5,13,0.5008250541905754,0.0290839428770463,0.0457746478873239,13,0,15,24,13,7.0
8WUCRLPGOZ,100,crossover,0.3638959089514565,0.0531566870290551,0.0685739554131624,75,10,75,0.3535907350236724,0.0357764840523461,0.0797714069805884,75,0,11,31,75,4.0
A5921P8APX,100,mutation,0.6298990115510742,0.0314583397934819,0.0037151702786377,22,10,22,0.6056754810919326,0.0143968419830488,0.0235294117647058,22,0,16,21,22,8.0
WMUSVSDXDH,100,crossover,0.3771312310143917,0.0941579583863065,0.0020970222284356,41,8,41,0.3740888571184209,0.0453301487784246,0.0765024344161034,41,0,8,25,41,6.0
