id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
VKMUTKU03H,100,inicialization,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,18,3,2.0
7FPGYJHI93,100,inicialization,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,4,6,3,2.0
INOCJ1KDE8,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,10,3,2.0
XRK1I8LL26,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,4,11,3,2.0
G1OJXIJ607,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,26,3,2.0
WWTURE9Z5V,100,mutation,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,22,3,2.0
YBX5WPF1ZA,100,mutation,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,20,3,2.0
JFBMOVXJ88,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,16,3,2.0
P543695H1S,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,19,3,2.0
TFVGDK577G,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,12,3,2.0
B17BEQ8DGR,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,24,3,2.0
K4Z7JSJS1R,100,mutation,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,4,13,3,2.0
Q18NIGI9TY,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,14,3,2.0
X4XNWNNVB0,100,crossover,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,13,3,2.0
DBTXMPVKET,101,inicialization,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,4,8,2,3.0
IHUZ8ZS9TJ,101,inicialization,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,4,6,2,5.0
SWXZZDO7EN,101,inicialization,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,15,4,5.0
VL05HPXY63,101,inicialization,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,3,12,4,9.0
7EJ40GQAPW,101,inicialization,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,4,6,3,3.0
05GCO1VLLS,101,inicialization,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,39,2,3.0
33RDP80VA2,101,inicialization,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,1,4,5,2,4.0
LWDZCK07C8,101,inicialization,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,5,4,4.0
084YW1EANL,101,inicialization,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,7,4,8.0
3C7QU55BZF,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,12,2,3.0
023BQ127NI,101,inicialization,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,4,29,2,7.0
S0PHPUJF5R,101,inicialization,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,4,22,3,3.0
NDOP40Y27Q,101,inicialization,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,11,4,8.0
PEKG7QVABP,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,9,2,3.0
1JZ2KJYFZQ,101,inicialization,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,3,2,8.0
JQ3YK2EPJ4,101,crossover,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,18,4,7.0
QGBPFPE4HI,101,inicialization,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,3,35,3,3.0
7H0280BRBG,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,15,2,3.0
EQJTYGSIY7,101,inicialization,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,4,19,2,4.0
UFV2XFRCMS,101,inicialization,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,13,4,5.0
7AMV17FX72,101,crossover,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,14,4,7.0
T1EWP8JBY8,101,mutation,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,3,17,3,3.0
3S79KGPGSF,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,4,12,2,3.0
0AW2XAX7ZG,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,4,4,2,
HO0IQVCSSP,101,crossover,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,3,13,4,4.0
LQTO6QB2IA,101,crossover,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,4,15,4,8.0
BR9TP9YQYJ,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,13,2,3.0
HON58DFW6S,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,22,2,5.0
UMI581IBCF,101,mutation,0.2583801512904337,0.3999999999999999,0.1666666666666667,3,2,3,0.1255253678047938,0.3461538461538461,0.0277777777777777,3,0,3,21,3,3.0
V0LSYULWI2,101,mutation,0.198959010620139,0.2,0.0833333333333333,4,3,4,0.0925147870269699,0.4230769230769231,0.125,4,0,4,11,4,5.0
FHCK0E4ESA,101,crossover,0.0871290708247231,1.0,0.0,4,3,4,0.0,1.0,0.0,4,1,3,14,4,7.0
DZQIAWZIGT,101,crossover,0.4755955759149243,0.2,0.111111111111111,2,1,2,0.1956003334601562,0.5192307692307692,0.0333333333333333,2,0,3,10,2,3.0
