id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
5D6AQNED0V,100,mutation,0.21464589824522562,0.03165021446700156,0.031033724570459276,37,9,37,0.2154081332522143,0.02854675779194557,0.07203150519744184,37,0,12,19,37,4
0S6MWCEXKC,100,crossover,0.24232643816843713,0.026939376586263546,0.011840888066604993,66,15,66,0.24081548395533026,0.021689417393751756,0.04457460538072078,66,0,15,21,66,5
HD9FTYKBMY,100,mutation,0.2580892092685346,0.01919083532325723,0.03641993942994026,50,12,50,0.2617814310045903,0.017984648612929678,0.03874842433144765,50,0,12,20,50,5
E0MEOKK3KD,100,crossover,0.39734522811771,0.005346385751496265,0.011754344365028313,73,14,73,0.40026306109970045,0.0071670908846167974,0.006766712141882625,73,1,16,18,73,7
EPI4ANL8EW,100,crossover,0.3296306589917658,0.010063825824440063,0.03262469617609809,134,18,134,0.3313205667947041,0.019599940038424357,0.01846259854487975,134,1,18,18,134,6
GO7KT7G9NA,100,crossover,0.27771976670532583,0.011830433465191859,0.06684758411601333,42,11,42,0.2801818562010331,0.0013101298351668525,0.10769860769860773,42,0,11,21,42,5
P92KNRHE63,100,mutation,0.18774759646109396,0.056836535280725214,0.043919103414379546,42,6,42,0.19258791809087794,0.05455509122725438,0.09102556950255691,42,0,6,20,105,4
7SJE7D1MI3,100,mutation,0.4980894029323618,0.00023420408140572484,0.010876369327073587,21,5,21,0.4935702525018232,0.0013338391316584882,0.004255319148936176,21,0,5,22,189,7
FAM1DZ9LXI,100,crossover,0.27831993983052283,0.005092375093473142,0.11866047614343578,26,5,26,0.2810723059848569,0.0007281048470979823,0.12679900744416872,26,0,5,19,146,5
LA9GUEV4HX,100,mutation,0.3652041071809694,0.002368797066680752,0.06214057507987225,45,15,45,0.36591493468015523,0.003947215457849462,0.043285456400596445,45,0,15,18,45,7
9OS9E0JN6Z,100,mutation,0.26153562195602476,0.014145718026625606,0.08414762569490364,63,7,63,0.2671595680528912,0.010799202143932249,0.09055848914861742,63,0,7,21,148,4
R7J0CDJJNL,100,crossover,0.3993065693343246,0.004563504749408583,0.01811391874912749,70,13,70,0.40407473906395286,0.006800744013020228,0.0035918304961692904,70,1,17,22,70,7
8A0A67CWVQ,100,crossover,0.2962031774911399,0.004523544112373483,0.09722222222222221,124,17,124,0.2913943545532016,0.015095173705013523,0.03989715971754726,124,0,17,15,124,6
ZDGJ4KIOAT,100,crossover,0.2236443457514482,0.020475830416785967,0.07243404493334571,265,11,265,0.22482638418551892,0.02229285723026468,0.08928178601283443,265,1,11,10,295,4
9JX54INE70,100,crossover,0.2067338189098703,0.053176140928309926,0.011334721258385416,316,13,316,0.20671288525918496,0.05020558254506295,0.04924105165680237,316,0,13,15,316,4
HPZMWZSBYV,100,crossover,0.3355955486704081,0.004269185970550052,0.0644536652835408,138,15,138,0.34015927904725407,0.010789259535726087,0.03644368350250704,138,0,15,23,138,7
FVTKFY5K2L,100,crossover,0.3678588776930001,0.006544162411148394,0.03370132171975493,65,11,65,0.3744948522038778,0.011362106731604647,0.003227861541728605,65,1,20,19,65,6
BDAVNA0I56,100,crossover,0.24232643816843713,0.026939376586263546,0.011840888066604993,66,15,66,0.24081548395533026,0.021689417393751756,0.04457460538072078,66,0,15,19,66,5
LY8FV186OO,100,crossover,0.17573323467006252,0.05634797305749607,0.04786783538607531,80,12,80,0.19047780091090816,0.04120369803839988,0.09599101776632979,80,0,12,19,80,3
OX7QPMTB3Y,100,crossover,0.32624775993945,0.0018670304590400026,0.1015899987862604,39,12,39,0.3268605780101075,0.006103996622572473,0.052379730126136725,39,0,15,20,39,6
BU1HUX5ZSP,100,mutation,0.4955923227067489,0.0007561247494641797,0.007373197212769411,62,7,62,0.49302699230307867,1,0.025531914893617058,62,1,7,24,168,7
AKMAL2D9E1,100,mutation,0.218914081067765,0.029616044300014736,0.03304827586206904,42,10,42,0.21920362881637023,0.027834714081180628,0.06675246620850561,42,0,10,20,42,4
Q4CUECFPQU,100,crossover,0.3713965888187768,0.008605088830758712,0.023208517765282988,176,13,176,0.3721957944271984,0.009925017437805161,0.04287970140683317,176,1,13,22,176,7
7WZEPR9YYT,100,mutation,0.21792403778601221,0.050800741669423374,0.008081735736425233,515,16,515,0.22083021844609896,0.040814406686327534,0.07063414634146348,515,1,16,22,515,4
N3ZNDQZ9PN,100,crossover,0.3643795352999739,0.0017933638933752914,0.07266240157480319,41,9,41,0.3706028564397914,0.010201116019530344,0.010140746568756076,41,1,16,20,41,6
H89BFB1I1A,100,mutation,0.25912160451619726,0.012191816617509288,0.07820440429136077,182,15,182,0.2581295170520326,0.021751367491036365,0.049261470773098726,182,0,15,18,182,5
RF1HCY3J80,100,crossover,0.2580892092685346,0.01919083532325723,0.03641993942994026,50,12,50,0.2617814310045903,0.017984648612929678,0.03874842433144765,50,0,12,19,50,5
ESIHPRN5PB,100,crossover,0.20683132566226248,0.05343710126233915,0.010864539990753652,323,13,323,0.20693197491530557,0.04960443715659761,0.05153220762976862,323,0,13,15,323,4
48XXKF3WD2,100,crossover,0.39734522811771,0.005346385751496265,0.011754344365028313,73,14,73,0.40026306109970045,0.0071670908846167974,0.006766712141882625,73,1,18,17,73,7
SLV7P6UX29,100,mutation,0.17015607953194833,0.07840937205507478,0.03877577580472569,41,9,41,0.18314079503404024,0.05920899668375776,0.09319539249146763,41,0,13,18,41,3
RX6MZLFT47,100,mutation,0.27771976670532583,0.011830433465191859,0.06684758411601333,42,11,42,0.2801818562010331,0.0013101298351668525,0.10769860769860773,42,0,11,21,42,5
A0TMS1PL66,100,mutation,0.4973892323560496,8.02687578705082e-05,0.04020914647617635,24,5,24,0.49101924775297834,1,0.04938271604938271,24,1,5,18,196,7
PZLG1P89P9,100,crossover,0.3295554928379154,0.009802865490410838,0.03376525435348965,135,18,135,0.3313205667947041,0.019599940038424357,0.01846259854487975,135,1,18,16,135,6
PO8BYIOSC8,100,crossover,0.2337534021905684,0.03260023517703605,0.007417102966841171,220,19,220,0.22730508890964685,0.016369357187434992,0.0804724036904263,220,1,19,12,220,5
WMMR8ZJKEZ,100,mutation,0.3001509298527689,0.004289340030967752,0.10896183404975901,36,6,36,0.30569610690883975,0.006803038461067799,0.07302326212643517,36,0,6,22,93,6
N4IEGUXYTQ,100,crossover,0.21844939786946416,0.029903760886667463,0.032856477924641525,44,11,44,0.21824268327051066,0.028822856373670755,0.06382755362704273,44,0,11,19,44,4
3A7RWE2BDE,100,crossover,0.3993065693343246,0.004563504749408583,0.01811391874912749,70,13,70,0.40407473906395286,0.006800744013020228,0.0035918304961692904,70,1,17,22,70,7
SNVES20L7D,100,crossover,0.18806191536491323,0.05761941628281289,0.04280591662931421,42,6,42,0.19407441510998724,0.05376044738677664,0.08995554898391078,42,1,6,20,146,4
VB5KTOSRR7,100,crossover,0.4980894029323618,0.00023420408140572484,0.010876369327073587,21,5,21,0.4935702525018232,0.0013338391316584882,0.004255319148936176,21,0,5,22,189,7
K0YOYC3G8P,100,mutation,0.33284330933610795,0.00337927995796836,0.06219562283635505,226,18,226,0.34576162308430525,0.010941457922882071,0.04703741402177597,226,0,18,23,226,7
JDWI632267,100,crossover,0.296652170725042,0.004523544112373483,0.09702105059868682,128,17,128,0.2900742569829333,0.01528867215702591,0.037798352161726,128,0,17,15,128,6
QHF5Z6H0CV,100,mutation,0.24232643816843713,0.026939376586263546,0.011840888066604993,66,15,66,0.24081548395533026,0.021689417393751756,0.04457460538072078,66,0,17,19,66,5
4LQV7EZI2R,100,crossover,0.2067338189098703,0.053176140928309926,0.011334721258385416,316,13,316,0.20671288525918496,0.05020558254506295,0.04924105165680237,316,0,13,15,316,4
ST8F1QWXG5,100,crossover,0.3723513099814749,0.008344128496729483,0.0241586538461539,172,13,172,0.37407687872898354,0.009538020533780396,0.04395524872273604,172,1,13,22,172,7
THU2P2Y8L6,100,crossover,0.3722204435644332,0.0036735987368268896,0.052912621359223366,59,10,59,0.3789337366702892,0.008459629951418886,0.018036623984579392,59,1,17,20,59,6
4W3C3CSCSH,100,crossover,0.25912160451619726,0.012191816617509288,0.07820440429136077,182,15,182,0.2581295170520326,0.021751367491036365,0.049261470773098726,182,0,15,18,182,5
P8N3BC8UQP,100,mutation,0.2548268606818791,0.020468880740779863,0.03289339157914295,61,12,61,0.26004580002681565,0.015752915478652457,0.05640865708288789,61,0,12,20,61,5
5REFROESFO,100,crossover,0.27771976670532583,0.011830433465191859,0.06684758411601333,42,11,42,0.2801818562010331,0.0013101298351668525,0.10769860769860773,42,0,11,21,42,5
P1FXMOUOWC,100,mutation,0.17594032110880375,0.06386231023909666,0.04209196992638231,63,12,63,0.1879891140180575,0.05208091141594978,0.08003014041020362,63,0,13,19,63,3
L1NXSTQQAN,100,crossover,0.32450116702371135,0.002388951127098457,0.09999139932914769,45,12,45,0.3249358406086921,0.008253129627136896,0.04099738683917176,45,0,13,22,45,6
ETTFF1YSBO,100,crossover,0.3295554928379154,0.009802865490410838,0.03376525435348965,135,18,135,0.3313205667947041,0.019599940038424357,0.01846259854487975,135,1,18,17,135,6
T5AQXROBTK,100,mutation,0.39734522811771,0.005346385751496265,0.011754344365028313,73,14,73,0.40026306109970045,0.0071670908846167974,0.006766712141882625,73,1,17,18,73,7
MLA8PMEBEX,100,crossover,0.4988529107070453,0.0007561247494641797,0.006162464985994376,34,6,34,0.49457607225834566,0.0013338391316584882,0.004364429896344779,34,0,6,22,152,7
U2CCKYOD9G,100,crossover,0.2227832881757693,0.032098468569395286,0.018890431933910268,78,11,78,0.22436714658000956,0.02166341364921255,0.07699217502395406,78,0,11,17,78,5
4ZJ2FN6PNO,100,mutation,0.257584556776872,0.014199230531872602,0.0899594078319007,245,15,245,0.2620551096361853,0.022269912749788914,0.058830969198139904,245,0,15,18,245,5
K4JR8N0JNW,100,crossover,0.1757633246384307,0.05556509205540837,0.051273440070183196,78,12,78,0.19017104750880776,0.04279298571935536,0.0921441262332825,78,0,12,19,78,3
39A1XPSNKY,100,crossover,0.20783736618344628,0.053176140928309926,0.01066295781177562,326,13,326,0.20727810593282747,0.04902394180056045,0.05219135995987212,326,0,13,15,326,4
5JYT5SWQSQ,100,crossover,0.2970217073240793,0.0042625837783442574,0.09777874564459932,129,17,129,0.29133461961986495,0.016083315997503643,0.03349220103986128,129,0,17,14,129,6
3W9IL432LB,100,crossover,0.46303307627593737,0.0032587030792624455,0.022332015810276773,181,11,181,0.461095167908392,0.0027632802652993796,0.09072720277029622,181,1,11,24,181,8
3ITLPUVLF1,100,mutation,0.3993065693343246,0.004563504749408583,0.01811391874912749,70,13,70,0.40407473906395286,0.006800744013020228,0.0035918304961692904,70,1,17,23,70,7
4PH8U3R9YY,100,mutation,0.33607787501443565,0.004269185970550052,0.06426592797783925,138,15,138,0.34166062506758277,0.010789259535726087,0.03573621515412018,138,0,15,22,138,7
A8ULY107A9,100,crossover,0.3723513099814749,0.008344128496729483,0.0241586538461539,172,13,172,0.37407687872898354,0.009538020533780396,0.04395524872273604,172,1,13,22,172,7
XNXCEWCX11,100,mutation,0.218914081067765,0.029616044300014736,0.03304827586206904,42,10,42,0.21920362881637023,0.027834714081180628,0.06675246620850561,42,0,13,20,42,4
YKMKR9KS0E,100,mutation,0.2785894602577047,0.011830433465191859,0.06643861811073815,43,12,43,0.28039613790458795,0.0009231329311420872,0.10882221227048816,43,0,15,21,43,5
WQU2MSG7M1,100,crossover,0.18764285051913576,0.05657557494669599,0.04429103979211446,44,6,44,0.193231812343582,0.05416809432322961,0.09322268533415146,44,0,6,17,116,4
H2KSICT0QY,100,crossover,0.24232643816843713,0.026939376586263546,0.011840888066604993,66,15,66,0.24081548395533026,0.021689417393751756,0.04457460538072078,66,0,16,19,66,5
4UNDI3UBGP,100,mutation,0.20663632414134758,0.0529151805942807,0.011805555555555625,315,13,315,0.20684947108932572,0.04981858564103818,0.04974041030293874,315,0,13,15,315,4
