id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
RWOSPBLUFZ,106,crossover,0.2422277716886162,0.157543391188251,0.06182065217391308,5,4,5,0.3049402125657764,0.17487179487179488,0.09305555555555556,5,0,7,25,5,4
06MQCSDRHY,106,mutation,0.26287085595534887,0.14552736982643524,0.004103967168262668,17,8,17,0.3603978509331687,0.19282051282051282,0.013684210526315854,17,0,8,25,17,5
6EXKCX21WK,106,crossover,0.2884875264621146,0.040943480195816645,0.09523809523809523,4,3,4,0.3473264208022505,0.0646153846153846,0.2009569377990431,4,0,10,24,4,5
WN4OJW5A8C,106,crossover,0.3413239288795541,0.029817534490431688,0.02777777777777779,14,5,14,0.3730068635779231,0.06153846153846154,0.22299651567944245,14,0,5,26,14,5
6A72EPW17P,106,inicialization,0.23760246590115464,0.18558077436582107,0.04202898550724643,9,7,9,0.3017440117969449,0.16974358974358972,0.07351351351351354,9,0,15,30,9,5
9NCTS56Y0J,106,crossover,0.2592585358799828,0.17712505562972852,0.06094527363184088,4,3,4,0.3136107364401588,0.2,0.08449477351916374,4,0,6,22,4,4
6MKQTN3EVJ,106,mutation,0.5098629018325587,0.010235870048954161,0.0,10,6,10,0.5345143351542346,1,0.4347826086956522,10,0,13,29,10,6
A6UMH3VJUN,106,crossover,0.24068287257562793,0.09790832220738763,0.02083333333333337,23,12,23,0.3868757255487465,0.10256410256410256,0.019230769230769273,23,0,12,23,23,4
YAOWTT8VEA,106,crossover,0.2819296691827464,0.059635068980863376,0.0,27,12,27,0.42593950271295045,0.038974358974359,0.0944444444444445,27,0,14,29,27,5
BAWBUC1FL5,106,crossover,0.23862788335794693,0.022251891410769914,0.10068027210884345,14,9,14,0.3220523455951616,0.0646153846153846,0.17727272727272725,14,0,9,25,14,5
DPVY289POA,106,mutation,0.2640199278060128,0.11748998664886515,0.030037546933667114,13,7,13,0.33850413355276254,0.15948717948717947,0.06265664160400997,13,0,7,28,13,5
E1CL71DOME,106,mutation,0.6172672276901284,0.02892745883400089,0.0,5,3,5,0.695952771029372,1,0.4444444444444444,5,0,12,24,5,6
2SE09V6JT2,106,mutation,0.24653577833228657,0.05028927458834001,0.04761904761904767,27,12,27,0.3932960519415746,0.1728205128205128,0.07193396226415094,27,0,12,21,27,4
JOZ63MT53A,106,crossover,0.350480947161671,0.03916332888295505,0.008547008547008517,15,6,15,0.4098473940749747,0.048205128205128206,0.19444444444444453,15,0,6,27,15,5
EK7G9WNUBM,106,crossover,0.28556549168823975,0.12105028927458833,0.07873090481786127,3,2,3,0.2975779004780631,0.16153846153846158,0.043255813953488376,3,0,13,17,3,3
3YHPL6C47R,106,crossover,0.5616080520812454,0.010235870048954161,0.05769230769230771,8,6,8,0.6053957289732779,1,0.4666666666666667,8,0,11,25,8,6
Y19C2P8KFY,106,crossover,0.22607601579138703,0.03382287494437028,0.1637931034482759,11,7,11,0.30948422225698613,0.017435897435897435,0.10261194029850751,11,1,10,26,11,5
1Y4FWI7BO2,106,crossover,0.25,0.09790832220738763,0.0,26,12,26,0.3954513125652199,0.16615384615384615,0.0625,26,0,13,22,26,4
E1X27HHJ1F,106,mutation,0.25348029720129517,0.08856252781486426,0.043055555555555514,15,8,15,0.3540667761062838,0.18615384615384614,0.020588235294117685,15,0,8,23,15,5
BNJIY4L1OG,106,crossover,0.29584566085741315,0.029817534490431688,0.02580645161290329,18,9,18,0.4098473940749747,0.048205128205128206,0.19444444444444453,18,0,9,24,18,5
