id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
19JVL7NR8C,100,crossover,0.41249252039466544,0.07678532667679616,0.00220406612198365,18,6,18,0.39887989759691944,0.07443067787895374,0.012703252032520318,18,1,12,33,18,6
LZZT43U5CU,100,crossover,0.35654653074823583,0.09927439610530561,0.011863592699327574,14,6,14,0.3705715663527295,0.10635915808329602,0.02244455265837353,14,1,14,29,14,6
2DVBMJ3GHO,100,crossover,0.3403586995990624,0.12488759341374925,0.0027070529704419366,11,5,11,0.3501815028027194,0.14318886732679836,0.00626679601690483,11,0,14,22,11,5
CZ65D47QS9,100,mutation,0.5285158219678842,0.06501751992309839,0.009589879616404784,10,5,10,0.5302383197700364,0.032417773797084146,0.025751879699248192,10,0,13,23,10,7
SQOEQMBJ6A,100,crossover,0.3784857254566123,0.07996371980526529,0.005416666666666736,61,11,61,0.39407222611522863,0.04758587517208207,0.061507180073706924,61,1,14,31,61,6
545LXNUJHY,100,crossover,0.44661510650226,0.06746720828552824,0.0012987012987013546,35,11,35,0.4336630954034746,0.0580766615249374,0.004276878536649598,35,1,12,28,35,6
TYTBM5AQRY,100,mutation,0.3720959287137757,0.004162919780458296,0.08565214250744402,91,9,91,0.350179580652335,0.002073277935346951,0.09481912346211363,91,0,9,32,91,4
IX7CHXSGK4,100,crossover,0.5888992238197764,0.03248162733728178,0.000680735194009463,41,11,41,0.5533475834272639,0.02046739977774461,0.01484464902186422,41,0,16,19,41,8
IJYDLYWVRR,100,mutation,0.3320323640665076,0.10912741480355981,0.027313621710495894,10,4,10,0.3404617849581394,0.1230780713539334,0.05346905346905351,10,0,14,21,10,4
J8DNW87CL4,100,crossover,0.48468821734973566,0.05338150020155664,0.00327332242225864,84,13,84,0.47289224096786453,0.019381002139622835,0.06575637800934242,84,0,13,28,84,7
T438QSGYY9,100,crossover,0.37736889746772984,0.06838196533225835,0.06584707427404057,50,9,50,0.37688992327796655,0.03739364084191671,0.08840351755201259,50,0,9,25,50,6
O9HEWG6MG4,100,crossover,0.38655305870249224,0.07888616701293064,0.016249999999999987,16,4,16,0.42306020525564136,0.06002554278416347,0.08116361298617802,16,1,4,21,333,6
3YNC6B1VHV,100,mutation,0.5296275545128664,0.052869856429656734,0.03757485029940111,23,9,23,0.5131736653680999,0.024381748519679558,0.06004304160688667,23,1,17,24,23,7
HEOVZZIQZL,100,crossover,0.46056497778599326,0.055993984309591,0.06483644859813087,28,10,28,0.4750494647388174,0.02153721119238361,0.08734939759036142,28,0,15,25,28,7
XCOOQXLKHF,100,crossover,0.6253607098704583,0.02356662222084406,0.034946236559139754,29,11,29,0.6078401217886509,0.010673234811165846,0.03534482758620683,29,0,17,24,29,8
CX3W9LE856,100,crossover,0.3719481840942078,0.08149865112096501,0.03996710526315794,48,8,48,0.36812160618634227,0.03308122273639516,0.09830819973416915,48,0,8,25,48,6
0QQNFDY2RK,100,crossover,0.5517783802821197,0.036117398989115944,0.003025413473174754,62,12,62,0.536074975976953,0.0202683650959513,0.054334554334554364,62,0,15,16,62,8
7YV1NDM4PH,100,mutation,0.3410522813542898,0.11489503550497693,0.01064240419079121,28,5,28,0.3565840209730342,0.11752168648720374,0.03421277403435519,28,0,5,29,110,5
95VX5CNPRU,100,crossover,0.49132409500503027,0.06916493534683246,0.04578947368421049,13,5,13,0.5008250541905754,0.029083942877046326,0.045774647887323994,13,0,15,24,13,7
8WUCRLPGOZ,100,crossover,0.3638959089514565,0.05315668702905518,0.06857395541316247,75,10,75,0.35359073502367244,0.035776484052346125,0.07977140698058849,75,0,11,31,75,4
A5921P8APX,100,mutation,0.6298990115510742,0.03145833979348197,0.0037151702786377694,22,10,22,0.6056754810919326,0.014396841983048879,0.0235294117647058,22,0,16,21,22,8
WMUSVSDXDH,100,crossover,0.3771312310143917,0.09415795838630654,0.002097022228435663,41,8,41,0.3740888571184209,0.045330148778424645,0.07650243441610349,41,0,8,25,41,6
V598EA4CY2,100,crossover,0.5920737946965471,0.05559087103476077,0.03046901745977404,17,6,17,0.5638601894233011,0.008906802010250285,0.1371308016877637,17,1,15,24,17,7
EAE9NRKXEH,100,mutation,0.3764666011589529,0.016713696548730173,0.07761902629103778,80,9,80,0.3562725208997095,0.0176477417856728,0.08216745752334309,80,0,9,29,80,4
DA848KFL26,100,crossover,0.3210796510105335,0.13767868771124686,0.0022541561003098787,14,6,14,0.3405214431801803,0.12073112073112074,0.059108875314409004,14,0,15,23,14,4
7F6V7YC3LC,100,crossover,0.44792800252391685,0.06746720828552824,0.0,38,11,38,0.4356537409462893,0.0580766615249374,0.006226815050344503,38,1,13,25,38,6
4NNWIMGRDU,100,crossover,0.47038646273996954,0.055993984309591,0.048840895581533594,55,12,55,0.45567604252037697,0.027806803668872643,0.061111111111111116,55,0,14,26,55,7
JGSGFXY51T,100,mutation,0.48284816377527506,0.05128065986542218,0.008592471358428888,86,14,86,0.4726067777684759,0.01781360402050057,0.07347198256289167,86,0,14,25,86,7
JNZ0HK3VTK,100,mutation,0.36536137823759807,0.03686160811187944,0.06365834686147187,181,12,181,0.35992587781588625,0.013144582110099334,0.09923362223218973,181,1,12,32,181,4
8YHFQQ5QLO,100,crossover,0.5570209187555963,0.036117398989115944,0.00866515370332166,61,12,61,0.5399357229100278,0.0202683650959513,0.050190653542608876,61,0,16,18,61,8
MFVM3ESX42,100,crossover,0.36164950728867373,0.04793171881298647,0.05266644021739131,184,12,184,0.36000003591020924,0.01000978587185486,0.09981902252757119,184,1,12,33,184,4
3MRJ3I79N2,100,mutation,0.3775445451503391,0.004108654531923439,0.09485208478919172,93,9,93,0.3551403574486379,0.0001824484583105579,0.09398087546868417,93,0,9,28,93,4
QKFH0VUT4S,100,crossover,0.6405698573624096,0.02356662222084406,0.0505050505050505,27,11,27,0.6147893748759496,0.011262045744804366,0.028828828828828756,27,0,16,26,27,8
9MFRKHK5ND,100,crossover,0.6447892658444329,0.027256659121213063,0.002735978112175186,24,11,24,0.6210727316024864,0.009694647625682111,0.030188679245283012,24,0,16,23,24,8
DKF137LEKV,100,crossover,0.3724126414487321,0.04623399175168219,0.06683639998750424,80,9,80,0.35795310950001213,0.036166260304191344,0.08423179972562622,80,0,9,30,80,4
AVPC8KFHIH,100,crossover,0.3753197874765698,0.07729697044869609,0.045187436676798476,50,8,50,0.3689513877574645,0.03308122273639516,0.09759507829977632,50,0,8,22,50,6
NEZXB2SNIO,100,mutation,0.35654653074823583,0.09927439610530561,0.011863592699327574,14,6,14,0.3705715663527295,0.10635915808329602,0.02244455265837353,14,1,16,24,14,6
37Q8IWJA2K,100,mutation,0.5746614637685574,0.022434804179974573,0.1304461942257218,70,12,70,0.5448955188832314,0.006062264682954344,0.10008944543828269,70,1,12,25,70,8
0KPAYRUQZU,100,crossover,0.33658859355574555,0.11966262519768053,0.001756971208342839,17,5,17,0.3598331922785267,0.11703239289446185,0.028795557603239597,17,0,17,25,17,5
