id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
8LBO5OEBFR,106,crossover,0.35433615546894826,0.004148885727833118,0.13195653320673104,50,10,50,0.36776180813729054,0.09257993468519787,0.09281569213017954,50,0,11,19,50,1
AKEREYTPQY,106,crossover,0.5662666342450964,0.02446657183499288,0.0009803921568627416,41,9,41,0.5938408820386974,0.012366775524670262,0.04833512352309349,41,0,9,27,41,5
6L2KFBBA67,106,crossover,0.38517243590703487,0.07271218587008062,0.08045697617890135,7,3,7,0.4118250184118516,0.07577023366497052,0.10416666666666669,7,0,14,16,7,3
BTMVCSSQ0F,106,mutation,0.6616939182482824,0.02074442863916548,0.02430555555555558,29,8,29,0.5985923999838755,0.01921470342522974,0.21768707482993194,29,0,12,20,29,6
VW6GUM2I7X,106,mutation,0.4608906186130012,0.05495495495495496,0.03843514070006865,49,12,49,0.47401958491982843,0.06721348826611985,0.027472527472527486,49,0,12,26,49,4
GZF7B9LJPZ,106,mutation,0.35571660627516266,0.05919867235656712,0.13726457188483396,24,8,24,0.3777443363118329,0.12143996354522668,0.07333379761821854,24,0,12,17,24,1
4QI6CL95P1,106,crossover,0.8073507895859976,0.000995732574679943,0.0,24,6,24,0.8342083385173449,1,1,24,0,6,24,226,8
XN0DFP4H1W,106,crossover,0.5460622050550434,0.027975343764817445,0.08823529411764708,32,7,32,0.5301802461177727,0.027265132528290423,0.1598173515981735,32,0,7,26,32,5
HQQURM0Z3F,106,crossover,0.3584598573986787,0.07183499288762449,0.07412587412587412,58,11,58,0.39431788145159696,0.0661502240449609,0.12535885167464111,58,0,15,17,58,2
XXOP1R0GQ0,106,crossover,0.7303821003266908,0.005974395448079661,0.0,64,11,64,0.6792456185968738,0.019176729703045493,0.09999999999999998,64,0,11,28,64,7
ZKUFBF3BM6,106,crossover,0.5625112969350994,0.020483641536273113,0.012121212121212088,58,14,58,0.5343526389149003,0.03041695146958305,0.2777777777777778,58,0,14,15,58,6
MVX8TC8INJ,106,crossover,0.38070567382668974,0.08722143195827407,0.04957264957264956,13,5,13,0.4068086487313537,0.07899800005063162,0.09576023391812866,13,0,13,17,13,3
JFKFGWQPUL,106,crossover,0.5097592079224011,0.05495495495495496,0.0054263565891473076,54,12,54,0.5075569005950407,0.04811270600744286,0.1050903119868637,54,0,14,15,54,4
P3YZVN03MP,106,mutation,0.3455611074828633,0.07752489331436702,0.12727993655828704,12,5,12,0.35042243081467217,0.15354041669831148,0.05049422824358887,12,0,12,14,12,1
IU7GIXC329,106,crossover,0.3522348234525493,0.005120910384068256,0.13020482240082965,54,10,54,0.3709522651282232,0.0639857218804587,0.10377083670496845,54,0,13,18,54,1
2FZ71V28NI,106,crossover,0.46650661860072673,0.04568515884305359,0.06027667984189722,55,13,55,0.4935071525328967,0.06721348826611985,0.03508771929824561,55,0,13,26,55,4
OGV6Q3OZKW,106,crossover,0.5785206248993887,0.018966334755808445,0.07759699624530664,51,13,51,0.5888366795230154,0.010809852915116075,0.1642857142857143,51,0,13,16,51,5
KVXL3SS69Y,106,crossover,0.5426309891510326,0.03672356567093409,0.17557932263814618,13,4,13,0.5542824460780515,0.0394800131642237,0.12171052631578949,13,0,4,28,21,4
KAFGXQY2HC,106,mutation,0.3531825418482232,0.12588904694167852,0.015391791044776115,64,10,64,0.3739306446207602,0.06151742993848258,0.13087717606211122,64,0,10,18,64,2
M204Q3PMFZ,106,crossover,0.7929206643446955,0.01676149834044571,0.09999999999999998,15,7,15,0.7781239238769351,0.003227766385661123,1,15,0,13,23,15,6
MC0XPY1VVX,106,crossover,0.3541712273611267,0.10142247510668563,0.08243902439024392,15,7,15,0.348394476396671,0.0687577529682793,0.0796536796536797,15,0,12,16,15,2
ZPLP2OOL5D,106,crossover,0.47182736066949527,0.034637268847795166,0.0979591836734694,66,12,66,0.47632400088757376,0.06301106301106302,0.059400826446280974,66,0,12,22,66,4
ABXPSGTEOS,106,crossover,0.7197677643358866,0.004717875770507349,0.04545454545454547,37,11,37,0.7139913636773785,0.008012455380876433,0.16521739130434776,37,1,13,29,37,7
9G16HTO5OO,106,crossover,0.6296296296296297,0.019227121858700808,0.14166666666666666,33,10,33,0.6270756204846345,0.008632692843219159,0.10119047619047616,33,0,10,22,33,5
9I0EYJB5MF,106,crossover,0.4217870726084956,0.0709815078236131,0.065086782376502,6,3,6,0.46896954119726253,0.06137819295714032,0.1425339366515837,6,0,15,15,6,3
S8M57AVGJL,106,crossover,0.547377969547169,0.031223328591749637,0.23333333333333334,11,5,11,0.5594930841958563,0.034695324169008376,0.13194444444444442,11,0,13,18,11,4
KNNT3YREAG,106,crossover,0.3513607302865609,0.01242294926505455,0.12906366636014494,49,10,49,0.3645873704809266,0.09573175362649045,0.0917175239755885,49,0,10,20,49,1
PRZM1CSUVG,106,crossover,0.5071505345872835,0.04495021337126601,0.020689655172413834,50,12,50,0.5108612110049588,0.04542922963975596,0.06632653061224486,50,0,12,21,50,4
SF0139XSS7,106,mutation,0.7199654590593738,0.01849217638691323,0.009615384615384637,25,10,25,0.7443150697814608,0.0011265537581327065,0.3833333333333334,25,0,13,17,25,5
TRE206I4H7,106,crossover,0.616352541220189,0.004931247036510197,0.09523809523809523,122,11,122,0.6033453988690736,0.034695324169008376,0.12727272727272726,122,0,11,13,122,6
PF9DPFXLAP,106,mutation,0.7290581181116618,0.01901375059269796,0.16666666666666663,11,5,11,0.7242470470737896,0.0059112427533480165,0.3533333333333334,11,0,12,19,11,6
HEJVUTGLIP,106,crossover,0.35735850011991166,0.0788525367472736,0.06435786435786439,59,11,59,0.3931889296452006,0.061365535049745595,0.13009708737864079,59,0,12,17,59,2
MJJTR1T5HW,106,crossover,0.5621998061850173,0.018231389284020863,0.024806201550387597,55,12,55,0.5400663198544686,0.03041695146958305,0.27112676056338025,55,0,12,15,55,6
3YF1Y6A8PP,106,crossover,0.6113878097212041,0.027761972498814604,0.0641025641025641,27,8,27,0.585215901814536,0.021860206070732385,0.11555555555555563,27,0,12,21,27,6
PZVVB7W3IE,106,crossover,0.35097335161203436,0.06872925557136084,0.13418491484184913,20,7,20,0.3715074494300853,0.12085769980506822,0.0735004060795916,20,0,12,14,20,1
RD50STVSJT,106,crossover,0.7542200704424521,0.004717875770507349,0.04999999999999999,31,10,31,0.7545835365391245,0.0016328700539226856,0.375,31,1,14,29,31,7
Q7LI8JXUJY,106,crossover,0.575268475390027,0.005666192508297772,0.08521870286576172,141,15,141,0.5729134717484035,0.035783904204956835,0.1780392156862745,141,0,15,13,141,6
HLE8T56ZFA,106,crossover,0.4103333102220398,0.05806069227121857,0.08305921052631576,171,15,171,0.4136129164835688,0.057049188628136016,0.17187500000000003,171,1,15,5,171,3
Z42GJDRL53,106,crossover,0.3588982721095043,0.10519203413940256,0.062090191355546664,12,5,12,0.3564036888243647,0.06342877395508975,0.08801313628899837,12,0,12,16,12,2
WEG9Z2H48B,106,mutation,0.5646979731907796,0.018966334755808445,0.09843937575030015,50,13,50,0.564803994022955,0.012949039264828738,0.14956011730205276,50,0,14,18,50,5
7PSRJMQ2NR,106,crossover,0.6850126996559545,0.0011616880037932723,0.08041958041958044,138,10,138,0.630928248391815,0.0018733702944229227,0.24074074074074073,138,1,10,9,228,6
