id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
3MQCOZT0VQ,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,4,9,2,4
H9O9HL0ZCN,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,1,3,23,3,1
1WD8M2J057,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,4,32,2,5
RCBYEE0MOH,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,27,2,2
LHPKTU6LW0,108,inicialization,0.0,1,0.0,5,4,5,0.0,1,0.0,5,1,4,4,5,1
UYND2CWVPM,108,inicialization,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,10,2,2
F6S8UGQCA6,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,1,3,26,3,1
3HUR8JLUDV,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,4,8,2,4
F0XN3YMC6O,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,26,2,2
1DQOXWNI2D,108,mutation,0.0,1,0.0,5,4,5,0.0,1,0.0,5,1,4,14,5,1
KADF348Z6V,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,26,2,2
L9CBTMW6HR,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,0,3,4,3,2
ILUOEU635R,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,4,7,2,5
2ZO2MVSA0B,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,14,2,2
