id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
VH0IDJXXEH,100,crossover,0.2690257092746824,6.254708405484255e-06,0.1459035470854051,372,13,372,0.2660930990572965,0.0081391720407738,0.1115252103624196,372,0,13,6,372,5
38O83RSC09,100,crossover,0.2461235448643871,0.0162334006988594,0.0810708898944193,178,13,178,0.2454961052460871,0.0138951773761304,0.0882555083889226,178,1,13,9,178,5
YVBGCSPYLP,100,mutation,0.1825206901928422,0.0468130175771205,0.087007642563198,271,16,271,0.1923118286569136,0.0437474761071476,0.0873434833830872,271,0,16,8,271,3
B0BNIAMSCA,100,crossover,0.2482280184902181,0.0151895593627425,0.0826434085649047,183,13,183,0.249262470500339,0.013141833600509,0.0954545454545454,183,1,13,15,183,5
AHZA9R56XC,100,crossover,0.1786707088554524,0.0481445754998902,0.0863491747862398,174,16,174,0.1899310761562058,0.0439203245267318,0.0895970041570756,174,0,16,9,174,3
P2WGSS5F74,101,crossover,0.1846001789987706,0.0386113350395742,0.1144646924829156,131,12,131,0.1899109698201478,0.045263610924501,0.1123363562883102,131,0,12,15,131,3
0W5WSK955V,101,mutation,0.1905464969500495,0.0338009053600018,0.1208923126303964,143,15,143,0.191685623909374,0.0437536205642975,0.10868437144935,143,0,15,12,143,3
4TGQUTG1PK,103,inicialization,0.1822174878635724,0.05449434949257,0.1009391692672223,103,8,103,0.1748016618585298,0.0476681146014703,0.1031749219994911,103,0,8,13,1939,3
I05C78FO9P,103,mutation,0.2105894149778713,0.0413294862995319,0.071585598921797,179,18,179,0.193739711166984,0.0382098734644031,0.0673276857912976,179,1,18,17,179,4
40PGN5F9EC,103,crossover,0.2188582536951168,0.0325666805069497,0.1190501226778829,597,24,597,0.2022897849305038,0.0362548591966531,0.0985191362107139,597,1,24,9,597,4
0XVSKC2PKB,103,mutation,0.1892055998620241,0.0526605119774939,0.1066191297232531,157,18,157,0.1747820240411545,0.0650435211718901,0.078522174475095,157,1,19,10,157,3
RDCXRW0FV9,103,crossover,0.2105894149778713,0.0413294862995319,0.071585598921797,179,18,179,0.193739711166984,0.0382098734644031,0.0673276857912976,179,1,18,16,179,4
PZNLJHJN55,103,crossover,0.2251234411075223,0.0233388835693242,0.1366961022451249,488,18,488,0.2110614058261744,0.0234966340805765,0.1098579076200522,488,1,18,9,488,4
OYFSH7M3YC,103,mutation,0.2110674111373638,0.0361312595505015,0.0896280228167429,193,18,193,0.1935219893153626,0.0423095844820081,0.0538793103448276,193,1,18,7,193,4
RSVY77RIUC,103,crossover,0.2211624448238554,0.029901366798573,0.1120461274738974,468,22,468,0.2070278416528996,0.0309129546333913,0.0901884762552397,468,1,22,11,468,4
C774E501HT,103,crossover,0.2202986158570546,0.030818285556111,0.1079810891916236,459,22,459,0.2066672336818388,0.0315118525101567,0.0869954464768079,459,1,22,13,459,4
5V9KQA08LJ,103,mutation,0.2238256738060582,0.0259268752877507,0.126989058789587,507,26,507,0.2101224545181851,0.0287385963798607,0.0997204377825362,507,1,26,9,507,4
