id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
697NVE1E8V,100,mutation,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,10,20,11,4.0
J7O078ILMX,101,crossover,0.3221475607628089,0.141025641025641,0.031578947368421,4,3,4,0.3265548282810754,0.3181318681318681,0.0108695652173912,4,1,11,21,4,3.0
U68EZXIHF1,101,mutation,0.2658289761924804,0.1506410256410256,0.0737976782752902,13,4,13,0.3214625427472639,0.2170329670329669,0.0054945054945054,13,0,4,24,14,3.0
L2O5SNLMU0,101,crossover,0.2619341423689252,0.1591880341880341,0.0808080808080808,14,4,14,0.3271407802914799,0.2170329670329669,0.0,14,0,4,17,15,3.0
43DDD6KZWC,101,crossover,0.3142903849491166,0.1485042735042734,0.0525974025974026,5,3,5,0.3294362327706438,0.2681318681318681,0.004079254079254,5,0,11,17,5,3.0
HYBD290W1V,102,crossover,0.4330659451229366,0.0017316017316017,0.3166666666666666,8,3,8,0.3738810161126353,0.0009925558312655,0.2360248447204969,8,1,3,28,49,4.0
RJJD01OPUY,103,mutation,0.3125141340213617,0.1284763023893458,0.0133667502088554,34,8,34,0.2957981977777113,0.0392916436081903,0.1296296296296296,34,0,8,16,34,3.0
NX7SBSUFRP,103,mutation,0.3475817828055825,0.0579710144927536,0.0487132352941176,38,8,38,0.3012361309129292,0.0063641394576646,0.1451546391752577,38,0,8,13,38,3.0
2F2FCXU4VY,103,crossover,0.3352016228544253,0.2138660399529964,0.008312020460358,22,6,22,0.3012361309129292,0.0849474266740453,0.1260659992584353,22,0,6,17,22,3.0
4BL3HXKYCT,103,mutation,0.3178619441398789,0.0849980415197806,0.0102707749766573,35,8,35,0.2925151878956773,0.0464858882125069,0.1243664717348927,35,0,8,15,35,3.0
5T8NHC2QKL,103,mutation,0.3352016228544253,0.1613787700744222,0.0,28,8,28,0.2917597313941643,0.0705589374654123,0.1206896551724138,28,0,8,15,28,3.0
MSQGVBDJNL,103,crossover,0.3358255538948835,0.126909518213866,0.0137299771167048,31,8,31,0.2990965850076417,0.0777531820697288,0.1071428571428571,31,0,8,15,31,3.0
2PI2F954X7,103,mutation,0.347793641300272,0.1523697610654132,0.0142857142857142,26,8,26,0.2925151878956773,0.0464858882125069,0.1428571428571429,26,0,8,12,26,3.0
9JRGMFLDRF,103,mutation,0.3308503948817942,0.2048570309439874,0.0062111801242236,27,8,27,0.2951403725037493,0.0633646928610957,0.1257401602229188,27,0,8,17,27,3.0
V8YSIQJ0HL,103,mutation,0.3257069709692624,0.1645123384253818,0.0093984962406014,28,8,28,0.3111532798063355,0.0030437188710569,0.1623376623376623,28,0,8,31,32,3.0
4EFKQ89FMS,103,crossover,0.3397908099078407,0.1703877790834312,0.0021008403361344,23,6,23,0.2979784728379545,0.0921416712783619,0.1206896551724138,23,0,6,15,23,3.0
FUMGEXYIG7,103,crossover,0.3397908099078407,0.1703877790834312,0.0021008403361344,23,6,23,0.2979784728379545,0.0921416712783619,0.1206896551724138,23,0,6,13,23,3.0
8YNIOYJRFV,103,crossover,0.323456252126982,0.1464943204073638,0.0160570918822479,32,8,32,0.2947358619238264,0.0536801328168234,0.104746317512275,32,0,8,23,32,3.0
RKYON65A5W,103,crossover,0.323456252126982,0.1464943204073638,0.0160570918822479,32,8,32,0.2947358619238264,0.0536801328168234,0.104746317512275,32,0,8,24,32,3.0
8T7Y7YNP82,104,crossover,0.5887801906501444,0.0138888888888888,0.2115384615384615,4,3,4,0.5346930805739573,0.0004415011037527,0.0833333333333333,4,0,8,19,4,6.0
K75N62PT6K,104,crossover,0.5441576941614482,0.0138888888888888,0.0,16,5,16,0.5805780107953029,0.0004415011037527,0.0238095238095238,16,0,5,22,59,7.0
BKW2EJLZKI,104,inicialization,0.3518883573806891,0.1805555555555555,0.037037037037037,2,1,2,0.3103489691742637,0.0359823399558499,0.1992018623212504,2,1,8,31,2,2.0
