id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
G7TEDRTMA0,100,crossover,0.7860569107504611,0.0084576265930726,0.2386363636363636,24,8,24,0.7567408234423713,0.0043124181055215,0.0606060606060605,24,1,15,20,24,9
0U3DNITSZR,100,mutation,0.3797523515455004,0.0004186176315544,0.0924602098904077,102,9,102,0.3551432628565426,0.0039060556301935,0.0958251611095544,102,0,9,25,102,4
OTKSN68B8V,100,mutation,0.5980583132251913,0.0340708239015163,0.0,43,11,43,0.5678246298300215,0.0157652054203778,0.0261049366761436,43,0,13,18,43,8
OG8YIZZG91,100,mutation,0.7748872497925666,0.0084576265930726,0.2525252525252525,25,8,25,0.7519889059378819,0.0003897762518452,0.0023923444976077,25,1,14,19,25,9
61MUBBQQUW,100,mutation,0.3959005942704673,0.028031876957425,0.0917213750865196,463,18,463,0.3982205348126177,0.0352208455656731,0.0655715200878558,463,0,18,15,506,6
3N8N1FCZEX,100,mutation,0.707050130330596,0.000457378523365,0.1873315363881401,41,11,41,0.694389516383108,0.0045031596755734,0.0281923714759535,41,1,17,12,41,9
NS7DHB3I80,100,crossover,0.7481890579946822,0.0058451424850382,0.2224532224532224,30,9,30,0.7171233742086818,0.0017664328009155,0.0863636363636363,30,1,15,18,30,9
8PU7RXL23Z,100,crossover,0.6240216518186886,0.012496511519737,0.1350601295097132,53,9,53,0.5819408867168081,0.0125308918412366,0.0498174230568596,53,1,9,13,53,8
K45HLMB3MZ,100,crossover,0.7215913693967251,0.0046590591956339,0.1689291101055806,38,11,38,0.7002639155981087,0.0013683634373289,0.0448028673835125,38,1,16,24,38,9
UFTVNKY57D,100,mutation,0.7388610210164207,0.0037443021489038,0.2138836772983113,35,9,35,0.7023526942472897,0.0013683634373289,0.0418943533697632,35,1,22,18,35,9
IC9Z7X4YSH,100,crossover,0.7296954766024075,0.0037443021489038,0.1943521594684385,37,9,37,0.6983406867662761,0.0029357615564512,0.0347222222222222,37,1,15,13,37,9
Y3TY2EIR54,100,mutation,0.649314428118023,0.0156749046482061,0.0962772785622593,46,9,46,0.6068746461156933,0.0111625284039077,0.0347054075867635,46,1,9,22,46,8
PYZC6NITGZ,100,crossover,0.7714398063335977,0.0063567862569382,0.2257053291536049,26,9,26,0.7325081859600926,0.0003897762518452,0.0296442687747034,26,1,15,19,26,9
1U6L3A89FW,100,mutation,0.3319629179327301,0.1096390585754597,0.0272736351833524,14,6,14,0.3420516744905197,0.1193544641820503,0.0568032506321286,14,1,16,19,14,4
Y9FR6T2B8M,100,crossover,0.7545641533940596,0.0021551055846692,0.161904761904762,28,9,28,0.7259691087237135,0.0033338309200378,0.0899999999999999,28,1,14,17,28,9
TLDWVPGFZM,100,crossover,0.7128267285894512,0.0025582188594995,0.1959361393323657,40,11,40,0.6981895926855604,0.0013683634373289,0.0476190476190475,40,1,15,15,40,9
ZD4728ECOW,100,crossover,0.4850655969555705,0.0496914633011876,0.0309597523219813,89,15,89,0.4750494647388174,0.0173243104277587,0.073741856293079,89,0,15,20,89,7
40OS9G04W9,100,crossover,0.5568464144820384,0.0292489689602778,0.1029411764705882,76,12,76,0.5215117585121908,0.0137997379376689,0.0731292517006803,76,1,12,17,76,8
6VHC8R7HFN,100,mutation,0.6587808350138237,0.0119848677478371,0.0813397129186603,93,10,93,0.636222010236512,0.0015591050073808,0.0481553398058252,93,1,10,19,93,9
R42B0NUJVI,100,crossover,0.6303439541004768,0.0235123569723092,0.0231107850330153,87,15,87,0.6157341048328948,0.0020483986001227,0.0790960451977401,87,1,15,16,87,9
BIGDLUA9LT,100,crossover,0.560862465579116,0.0266364848522434,0.1067129629629629,80,14,80,0.5299286596370963,0.0038065382892969,0.1236910994764397,80,1,14,16,80,8
KNII2ZWAK2,100,mutation,0.369546930843821,0.0927238053893143,0.0248517050406229,355,20,355,0.3838737992394743,0.034598862185069,0.0931791520026814,355,1,20,22,355,4
7XEW1TX3R9,100,crossover,0.7357705113237283,0.0037443021489038,0.2179487179487179,36,9,36,0.7025017041718989,0.0029357615564512,0.0286738351254479,36,1,12,19,36,9
345A23JCRC,100,mutation,0.5673901928469416,0.0224348041799745,0.1376590330788804,71,12,71,0.5411454654117204,0.0112537526330629,0.0877280265339967,71,1,12,19,71,8
DVCSHKJMZY,100,crossover,0.7824171780005459,0.0063567862569382,0.2097902097902098,25,9,25,0.7368510459886225,0.0043124181055215,0.0842572062084257,25,1,15,20,25,9
4ZVFY30KUB,100,mutation,0.3344144384292828,0.1411284070823901,0.0091459466459465,21,6,21,0.3489237097353076,0.1108540246471281,0.0307470875755877,21,0,14,17,21,5
SKT0GD4YH4,100,mutation,0.6632545704441619,0.0098840274117026,0.1447368421052631,64,11,64,0.6459311891585706,0.0080277321656632,0.0073432992394439,64,1,11,16,64,9
BHNICRDZCR,100,mutation,0.3466122260674159,0.1018868802133399,0.002685950413223,54,10,54,0.3666644622055457,0.0738335738335738,0.0630059523809524,54,0,12,22,54,5
EXNFCW4HIX,100,mutation,0.7007275881776454,0.0193649415485751,0.0520833333333333,47,12,47,0.6830380201372341,0.0023469506228126,0.0311566367904395,47,1,12,20,47,9
JMF0R5DZXW,100,crossover,0.3730835444947592,0.0788784148345685,0.0465373828797246,193,16,193,0.3774955895121853,0.0021645021645021,0.1133428981348637,193,1,18,22,193,4
3O2L9S3XMJ,100,mutation,0.6094026873593106,0.0214115166361747,0.1527722377343437,51,10,51,0.5721905750069616,0.009885389195734,0.1045751633986928,51,1,10,19,51,8
W9U7WJ2R9C,100,crossover,0.6388591952959357,0.0103956711836025,0.16504329004329,50,9,50,0.5906802379891183,0.0099849065366306,0.0601503759398496,50,1,9,15,50,8
D8YECY7JPV,100,mutation,0.5533706468410171,0.0350398461967812,0.09375,81,14,81,0.5137769788954369,0.0100761307657859,0.0957473898650369,81,1,14,19,81,8
3845OAWRJG,100,crossover,0.7517763169215121,0.0016434618127693,0.1740890688259109,33,9,33,0.7144950962208569,0.0064686271582823,0.1246153846153845,33,1,13,21,33,9
P7XOSYZ2FA,100,crossover,0.6369161947268485,0.0067056342832335,0.1753952569169959,49,9,49,0.5896227238584812,0.0046939012456253,0.089844893181153,49,1,9,18,49,8
KWWAGTIOFN,100,mutation,0.611148509075788,0.0251015535365437,0.1424202708606378,52,10,52,0.5731580707858316,0.0151763944867393,0.075859291084855,52,1,10,15,52,8
