id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
EEBVMJMSBN,100,crossover,1.0,0.0,,0.0,0.9496207278140122,0.0,0.0,0.0008018233242715,30,0.0751084589910075,23407.568238364885,0.3806778883082333,8.0
VD6P3NVSUQ,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,118,0.0555746428148041,58156.88824367682,0.4117100265185388,8.0
E3M84RFXH0,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,65,0.052010542477522,36091.32991026692,0.3805848517719057,6.0
KPEH7MDNC3,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,99,0.0589478781632467,14720.194244117738,0.666529595336935,9.0
H9WRCPVEQR,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,140,0.0497619535768034,79074.57016524862,0.7345915498045865,8.0
Z1AHRQ0II4,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,133,0.0474015284471208,63233.63504792987,0.6664704594765763,8.0
6IWTOGJBTH,100,crossover,1.0,0.0,,0.0,1.0,0.0,,0.0,87,0.0586077442491585,4904.108465340962,0.6121546486223949,9.0
N7A32B8PJM,100,mutation,1.0,0.0,,0.0,0.9382982447657704,0.0,,0.0025125628140703,122,0.0747170653733664,42371.11426480088,0.4691248020959138,9.0
L6TVGVJ4W4,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,78,0.0683553803737221,4789.834473945946,0.730232187583198,9.0
W9I5OJ2PDI,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,125,0.0688612295969623,43988.72236961455,0.5195185723494162,9.0
4URVNCFHTC,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,95,0.0625989266208419,16082.018643814508,0.6091400709577759,8.0
3GX3WEA3IL,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.0547470456929855,21302.54220964988,0.7485518272385062,9.0
8G6EUTGSIX,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,121,0.0546222089723354,17041.70613633551,0.5660975784795595,9.0
99MW64DJB8,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,85,0.0663026091152949,31215.25014085723,0.5305824984964509,9.0
OTG9804K1X,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,121,0.0596428502253598,51899.26707128403,0.7238375639012151,9.0
OTIDA3ZN9U,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,74,0.0523063282816942,24014.061328729957,0.5604206841629384,8.0
8WKE6FECXM,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.059621053008206,17342.482694167113,0.7129127213888764,9.0
HN5REIXKRW,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0591008870365649,14079.350937396142,0.6730699849698267,9.0
3JOYBW5BL0,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,113,0.0583810456892819,54062.01158821064,0.7547696412012418,9.0
N98ENV959Z,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,105,0.0662371130174621,35136.40645854701,0.5221698352738918,9.0
YUN02I79I6,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,123,0.0478834116708232,65232.06790421219,0.6805697566521738,9.0
S6ASE06E4G,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,122,0.0622021655942411,43920.83929035592,0.7439833906370205,9.0
CGAUL79HIZ,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.0576529772211263,30039.274480546388,0.6211962179741666,9.0
UJS3RWF35W,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,114,0.0676842036135243,24750.7636673554,0.7112000149262272,9.0
7SR8M8U0P1,100,crossover,1.0,0.0,,0.0,1.0,0.0,,0.0,129,0.0568091748490809,30571.340760405878,0.7187040877529496,9.0
60FZBZ4GXM,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,148,0.06564518920507,42237.85350322893,0.6211364616043449,9.0
RO5Y7BOG9Q,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,114,0.0471554171834282,10222.977649750575,0.4256230451680507,8.0
85FEB7L3U2,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,78,0.0687907690751545,26309.563374266178,0.7266915535878291,9.0
UYMGCVCMKG,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,138,0.0593633492974264,55758.05540119846,0.6993901226240697,9.0
QV1PB3R0LM,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,104,0.0704548554242401,57951.84869628022,0.7181766863654726,8.0
OBKDL0JTE7,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0509225362538309,44735.3053041815,0.6658219091588913,9.0
3YGHRATASX,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,127,0.053429738477406,42334.012262120814,0.7179853726575548,9.0
FV8WTN3CYD,100,crossover,1.0,0.0,,0.0,0.9382982447657704,0.0,,0.0025125628140703,134,0.0618911755527519,63695.95343797408,0.6152335027922841,9.0
4RNSZOPAB4,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,128,0.0461714182915645,46777.0108828138,0.5942422615021331,9.0
OYX4RZ5LJI,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,134,0.0489149499686886,74353.21412226798,0.7141019859358831,9.0
NTPUBR8SWP,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0617395193537803,44214.77895439454,0.7164864378005551,9.0
LHZ4IUSIHO,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,138,0.0643517152341912,67351.4952060993,0.4874206135427894,8.0
V2YDRR5NO0,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,91,0.0690306267279386,23710.39563469264,0.5170974828715926,9.0
Q6BM6EBZ8R,100,mutation,1.0,0.0,,0.0,0.9382982447657704,0.0,0.0,3.569761375188385e-05,129,0.0561337109826363,47581.41945717813,0.6157810265264355,9.0
WGEG5ZBZYZ,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0575915909077315,36106.44076889788,0.6601604106076612,9.0
J9HS71JNCG,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,118,0.0541717225321873,20164.9933663257,0.7183710861435961,9.0
MJO1JYAWZZ,100,crossover,1.0,0.0,,0.0,1.0,0.0,,0.0,142,0.0589845447032727,47583.39248232925,0.6675751256638046,9.0
A8NWXWHRUU,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,140,0.0589756530574908,43725.33884655534,0.6482146772325753,9.0
JGJ3DZ57JO,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,127,0.0609977869498159,26573.46230762801,0.7748621613275583,9.0
C1YJO34J95,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,140,0.0541376270583624,31379.421987524864,0.7496899492708734,8.0
R3R47P549B,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,107,0.0624266959026672,20566.270859232263,0.6519222019812447,9.0
9GAKIY8OMK,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,107,0.058959477477656,29495.80042547877,0.6669006922796097,9.0
RHOZYV3LON,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,122,0.0590963610257666,41721.61056797263,0.568253582799182,9.0
0ZZM7HKBKA,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0560591761452253,54602.57102913524,0.6522953780306999,9.0
86GTPXFH8E,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,133,0.0492360456157213,46100.46983025874,0.664821772416234,9.0
0FOKKWFHHV,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,127,0.0602226411849465,57171.78937438399,0.5612874994432708,8.0
9AR2QKDU0G,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,140,0.0640533096273158,58527.14362793376,0.663434987178631,9.0
TL1ZWUN12H,100,mutation,1.0,0.0,,0.0,0.9496207278140122,0.0,0.0,0.0008018233242715,88,0.0725051005257839,13258.249574268926,0.5450376611690532,8.0
COQOQ80VES,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0581317533284252,44511.394329887415,0.7023321832636539,9.0
I8DGJCLWID,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0519466790989486,52056.96478341507,0.6820091435607023,9.0
VRNPCSR0OE,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,127,0.067085991250382,51964.41921724459,0.6692629718401163,9.0
MVVAQC2AR7,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,138,0.0645130555878047,41200.58918601129,0.6546860643491638,9.0
SMF3UVDBMJ,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,135,0.063305201445902,45353.41456259011,0.5979392242833855,9.0
JMKEXXLDN8,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,131,0.0573942771123349,50754.46111184131,0.6550101929532217,9.0
UBD7R3KOEX,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,118,0.060738147027543,32904.81602895466,0.6528816316234961,9.0
VNE0V388E6,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,140,0.0551288271037404,65888.75294322928,0.7135577464877018,9.0
AXXEA023WQ,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,123,0.0661088012408266,55267.40847702761,0.6986905200556579,9.0
0ENXND4FIS,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,105,0.0570392187280955,26792.29625280587,0.6576411891073162,9.0
IJH5B5MG1A,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,118,0.0572787799790599,53153.46633842178,0.5307189702068088,8.0
Y0YU7XVKAO,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,118,0.0651801692009103,51699.649985626194,0.6827448606847419,9.0
R7FPQMLWAS,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.0579606335147215,53654.90381323372,0.6670110719218444,9.0
VQIQKU0K5L,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,107,0.0552668636493335,38849.72745003872,0.6082657960341763,9.0
GWA6FZAF7D,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.0616021568756392,56339.41356990358,0.6824814962841579,9.0
BYEZT3W83T,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0536145917842094,41401.75461365291,0.6682512014753955,9.0
S0VYK9UM66,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0586519799227481,45666.86765732406,0.6634620062353909,9.0
W3TUDMJEO7,100,crossover,1.0,0.0,,0.0,0.9496207278140122,0.0,0.0,0.0008018233242715,128,0.0498143716180326,45621.53755537715,0.6331124385303961,9.0
KSUGFGJBH5,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,127,0.0591970728459034,49723.82196896435,0.607381710171581,9.0
L751N02IJJ,100,crossover,1.0,0.0,,0.0,1.0,0.0,,0.0,129,0.0599799379536688,40491.350576266974,0.6954622470972178,9.0
1862LDJSIF,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0605573348838681,49473.49155186673,0.5544677722329913,8.0
IO1NVB4C8C,100,crossover,1.0,0.0,,0.0,1.0,0.0,,0.0,115,0.050635216079304,31148.6094283418,0.5601374029147737,9.0
RTG2Q87VFP,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,122,0.0603730399473633,48005.24630894349,0.6708925197425802,9.0
I5IALDSHZ0,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0518150911922992,23830.1533983425,0.6168482440466829,9.0
UR6WEQX750,100,crossover,1.0,0.0,,0.0,0.9496207278140122,0.0,,0.0016750418760469,121,0.0538318427229778,46303.47720092541,0.5835346791150215,8.0
UDF1O7LWC7,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,128,0.0668618733296281,46981.437220608095,0.565525036032235,8.0
SFU3PWLCHH,100,crossover,1.0,0.0,,0.0,0.9496207278140122,0.0,,0.0016750418760469,154,0.0586660403754504,40951.945929837246,0.7212745520975272,9.0
D7FD4JG0AY,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,121,0.0613651396315466,43903.60619635965,0.5638344292350932,9.0
3NFHEG8CJJ,100,crossover,1.0,0.0,,0.0,0.9382982447657704,0.0,0.0,3.569761375188385e-05,113,0.053292644637783,27698.290087355894,0.5500640618243444,9.0
48XXKF3WD2,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,138,0.053957377537908,63071.902300762646,0.6815319154309376,9.0
ZAO9780HLZ,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,149,0.0568520791318441,27803.632620544067,0.6866037695933122,9.0
GZLPRR9YOA,100,crossover,1.0,0.0,,0.0,0.9382982447657704,0.0,,0.0025125628140703,107,0.0606248111705618,42225.99209072953,0.6185456031221258,9.0
F3CSG86KYG,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0656305019342237,38225.26950536248,0.6574048689827422,9.0
63XM5AXF04,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,129,0.0686634920166113,32624.541680159396,0.629685885518352,9.0
BN4GSPM6LB,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,128,0.0495442399203981,47058.98304431458,0.6017693164433876,9.0
4LYSF0EOA5,100,crossover,1.0,0.0,,0.0,0.9496207278140122,0.0,,0.0016750418760469,129,0.056703593691874,47442.61231918559,0.6691866508741349,9.0
9L3RMPZZ27,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,121,0.0622136381895343,42793.31388458631,0.6407895907767143,9.0
OB90I02J9I,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,116,0.0645623074136988,31174.442809130265,0.7583115792938279,9.0
6G0I5KI9Q9,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,128,0.066533577572314,54260.80009927431,0.6482108706978095,8.0
CWS6ZTLQ2G,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,129,0.0573337801935028,30859.828682544117,0.7104947823603021,9.0
3IJ5FX8W5E,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,133,0.061129042776184,65468.07695903684,0.6587458023808115,9.0
GWFTD5NTAR,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,133,0.0577704170461044,43618.67616615987,0.6485668450683078,9.0
IJK46HX8FB,100,mutation,1.0,0.0,,0.0,1.0,0.0,,0.0,142,0.0462335349115782,59129.01524981522,0.7774837993287543,9.0
IMI01DIYRD,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0558555761515972,28564.45379510037,0.6696760383213638,9.0
IAXN0Q98SX,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,133,0.0625727352942536,34060.03303554547,0.808453971114278,9.0
V6KQ2VTZNP,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.056342614647264,55334.76452736437,0.6642054406949778,9.0
B21CQHJ3TD,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,115,0.0616814399631724,52123.29546757735,0.6349099190793219,9.0
458RJ3X8E4,100,crossover,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,121,0.0635157962855494,54170.123663035694,0.7175685559661622,9.0
L6P3HI5B7P,100,mutation,1.0,0.0,,0.0,0.9643764750060452,0.0,,0.0008375209380234,112,0.0616127147920329,40152.00960085968,0.6471263135106349,9.0
ZL0HQ9JMX4,100,crossover,1.0,0.0,,0.0,0.9382982447657704,0.0,0.0,3.569761375188385e-05,129,0.0577203622321389,44053.733998577816,0.634161442880539,9.0
