id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
MUMFYDXPII,100,mutation,0.3332538120511674,0.0194114546187478,0.0489942388438628,0.0434471756660798,0.350530467313635,0.000621983380604,0.0969141199514718,0.0387017052475492,147,0.0389692007943465,35159.45189117432,0.4215562708391728,4.0
TP5LGJF6N5,101,mutation,0.3266082744506478,0.0657942386831276,0.0151862269201106,0.0848830891772129,0.3109505460309344,0.0603492951907131,0.0821538819966218,0.1272184888429396,122,0.0466457887598296,40016.6766014338,0.5066563041611722,3.0
83WLFT74UU,101,mutation,0.3435935122704876,0.0017613168724279,0.0595060279526299,0.0361872766332872,0.3274040642616391,0.0180607379767827,0.1234412577776635,0.0494475316619281,161,0.049193778057367,47759.68745611356,0.3633200103278511,4.0
L3DDV2QK22,101,mutation,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0515024958122339,62444.15208566457,0.4731940571636031,4.0
30FP6XLV88,101,mutation,0.3451906536196126,0.0014485596707818,0.0302698440511652,0.0065022455052511,0.3204283834244632,0.0241241708126036,0.0775022567497333,0.0625053846816576,119,0.0510892839112756,32240.555369741665,0.7109443707666185,4.0
V6M6GMP4L3,101,mutation,0.3461093871682873,0.0003786008230452,0.0314568122624994,0.005138992039796,0.3203189016500115,0.0324160447761193,0.0738382852720481,0.0702108641337124,119,0.0485833181796956,15014.667921558175,0.4596264832901152,4.0
0S74R8ZNGN,103,inicialization,0.3242451550468042,0.0113511420828494,0.064794038616028,0.0337468887795416,0.3341410616130295,0.001283595820647,0.0926985580224307,0.0468470282849982,46,0.087863716905169,10416.23217374636,0.2891362091698819,4.0
6YIPA297P4,103,mutation,0.3242451550468042,0.0113511420828494,0.064794038616028,0.0337468887795416,0.3341410616130295,0.001283595820647,0.0926985580224307,0.0468470282849982,46,0.0606646881309359,25598.03014096266,0.4758073346354565,4.0
AQRUY4VTJD,107,crossover,0.8350178050773296,2.1151486949532412e-05,0.1333333333333334,0.004590555887627,0.7623586348587856,0.0004582426394776,0.1564482029598308,0.0193431843538488,84,0.0193457641267638,40710.46022174145,0.4630556632743224,9.0
Y6P7SSCEWZ,108,crossover,0.8663693790437879,0.0,0.0,0.0093190890554549,0.8830316622337439,0.0,0.0,0.0040591932022786,121,0.0821374291043001,44954.16430775521,0.4746305009311413,8.0
