id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
87LY2O6IFD,102,inicialization,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.2666666666666666,100,0.0001,1.0,1.0,
U7TK23ZZQ6,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,109,0.0137477717897811,38003.81957803777,0.4481227446780324,7.0
YBP92EE926,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,113,0.0130198214829695,40365.95808196407,0.415751059578971,
YK6PP0I5CN,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,112,0.010926212017357,35400.29904411218,0.4230235089193497,
TE2S5FY2JT,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,107,0.0162307452134617,45990.746424068886,0.688978323862418,7.0
I7NH5R6MVQ,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,103,0.0110587137577259,37804.98703898589,0.3994672497398392,3.0
3JI98GVS0J,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,94,0.0111696706056902,33200.943324684464,0.4436864466107904,
771A158IH2,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,106,0.0130191930270707,35477.424947643296,0.4379623056967038,
YNEFY8J2KE,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,101,0.010785101719328,29970.52720981937,0.3536158709821485,
PXTI9LAJQO,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,96,0.009899018437702,32558.911530576937,0.3706251694542279,5.0
NC8F1A0AD9,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,87,0.0145570027921103,40645.384711803534,0.4230387551447195,6.0
HQCEJQQCFJ,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,95,0.0118972007000989,31259.34771511788,0.4739790012024423,
VOB8J6BNXW,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,94,0.010889469863094,36560.05802948427,0.5126821037559592,
1085Y9IV6Q,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,110,0.0088357057898772,41635.6141911238,0.3288356276418596,6.0
CVMA37UH5V,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,113,0.0134019850599693,34725.55191008748,0.5093005579500042,7.0
TKIXCNH78C,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,113,0.0158321306379445,45199.80793952664,0.3774113073681485,6.0
TBB3VUJQAO,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,109,0.0130418276012033,37027.80145478715,0.3166223318878639,
0F9T69CABF,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,117,0.0115161114028097,50972.86951752567,0.6149341308381601,
P7E9ULJ2EJ,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,106,0.0125607010025501,35485.04349885777,0.4256940971696864,
OT4SRS0Y9J,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,90,0.0122205623290286,32770.00470013596,0.4676818486210473,
W8HJ86LN12,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,121,0.0164485550355318,48576.06928848186,0.6109420001808524,7.0
KK4AJ0AP8R,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,103,0.0170728697786298,34752.98605374836,0.2968562053693688,5.0
F95KS3BSWO,106,mutation,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,93,0.0111570690654079,38537.45881187901,0.6170514689018693,6.0
YHHDUJ4OZQ,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,82,0.011777799774362,30776.35755528519,0.3339494631838084,
HQDSBM04UG,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,105,0.0151648235618936,47648.16554577556,0.3252416591789955,6.0
HEPKPENVVC,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.1626794258373205,111,0.0155578177059819,27228.2616298316,0.2957998290948059,5.0
0IY50DVNBJ,107,crossover,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,130,0.0187734941296408,51279.29567629982,0.4984738855635601,7.0
V15P6AK1SL,107,mutation,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,123,0.0159139299606653,52919.75832864599,0.4722317069073549,7.0
1EDVS24PV7,107,crossover,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,124,0.0198266013356036,56301.67012905337,0.4359073591923947,7.0
W7YT2MP7AI,107,mutation,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,116,0.0178633441547161,52790.361167612165,0.4942262321458798,7.0
A4II1ETOZN,107,crossover,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,117,0.0159813859988568,59922.40570864001,0.4867520633962996,7.0
6EY83VN94Q,107,crossover,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.200956937799043,139,0.0160239527840289,53135.097540235576,0.4870631794972704,7.0
I82E7XEDG3,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,110,0.010830487358502,42508.6887052032,0.4400269516788277,
KSG6K6SU98,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,116,0.0090061210027866,32679.213405867653,0.3671288840289486,
ECTJ3O3C9V,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,81,0.0131372517576416,43917.97986245711,0.5104781674936995,4.0
NY2T7QZZ5M,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,91,0.0110300518229226,28037.8919724026,0.4318267489931185,
QNJT7IGQYN,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,99,0.0119746998491974,33417.82171766803,0.5215616199335784,
SHRQOG94QV,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,87,0.0047237076410263,18839.73245831148,0.2569352612251602,
WHF0Q8A001,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,99,0.0110732113453389,21817.799304896707,0.3829772728221813,
SSQZKWBCNX,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,86,0.0102794826474231,45937.27316672461,0.5102220869314059,
P61GSEMP6R,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,90,0.0184381005883084,31434.81762142451,0.5072604574561294,
XSBLUTS6N5,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,102,0.0076151399314311,17709.38192148917,0.1511050739343888,
KE4DRVOMHS,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,156,0.0079073788915612,25443.997702568027,0.5468827115354921,
8W2NMATGME,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,108,0.0166395004957438,51394.67193209063,0.5158983496217507,4.0
ANY1ZB5IXQ,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,88,0.005049169257128,47796.610996555886,0.5871553793988831,
8FPJ5YGQ45,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,102,0.0074112082547461,22713.149284407107,0.4089585118753414,
7Q4UQJH5OS,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,71,0.0138305599268914,45812.91796127855,0.5409199570970551,4.0
4A2I2FNMUK,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,123,0.0141382984984552,26576.56364985656,0.4878431897928181,
WZ62WVKIJP,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,98,0.0121638725025299,26583.521279128137,0.479940105206576,
LS9DO5P94Z,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,73,0.0091058280027814,53186.48601121433,0.5274081316874863,
Q5B30390LS,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,87,0.0162610046904401,49731.14108853815,0.4706319075585277,4.0
106BYOIBX0,108,mutation,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,126,0.0075816767850662,53375.12840749045,0.2471681847838534,6.0
KCDJ6ZNHWA,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,141,0.0072345105488475,54627.58305239077,0.4635980847919075,5.0
P6Z0C8XKT8,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,105,0.0119334803278815,30177.35760813452,0.5716869545924346,
637MP0TFUV,108,crossover,0.0,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.5333333333333334,98,0.0152480296797193,59667.20784563427,0.5615371079754288,
