id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
BMOZVAIBKG,inicialization,0.35513181319359655,0.013888888888888895,0.19166666666666665,114,0,,2,,
JHEVXDMQZU,inicialization,0.42841925727457764,0.10648148148148151,0.05555555555555558,109,1,16,2,114,
KT0C328PQL,inicialization,0.32140009173458073,0.17592592592592599,0.02564102564102566,15,1,4,3,90,2
KQ90VEW8MG,inicialization,0.407386739778398,0.125,0.2222222222222222,31,0,12,33,63,6
OJL7LC8YCJ,inicialization,0.31229096054819594,0.19444444444444448,0.014170040485829982,9,0,6,19,9,2
IPHE490948,inicialization,0.32580013753675796,0.21759259259259256,0.026755852842809402,60,0,9,3,87,1
577BBQBM52,inicialization,0.6052289830241386,1.0,0.33333333333333337,12,0,6,11,12,8
TGKEA0NKYV,inicialization,0.5871385880776148,1.0,0.5,31,1,6,9,98,8
FMDY6O67P4,inicialization,0.35744355276848405,0.24537037037037038,0.16249999999999998,66,0,9,5,101,6
ZO9EC5DZNY,inicialization,0.33641812178834396,0.3101851851851852,0.1686909581646424,10,1,15,19,10,5
6WCK3AL9R1,inicialization,0.43317261000963436,0.08796296296296297,0.1527777777777778,24,1,6,22,53,7
KK5HTDTAE2,inicialization,0.326402370673882,0.21296296296296302,0.0044444444444444176,14,0,6,23,14,3
ERGUU4216N,inicialization,0.4112802796823355,0.1111111111111111,0.1717171717171717,20,1,6,24,20,6
J1TONPG7XJ,inicialization,0.4171693569813282,0.037037037037037035,0.08506944444444442,33,0,13,33,39,3
AS3LNE9SLA,inicialization,0.33286001650646246,0.2407407407407407,0.003527336860670194,26,1,7,31,71,2
H8PF0XPK7M,inicialization,0.7337530359094289,1.0,0.25,17,1,5,22,78,8
4Q1U4D2RDZ,inicialization,0.40693035676102784,0.0046296296296296224,0.14430894308943093,32,0,15,33,90,4
VQ8ICTA5D9,inicialization,0.4446248489160157,0.04166666666666667,0.016304347826086918,42,1,15,24,90,7
CRH5FFV0JN,inicialization,0.34731241604341656,0.11111111111111116,0.08148148148148143,27,0,10,35,42,2
QAFH2OFZ67,inicialization,0.38630351424879683,0.17592592592592596,0.09438775510204084,46,0,7,9,68,3
XHNOBNCLZ9,inicialization,0.35188835738068913,0.12962962962962965,0.08641975308641975,31,0,11,32,79,2
PGLL55FCO9,inicialization,0.33489088874822204,0.14351851851851855,0.04561403508771933,23,0,10,36,23,5
ICZO6JAMSW,inicialization,0.404426501422543,0.3425925925925926,0.358974358974359,19,0,14,6,19,6
N185YE7M2E,inicialization,0.317821163207209,0.2870370370370371,0.06720430107526881,7,1,4,20,7,4
LR5SWGB96I,inicialization,0.46069027604262647,0.19444444444444453,0.019859813084112166,18,0,5,27,94,1
FTXXHF8045,inicialization,0.3306331737739403,0.25925925925925924,0.0073260073260073555,20,1,7,38,34,2
HIBU8N8EYX,inicialization,0.5887801906501444,0.013888888888888888,0.21153846153846156,8,0,3,11,107,7
P5Q49CAMTE,inicialization,0.34731241604341656,0.11111111111111116,0.08148148148148143,26,0,9,35,105,2
ODZE96XNIE,inicialization,0.521286446121831,0.05092592592592593,0.36904761904761907,37,1,16,28,98,8
