id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
7021I2T2EK,109,mutation,0.18397946107222096,0.056063454392598355,0.08337802946202488,57,12,57,0.18114240365719692,0.06933733516750733,0.05125601768560717,57,0,25,16,57,3
89EBXU15N7,109,crossover,0.3401800821456904,3.5797475604552875e-05,0.13116219667943807,523,14,523,0.33685115686264244,0.014527954942311527,0.06619920891765552,523,0,14,12,945,7
B5733FKPVP,109,crossover,0.18397946107222096,0.056063454392598355,0.08337802946202488,57,12,57,0.18114240365719692,0.06933733516750733,0.05125601768560717,57,0,23,16,57,3
NA08CATLHI,109,mutation,0.2709021571810283,0.007591191410874214,0.07138056835637485,52,12,52,0.2762319644923288,0.012012913326015166,0.05796273733373947,52,0,24,27,52,6
EW7MEB4BB8,109,crossover,0.19968334670329113,0.03376304481276857,0.07559578323817684,200,10,200,0.20185513879960182,0.05701502077341003,0.016654489904357028,200,1,10,15,618,4
R0JYHYTXCF,109,crossover,0.2245983228889128,0.010389419825705279,0.12139541866313042,51,10,51,0.22982375803937427,0.031157799176474404,0.06726966391770861,51,1,23,17,51,4
LX90X081P1,109,crossover,0.20390220396316516,0.01475848400171828,0.13151248164464024,51,10,51,0.2051737898199305,0.03969041366181722,0.055742138090461024,51,1,24,28,51,4
JK1I9G5S6Y,109,inicialization,0.28367068066369816,0.0008410634614812035,0.132838506522717,8,3,8,0.27292273190460137,0.006693808736411594,0.11957384834811668,8,0,3,19,973,4
P8H39P7EIQ,109,crossover,0.3214158195903435,0.0007808102847210729,0.127862532808399,1301,22,1301,0.3197334021843724,0.03311980954233654,0.021880515693346703,1301,1,22,8,1555,8
XMVXI7LP6V,109,crossover,0.19635911746904278,0.042273628814912145,0.12981268738682578,277,15,277,0.1922036164008306,0.06717615944344862,0.05832737645662489,277,0,15,16,277,3
XCKLNF1O3P,109,mutation,0.19747838337403534,0.03865879263975547,0.12750768260972345,39,6,39,0.1911897084085532,0.06241934960931167,0.0626733784940382,39,0,6,17,501,4
M8PBRRG2BK,109,mutation,0.32621062837303416,0.0007652153448537424,0.11295986622073584,1172,22,1172,0.3271523690862622,0.030125844715865137,0.023139158576051755,1172,1,22,11,1456,8
J5MLA8FLY7,109,mutation,0.2782216378087986,0.0034698741204808384,0.0902875903914887,194,10,194,0.27142232692684887,0.018303759593517398,0.04522517269220416,194,1,10,15,527,5
YT0TITM3CZ,109,mutation,0.33725337702259717,8.045571249735983e-05,0.10689906058077081,1071,21,1071,0.3364716207271342,0.029985965789875918,0.003382844700209997,1071,1,21,12,1275,8
