id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
WRQHO2B206,104,crossover,0.2866077015914936,0.0,0.08214285714285707,61,12,61,0.37075566381375524,0.04238410596026493,0.10616784630940346,61,1,12,8,61,2
A5LMENYZ7R,104,crossover,0.2770011945187788,0.16666666666666669,0.04545454545454547,38,9,38,0.4115914024112237,0.06313465783664457,0.13096816976127323,38,1,9,16,38,1
8T7Y7YNP82,104,crossover,0.5887801906501444,0.013888888888888888,0.21153846153846156,4,3,4,0.5346930805739573,0.0004415011037527533,0.08333333333333337,4,0,8,19,4,6
K75N62PT6K,104,crossover,0.5441576941614482,0.013888888888888888,0.0,16,5,16,0.5805780107953029,0.0004415011037527533,0.023809523809523836,16,0,5,22,59,7
NX3BBH90PH,104,crossover,0.317821163207209,0.2870370370370371,0.06720430107526881,4,3,4,0.33373380592709,0.04459161147902868,0.22161172161172166,4,0,7,18,4,4
FSPHP0ETT7,104,crossover,0.6789323816009849,0.004629629629629629,0.05555555555555558,3,2,3,0.6288919366932414,0.02030905077262693,1,3,0,7,18,3,5
BKW2EJLZKI,104,inicialization,0.35188835738068913,0.18055555555555558,0.037037037037037035,2,1,2,0.3103489691742637,0.03598233995584993,0.19920186232125048,2,1,8,31,2,2
MGHQ32A54E,104,crossover,0.28197676966036866,0.013888888888888867,0.10439560439560447,73,12,73,0.4143193197346119,0.02891832229580571,0.1385281385281385,73,1,12,6,73,2
0V4UOZLVBK,104,crossover,0.5887801906501444,0.013888888888888888,0.21153846153846156,4,3,4,0.5346930805739573,0.0004415011037527533,0.08333333333333337,4,0,8,19,4,6
BPH2WTSODO,104,inicialization,0.6263552628359532,0.023148148148148147,0.0357142857142857,15,4,15,0.6119116865527252,0.01368653421633554,0.02941176470588236,15,0,4,4,73,7
MY9AK6VYR9,104,crossover,0.44694375320297475,0.08333333333333333,0.0531400966183575,12,7,12,0.47008763907885087,0.02715231788079471,0.0357142857142857,12,0,7,21,12,7
GPTPMRLQ10,104,crossover,0.3439014037773225,0.027777777777777735,0.18060200668896315,32,7,32,0.35572888079471,0.07637969094922736,0.1227598566308244,32,0,7,11,32,2
KXDRA74WA5,104,crossover,0.5134381598990481,0.013888888888888888,0.1029411764705882,6,5,6,0.5064674829112341,0.0004415011037527533,0.11538461538461542,6,0,8,19,6,6
XDTSQ3OIYM,104,crossover,0.6789323816009849,0.004629629629629629,0.05555555555555558,3,2,3,0.6288919366932414,0.02030905077262693,1,3,0,8,19,3,5
Y2KIZKGQRJ,104,crossover,0.5459418196212834,0.004629629629629629,0.04761904761904767,6,5,6,0.6288919366932414,0.02030905077262693,1,6,1,8,26,6,6
KLGXYGW7TG,104,mutation,0.5274012620630826,0.004629629629629629,0.10769230769230775,17,6,17,0.5843173602251726,0.01942604856512141,0.041666666666666685,17,0,6,22,17,7
