id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
JZSP7JXRWJ,100,mutation,0.37745937644844907,9.302614034545353e-05,0.09266978922716623,100,9,100,0.354022746395241,0.0013849496608117073,0.09277660324171944,100,0,9,26,100,4
QMOHKORCY6,100,mutation,0.3196754709189309,0.13347700703897797,0.007484652258010205,31,8,31,0.34565712741111787,0.11759632449287621,0.059950532724505345,31,1,15,16,31,4
H122N3XCHC,100,mutation,0.33093199589647526,0.1054916431517256,0.032187500000000036,47,6,47,0.3325289095541303,0.12229851885024295,0.05194216453521672,47,1,6,35,98,4
Z4M01UAM4E,100,mutation,0.35644354523713284,0.07319606809513474,0.04928503659528327,183,17,183,0.3581982792022932,0.04263488746247368,0.08776964372864804,183,1,18,36,183,4
QT1SN7E4BV,100,mutation,0.34528993121690055,0.10239852398523985,6.664001066236658e-05,47,9,47,0.3674251938883818,0.08010316631006287,0.05774834437086096,47,0,9,31,47,5
K5SXVK71XR,100,mutation,0.35806232430064866,0.04639678749728671,0.05499999999999994,186,12,186,0.3594898848868562,0.010698114146390048,0.10350991308445201,186,1,12,35,186,4
J3DI2QM2JR,100,crossover,0.3671827147948814,0.031124996123910842,0.07305091812134068,221,12,221,0.3599746650688809,0.00027367268746575357,0.11035471721899176,221,1,12,32,221,4
XZ2O8233ZG,100,crossover,0.3700253972952423,0.012566281124996137,0.0865789639129888,75,9,75,0.35237453589573453,0.018336070060207987,0.07974632977129736,75,0,9,36,75,4
CT5WQXKJZF,100,mutation,0.3251918653946414,0.12830630407144408,0.009017457798297435,69,11,69,0.3501103870247505,0.09849728815246056,0.06544894430155346,69,1,13,35,69,4
YLVNQLE5T1,100,mutation,0.3497386107503532,0.09970076591522214,0.04129376668236773,111,10,111,0.35167577283482787,0.06311887346370104,0.08925293764473796,111,0,10,38,111,4
BFG38Y7Y4I,100,mutation,0.3251918653946414,0.12830630407144408,0.009017457798297435,69,11,69,0.3501103870247505,0.09849728815246056,0.06544894430155346,69,1,12,33,69,4
6A1OZOQ8KT,100,crossover,0.3250380234288891,0.13040714440757853,0.00847701149425284,68,10,68,0.3501103870247505,0.09849728815246056,0.06544894430155346,68,1,13,36,68,4
I2ALZJ9D7N,100,crossover,0.35372553606774493,0.07653725696920838,0.05678246658006125,117,10,117,0.3476645123919584,0.06165099268547547,0.08838383838383845,117,0,10,33,117,4
7PPJMREK03,100,mutation,0.36173602738957333,0.03742751713231418,0.06299995638330347,197,12,197,0.36048813249931977,0.006974506974507022,0.10651010626157087,197,1,12,32,197,4
3OO9LTK6NU,100,mutation,0.37427391838238344,0.0005504046637104798,0.09040998039801984,116,9,116,0.35252113081073866,0.015267618715894604,0.1071964017991005,116,0,9,33,116,4
A9WTHUVKWP,100,mutation,0.3529876391987372,0.08332816521442526,0.04031638765166634,100,9,100,0.36285286386858895,0.09175498830671244,0.06818181818181823,100,0,9,37,100,5
Q5PIWAIE60,100,crossover,0.35879055785975145,0.0427067505969177,0.05739921337266474,184,12,184,0.35889928069027055,0.010698114146390048,0.10411872398310373,184,1,12,35,184,4
T4FSC1EZ84,100,crossover,0.3640417828788226,0.035326676796179735,0.06672864099158926,200,12,200,0.35955326586408576,0.004917815262642844,0.10641025641025642,200,1,12,32,200,4
D8X4XFXVTY,100,crossover,0.364078256589099,0.03322583646004529,0.06711111111111112,215,12,215,0.359685898665943,0.0017830190243983135,0.1070485036119711,215,1,12,32,215,4
HCLPGFVFYK,100,crossover,0.3720959287137757,0.004162919780458296,0.08565214250744402,91,9,91,0.350179580652335,0.002073277935346951,0.09481912346211363,91,0,9,33,91,4
OMAUBQZQ7G,100,mutation,0.34672211542979414,0.1002976836491054,0.0072908411638175075,47,10,47,0.3678340579179622,0.0785357681909406,0.05850702143385078,47,0,10,32,47,5
IFDBQNFU0Z,100,crossover,0.3610061655472149,0.041117554032683135,0.06350461133069829,182,12,182,0.35392897441943116,0.009819044301802915,0.10621764417648438,182,1,12,37,182,4
AJB7GYLXDJ,100,crossover,0.36042218496874356,0.042195106825017814,0.05907779684930403,207,12,207,0.35870642889367754,0.005506626196281339,0.10403726708074534,207,1,12,35,207,4
4YTX1YW67K,100,crossover,0.37427391838238344,0.0005504046637104798,0.09040998039801984,116,9,116,0.35252113081073866,0.015267618715894604,0.1071964017991005,116,0,9,33,116,4
69JIANPMZB,100,crossover,0.34561392483752473,0.10188688021333994,0.0035714285714285587,48,10,48,0.3674439523935892,0.07696837007181836,0.06000000000000005,48,0,10,30,48,5
5GYQC84WZT,100,crossover,0.3720959287137757,0.004162919780458296,0.08565214250744402,91,9,91,0.350179580652335,0.002073277935346951,0.09481912346211363,91,0,9,34,91,4
MFG4S46B4S,100,crossover,0.3512589283357562,0.09332072312319761,0.029639175257731964,101,9,101,0.36100103517654636,0.09332238642583471,0.06576205418093839,101,0,9,30,101,5
1RS48C87TP,100,crossover,0.35108699138866273,0.09498744147105337,0.044644980006484425,113,10,113,0.3458327663547165,0.07752400855849134,0.07743611640676218,113,0,10,36,113,4
Z2GSBM9QTJ,100,crossover,0.35372553606774493,0.07653725696920838,0.05678246658006125,117,10,117,0.3476645123919584,0.06165099268547547,0.08838383838383845,117,0,10,33,117,4
30Z6PNMY32,100,crossover,0.37134349696234925,0.007852956680827305,0.08354287556415219,90,9,90,0.350179580652335,0.002073277935346951,0.09481912346211363,90,0,9,37,90,4
GACR1P5NXP,100,crossover,0.3707885406434681,0.008876244224627128,0.08867079889807161,76,9,76,0.35237453589573453,0.018336070060207987,0.07974632977129736,76,0,9,35,76,4
4N0IIBY8I0,100,crossover,0.35108699138866273,0.09498744147105337,0.044644980006484425,113,10,113,0.3458327663547165,0.07752400855849134,0.07743611640676218,113,0,10,36,113,4
7TML5GSMFN,100,mutation,0.35260023880318725,0.08542900555055971,0.0394957983193277,106,9,106,0.3606629616586665,0.09067688378033206,0.06995532744035737,106,0,9,29,106,5
RXK40T7CJS,100,crossover,0.3250380234288891,0.13040714440757853,0.00847701149425284,68,10,68,0.3501103870247505,0.09849728815246056,0.06544894430155346,68,1,13,36,68,4
9VMYYZWN95,100,crossover,0.34672211542979414,0.1002976836491054,0.0072908411638175075,47,10,47,0.3678340579179622,0.0785357681909406,0.05850702143385078,47,0,10,31,47,5
K0Y19P5B5T,100,mutation,0.35177330888223957,0.09129740457068436,0.04759345065955689,115,10,115,0.3457268046104869,0.07487850591298867,0.08010335917312661,115,0,10,35,115,4
2LGTGC7IQR,100,mutation,0.3707885406434681,0.008876244224627128,0.08867079889807161,76,9,76,0.35237453589573453,0.018336070060207987,0.07974632977129736,76,0,9,33,76,4
2IKERHZ73U,100,crossover,0.37134349696234925,0.007852956680827305,0.08354287556415219,90,9,90,0.350179580652335,0.002073277935346951,0.09481912346211363,90,0,9,36,90,4
H7T5MFDO6T,100,crossover,0.35202553850253804,0.08911904245092872,0.03492063492063491,105,9,105,0.36175501651857367,0.09332238642583471,0.06828122176034701,105,0,9,30,105,5
93SQ0Z8L7X,100,crossover,0.35221648025496743,0.08752984588669416,0.035002458303392436,97,9,97,0.36209660587404024,0.09175498830671244,0.06566265060240961,97,0,9,37,97,5
HM03YM23RY,100,crossover,0.364078256589099,0.03322583646004529,0.06711111111111112,215,12,215,0.359685898665943,0.0017830190243983135,0.1070485036119711,215,1,12,32,215,4
61LMNTK5KY,100,crossover,0.35177330888223957,0.09129740457068436,0.04759345065955689,115,10,115,0.3457268046104869,0.07487850591298867,0.08010335917312661,115,0,10,35,115,4
