id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
08CLZ0KU5M,103,mutation,0.6319636156621279,1.6814070013790317e-05,0.29166666666666663,203,14,203,0.5991994285254553,0.011760966306420845,0.06318681318681318,203,0,14,9,203,8
592I80PPKG,103,crossover,0.31270671893552937,0.12780374617479906,0.027472527472527486,13,5,13,0.29692422216513803,0.0850550964187328,0.09400899834241061,13,0,7,15,13,2
W315T0Y780,103,crossover,0.35558552264712906,0.16131418771227762,0.00869925434962715,78,9,78,0.35258012071832556,0.07992954015681292,0.1094187675070028,78,1,9,12,78,1
UQORCLC6M2,103,crossover,0.8486983635504227,0.0005884924504825644,1,10,5,10,0.8419718735164243,0.000900614536978173,0.07142857142857145,10,0,14,8,10,7
QXK3Q09H3Z,103,crossover,0.8149541753141302,0.0010256582708410393,1,9,4,9,0.813018599149882,0.000900614536978173,0.05555555555555558,9,0,13,6,9,7
HL8MVQ2O0X,103,crossover,0.7505061953802595,0.012190200759995967,0.0,29,9,29,0.7099502612625926,0.019681076499258317,0.25,29,0,14,14,29,8
EUPPPXN33H,103,inicialization,0.32662862271172555,0.10915694252950872,0.05640509725016768,6,4,6,0.2957376199586904,0.07679063360881544,0.11309935739001487,6,1,5,19,6,2
39RUZS2ZGG,103,crossover,0.5024945035471118,5.044221004135707e-05,0.10919540229885055,462,23,462,0.485987761917663,0.02687274846365756,0.11698924731182794,462,0,23,2,462,
B50AW92T9O,103,crossover,0.8486983635504227,0.0005884924504825644,1,10,5,10,0.8419718735164243,0.000900614536978173,0.07142857142857145,10,0,13,6,10,7
NPTSCCIRMV,103,mutation,0.729735153238809,0.0008743316407169507,0.40259740259740256,35,9,35,0.7370550887105822,0.009814049586776858,0.06521739130434784,35,1,13,13,35,7
1T7L2Z9CZ2,103,crossover,0.5012054600690581,0.02986178834448666,0.0021139166177334134,383,22,383,0.5278903865829525,0.02707141343504979,0.2015308911973756,383,1,22,5,387,1
T5ZI091ABF,103,crossover,0.5024945035471118,5.044221004135707e-05,0.10919540229885055,462,23,462,0.485987761917663,0.02687274846365756,0.11698924731182794,462,0,23,2,462,
UXFSWPY2XN,103,crossover,0.3554609764490714,0.14369304233782826,0.012451696006869906,103,9,103,0.3718870956648611,0.08408826022462385,0.1277284099732551,103,1,9,10,103,1
