id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
4Y3UOTGFD4,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,13,4,2
TW26THZTM4,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,20,4,2
D05A4SJEDY,106,crossover,0.05131670194948623,1,0.25,6,4,6,0.06458565330651467,1,0.0,6,0,4,9,6,4
XLX9NGURSX,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,18,4,2
738NQKXYWT,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,15,4,2
C7DKTDWENY,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,18,4,2
3SIQERQ84M,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,16,4,2
YORCEFA8L3,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,16,4,2
2K9VS4QEZU,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,19,4,2
UZI759ZKNY,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,18,4,2
9UKO7NO478,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,17,4,2
MMEFODH5OT,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,19,4,2
WHAJXGUQKA,106,crossover,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,20,4,2
ZI3690VK8N,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,20,4,2
NGVB5RE9V8,106,mutation,0.198959010620139,0.047619047619047616,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,16,4,2
