id,creation_mode,error,dem_fp,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
M8W3D6NOS5,inicialization,0.6647568129499629,0.02279654164334142,0.09999999999999998,0.03268754423213027,100,0.0001,1.0,0.0,
NV2EQMKF28,inicialization,0.6552752657263362,0.019173353237544318,0.017241379310344862,0.031238941967445144,100,0.0001,1.0,1.0,
XM4UPZ1NE1,inicialization,0.4225104256402472,0.05175094856005474,0.011904761904761862,0.08213906581740982,104,0.02125360037139679,65227.780707252256,0.6249139508615955,4
RZYO1EZ0A3,inicialization,0.5510508615513117,0.019702058841823723,0.033333333333333326,0.03353901273885351,59,0.009560515488809842,79560.5244459213,0.3709044359966771,4
QJC1LREJZX,inicialization,0.5119348945378175,0.03472351806929153,0.11666666666666664,0.0659501061571125,181,0.056950022291883076,16633.060289460303,0.8438550373606448,5
L7AFECW82H,inicialization,0.7290335512515532,0.013544193568451825,0.05555555555555558,0.024880573248407645,142,0.06102614548705841,60544.22880621495,0.4606211915033621,6
LM92IFJTVY,inicialization,0.34191264374983854,0.20689494308639672,0.051518860576388104,0.22590454706298657,32,0.054898824481504835,68920.54931499145,0.3503746126816797,1
RUFRJQ3N1H,inicialization,0.40602328838547097,0.06072339366797288,0.015969338869370797,0.0766211075725407,114,0.08004591214146414,95932.88181255992,0.2443475506873798,3
LAAZ3CVPR4,inicialization,0.8581068072367597,0.01072961373390558,1.0,0.01388888888888884,139,0.0552784747574692,53534.73271355693,0.3343548925110813,8
SWXZZDO7EN,inicialization,0.7068383373084701,0.005489208185606768,0.10119047619047616,0.01098062632696395,47,0.012132465099325782,34249.825033476794,0.36993333715037857,5
MX69NI389U,inicialization,0.40452276482471183,0.09519810909995646,0.026206896551724146,0.1217710544939844,74,0.030182139190316128,25556.32013074202,0.8821160453194776,3
TCPDV22DR9,inicialization,1.0,0.002145922746781116,1.0,0.0017361111111111605,148,0.09508809914786849,77321.51910978729,0.46515925209796294,9
DA02RJ5DCR,inicialization,0.5246381447552574,0.030431672575729304,0.06573426573426566,0.05408483722576085,129,0.01220614951514887,8611.877414043487,0.6246776640271346,5
7EJ40GQAPW,inicialization,0.4127300526057832,0.10445045717484605,0.03464717101080739,0.1272668966737438,59,0.07965714676537901,9609.859581722973,0.2323387990410245,3
KLM2ICM76O,inicialization,0.5810152870340815,0.03700939229955837,0.07142857142857145,0.06104033970276013,39,0.05279759864717889,1234.8425824821443,0.9016517246593337,5
I4IHHC2FRZ,inicialization,0.46015470514568846,0.15152080612054497,0.051232455487774636,0.14606555201698518,156,0.07003244243303365,11642.84160296941,0.6845666284170565,1
GTSPKY9YJV,inicialization,0.3954321421481475,0.07641350998320583,0.02157079646017701,0.0942697275300779,145,0.024090686475188874,38929.569510737805,0.2415279632019579,3
0JK525MRBM,inicialization,0.8359336922678892,0.006437768240343348,1.0,0.01215277777777779,79,0.003943703216905873,31171.36765233172,0.2640311794987611,7
YIQX3QD3TF,inicialization,0.85781830841075,0.004291845493562232,1.0,0.00868055555555558,52,0.002202349565132573,48240.78570989469,0.9705520350091329,8
YCWDOAYI5Z,inicialization,0.7834016635159227,0.0071064253281084774,0.045454545454545414,0.012727795470629855,170,0.09168802056566432,18633.99186204346,0.6876761962556506,7
2RXNSZIK75,inicialization,0.5134204374185709,0.02080612054487785,0.07709750566893425,0.0299562101910828,74,0.02319679865170742,87810.59237014412,0.52557189052369,1
