id,creation_mode,error,dem_fp,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
J33LZW16H8,inicialization,0.09170489377075253,0.3333333333333333,0.16666666666666663,0.4642857142857143,100,0.0001,1.0,0.0,
HF3QDNVOTN,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,100,0.0001,1.0,1.0,
LJMWX0NZ39,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,70,0.07925338024884475,37509.901820979794,0.856483359996549,6
LAZJKMKBP2,inicialization,0.10557280900008414,0.0,0.0,0.4107142857142857,164,0.09223938692170433,38766.066691639375,0.623872425809142,7
DP6SV7V8X4,inicialization,0.0,0.0,0.0,0.2678571428571429,92,0.006288127350810667,10132.258457423273,0.29989959039916636,4
P165QJDUKD,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,156,0.0706475878300399,12100.319488028648,0.050720324978788645,6
OT7NWV3AH4,inicialization,0.42264973081037427,0.4444444444444444,0.125,1.0,55,0.05257579276559236,72010.63109288695,0.20914567294674224,4
GZJ48C2KD4,inicialization,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,177,0.0048053532716317415,19812.198735999886,0.24879445997974925,2
INFHQEZC81,inicialization,0.0,0.0,0.0,0.2678571428571429,105,0.03443215672431105,45421.79499280053,0.1942025617246439,6
Q0JN0ERZQG,inicialization,0.1339745962155613,0.5555555555555556,0.11904761904761907,0.4464285714285714,54,0.09980657839276073,39054.2162749088,0.2714071274014991,3
TCB9SOZAFO,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,74,0.06431316489778127,62636.127713722846,0.8533313355359178,8
WU2CLFBW9J,inicialization,0.1436511614223247,0.3333333333333333,0.16666666666666663,0.5357142857142857,49,0.0697296171577398,68237.34653109362,0.01365100371439143,4
ZLYY2MNK9R,inicialization,0.0,0.0,0.0,0.2678571428571429,33,0.045805415648462536,74614.50657008661,0.4374548761889423,8
6HTIHODZ31,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,147,0.08608830617171913,8744.275044106815,0.04666225543471203,5
BJ4GFSG9JI,inicialization,0.42264973081037427,0.4444444444444444,0.125,1.0,194,0.055510718270851855,14668.81432793895,0.9386748667795091,4
YG5UH4SOWO,inicialization,0.0871290708247231,0.6666666666666666,0.2857142857142857,0.5178571428571429,26,0.001518150894049295,50660.959463723695,0.548007980651612,2
D4W64N5D6Q,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,25,0.052580724140656364,96298.48961837318,0.7670441352336475,7
CO3AHOXUHT,inicialization,0.0,0.0,0.0,0.2678571428571429,39,0.03056480252278054,86712.12336016682,0.43762008051526047,6
UFKVJM1FFU,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,129,0.03151379667702613,15247.026684930383,0.11076376917703756,8
BN7K4C82WA,inicialization,0.0871290708247231,0.2222222222222222,0.0,0.3214285714285714,35,0.006167951028694441,98841.11538310471,0.15511339302656446,4
NRQNSZZQVB,inicialization,0.18350341907227397,0.4444444444444444,0.0,0.375,151,0.02416001592034246,51938.00912880548,0.05247007803609127,4
WHK4XN7PZB,inicialization,0.2928932188134524,0.6666666666666667,0.0,1.0,104,0.03379624125810378,26475.25033782797,0.5966221018720027,1
EWCQ3S8ZXU,inicialization,0.18350341907227397,0.4444444444444444,0.0,0.375,48,0.01270211507543752,18362.203564960895,0.49327441136398453,4
0P5G7NLEPF,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,23,0.07933013902460209,27988.44263046423,0.48252555891248194,9
V0CR4WVE6S,inicialization,0.1436511614223247,0.3333333333333333,0.16666666666666663,0.5357142857142857,175,0.07463130915321893,37442.07184653016,0.9789962115393638,4
CARF8GR148,inicialization,0.3545027756320972,0.11111111111111105,0.2142857142857143,0.1607142857142857,70,0.07699320445499512,55295.42065059802,0.8725543162310322,1
TLFF5N7FVJ,inicialization,0.23623738417402662,0.3333333333333333,0.0892857142857143,0.30357142857142855,198,0.05068075617374648,39548.01570110121,0.9688634828218319,2
1PF2XAS1A2,inicialization,0.0425728922436619,0.3333333333333333,0.16666666666666663,0.3928571428571429,168,0.06004326566395698,81156.12823570234,0.7949120957247787,5
7I4JNSYABZ,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,180,0.07708966668599279,97470.75880861968,0.7857030386683618,6
PJP4L0TS7Y,inicialization,0.10557280900008414,0.0,0.0,0.4107142857142857,89,0.05757327221513716,77829.90707061421,0.4740938850945512,5
IC6DB61YYO,inicialization,0.18350341907227397,0.4444444444444444,0.0,0.375,24,0.007533838179094654,67009.1366943987,0.26716906808167573,5
K49XWW0RE1,inicialization,0.3545027756320972,0.11111111111111105,0.2142857142857143,0.1607142857142857,62,0.08234338493394641,41.07775723420796,0.9798049818199233,1
X40Q2I5WSA,inicialization,0.0,0.0,0.0,0.2678571428571429,34,0.012367348233135914,79527.35697757661,0.8825058356655165,6
RDCF72WBWM,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,166,0.08494819234954587,74642.03207654825,0.574259879404607,5
SUUUQGKT26,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,0.25,134,0.023464860613376975,33737.13123490887,0.3965038319735684,5
ZWLPOSS5T9,inicialization,0.0871290708247231,0.2222222222222222,0.0,0.3214285714285714,134,0.028111781102250547,99549.82723641503,0.030630773237737774,4
Y914S70B7Z,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,151,0.0991911647284456,32819.85111224328,0.2767996441530134,9
1HLIHF3JMK,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,31,0.0712571884131338,55068.53840209086,0.45458984902906685,6
TEZGV523S9,inicialization,0.2254033307585166,0.8888888888888888,0.17500000000000004,1.0,151,0.08763116064543892,56977.042822256306,0.7278303348175683,2
B3FUBC89G7,inicialization,0.0,0.0,0.0,0.2678571428571429,160,0.009893384727594105,89250.29895576529,0.7964861649061885,7
GSAVB3LD0D,inicialization,0.42264973081037427,0.4444444444444444,0.125,1.0,153,0.06495249719081003,73777.74781907302,0.6314583163558425,4
Q5FD34QOYC,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,120,0.0752922757769061,1027.1097944591709,0.2794308527195002,7
AL0KNTOEJ6,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,31,0.03340676812640412,99784.74609794,0.8288129462995879,7
SMGZVDWZC6,inicialization,0.16333997346592444,0.0,0.0,0.4821428571428571,127,0.07313776519859476,86948.35594031402,0.31517230139981245,7
T9KE93YHAC,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,79,0.07294952615357614,97857.04728842025,0.2675967556107821,8
769K3DKGBX,inicialization,0.05131670194948623,0.0,0.0,0.3392857142857143,121,0.0025482697242003374,52802.63284222898,0.6881412877804378,6
DXON2GH3C5,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,0.25,169,0.0158537633749107,42966.50605498485,0.44411144179597295,4
Q5EQXYMG8N,inicialization,0.3545027756320972,0.11111111111111105,0.2142857142857143,0.1607142857142857,33,0.08739149667840568,3015.188598228513,0.8494701027176965,1
Z57CQWXFFC,inicialization,0.0,0.0,0.0,0.2678571428571429,77,0.017552168561653547,90940.52316866061,0.01526659406449482,5
G2BYM8ESJG,inicialization,0.10557280900008414,0.0,0.0,0.4107142857142857,153,0.060484182857597345,99908.54594848347,0.812942235533269,9
GUA1LSPCRY,crossover,0.0425728922436619,0.3333333333333333,0.16666666666666663,0.3928571428571429,148,0.01980845359170968,94561.39711468153,0.45887895314093075,6
Q5ZXI6FPU1,crossover,0.1339745962155613,0.1111111111111111,0.11904761904761907,0.25,146,0.01819671223813497,94238.72907749879,0.36823798500299554,5
