id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
IFYRYMFTNL,108,inicialization,0.2663744266166366,0.058655015789703085,32,2353,0,,2,,
MUMHMF91G8,108,inicialization,0.27094693955629434,0.053832585562228336,32,2227,1,32,2,2353,
UYND2CWVPM,108,inicialization,0.17973793504125357,0.08701770744869833,12,57,1,31,10,57,2
HZLVP2AWLO,108,inicialization,0.2943122850574923,0.041992289394681824,19,1376,1,19,3,1863,7
5MG7JDLIVQ,108,inicialization,0.23742564366486418,0.059398934673818155,26,753,0,26,31,753,4
C2ZUR85ES6,108,inicialization,0.2634411760082158,0.0341941836307468,14,407,0,14,9,407,5
JZPBUESYH2,108,inicialization,0.19695704818353388,0.09990899953641272,9,146,0,9,40,1210,2
6GEX311YUG,108,inicialization,0.23499834514558104,0.06715015340644188,23,696,1,23,33,1296,4
4J0H94FF5M,108,inicialization,0.26328686430403514,0.030453787217406582,15,524,1,15,22,1436,5
Z09L62HKEY,108,inicialization,0.24163787997825525,0.07488057014630074,32,953,1,32,23,2097,4
KDERADTYDO,108,inicialization,0.21021235136045613,0.08317825392695395,20,622,0,20,32,1746,3
3MQCOZT0VQ,108,inicialization,0.28103813036700054,0.019945478967534368,4,9,1,23,9,9,4
AK0Y2956YK,108,inicialization,0.19863314375731944,0.12948844267697213,12,255,1,12,38,1824,2
SNHW8W5QSF,108,inicialization,0.32408204487337855,0.023779319253135818,22,725,0,22,35,764,7
1WD8M2J057,108,inicialization,0.24451246827980533,0.037294671123796294,22,289,1,30,32,289,5
2RB0U5HEA7,108,inicialization,0.2984398472437253,0.04034827158553449,25,889,1,25,25,1318,7
FW0OHIZ2UF,108,inicialization,0.18849651611047502,0.08459344981568775,11,242,1,11,23,622,3
QS3LOBW5R5,108,inicialization,0.1873996444996171,0.10248382397419759,9,179,1,9,4,983,2
NRRFI4OK11,108,inicialization,0.21562745052057009,0.11786640233827607,24,1100,1,24,11,1970,2
3HUR8JLUDV,108,inicialization,0.20464398995615785,0.045352966892472854,13,94,1,30,8,94,4
2GLYZPIK94,108,inicialization,0.22429750329038112,0.04719443853770575,11,280,0,11,17,739,5
OL7E3HOS0M,108,inicialization,0.30421638801694273,0.02636999282826535,5,28,1,5,12,2308,4
4SD06VEXUO,108,inicialization,0.4835004323211757,0.002762372563030038,5,27,1,5,11,2121,7
FJ9P251BMU,108,inicialization,0.47491709968250506,1.0,7,53,0,7,14,338,8
RXMTNFX797,108,inicialization,0.22375739149722607,0.06126649135759747,24,431,1,24,33,431,4
VFV16N6UMQ,108,inicialization,0.2314211003243558,0.08298046990050703,26,1049,0,26,14,1049,3
W03OHG8OKA,108,inicialization,0.3267369147969389,0.024289133171055778,30,714,0,31,37,1155,7
V1E7ANE2QP,108,inicialization,0.2859025834272372,0.030828223087174218,8,122,1,8,3,2106,5
KAHYIU0NQM,108,inicialization,0.26338129307685976,0.03993751477601867,18,1058,1,18,6,1870,5
ILUOEU635R,108,inicialization,0.22603592761011027,0.042606113276426126,11,56,1,25,7,56,5
1W7QUQEYX0,108,inicialization,0.3218579904101333,0.02146435462973113,19,698,0,19,32,1444,7
1GVK2OV9K0,108,inicialization,0.2917728743382365,0.02813353954822034,23,410,1,28,23,410,6
CJYZ5FJQ7G,108,inicialization,0.39848716768071424,0.008781412660026761,32,773,1,32,37,1258,9
UQW6B9OIAR,108,inicialization,0.3371199464970571,0.021505958615260872,30,842,1,30,30,2197,8
AE92CSK15T,108,inicialization,0.37939372085260603,0.013171953894859464,9,131,1,9,30,2246,7
8BQIXBET9X,108,inicialization,0.1980597400208779,0.126460597063419,17,434,1,17,38,822,2
K4DW6SAXKI,108,inicialization,0.26572590073024827,0.034745601534196494,29,688,1,31,38,1901,6
47MSNDV8LT,108,inicialization,0.3640028852247107,0.015148803588244697,13,93,1,24,12,93,7
PEOCBY3KB8,108,inicialization,0.1843520300470921,0.08150848126962157,9,174,0,9,8,1768,3
ZXZL4V0YDP,108,inicialization,0.26822683848814,0.052271775724140476,28,911,0,30,24,1137,5
OA3ZUR41IA,108,inicialization,0.30085589224935705,0.024497153098704462,11,61,1,22,12,61,6
FHB8M6I6EG,108,inicialization,0.1901511840807536,0.1271731478632061,17,811,0,17,8,1520,2
7E4SAZ1D78,108,inicialization,0.22705580412944149,0.06927261704918118,17,584,1,17,24,2147,4
LY22XB3YAL,108,inicialization,0.25167195428104727,0.037804485041716254,25,278,0,27,35,278,5
LKD3ROIY9I,108,inicialization,0.28749692500461155,0.02970458528750996,5,24,1,5,38,2294,6
EYO2FLBJ6C,108,inicialization,0.19479043108800165,0.04273125542337669,8,36,0,8,13,36,4
XJJHUFM81D,108,inicialization,0.29670620305595186,0.027093109719615552,16,551,1,16,27,1752,6
8SHA4KDDRD,108,inicialization,0.33917818327839877,0.02343592127733481,13,382,1,13,25,1203,7
M00Y5V4WS4,108,inicialization,0.2946455460002865,0.026416879859576643,27,776,0,27,32,1234,6
JDEU22KGEN,108,inicialization,0.23850887718479585,0.04339163614607094,15,218,0,15,35,218,5
35UEYX4GFA,108,inicialization,0.21464915004672103,0.059055536698017136,17,198,0,17,37,198,4
4IKJSGQ6ZK,108,inicialization,0.33917315427479944,0.02211978249700517,16,535,0,16,33,1554,7
HE65SUCOPK,108,inicialization,0.20268276623441683,0.13805093912742575,22,637,1,22,31,898,2
Q015XL57ZX,108,inicialization,0.23448482083771427,0.06572472161650635,30,688,1,30,37,1969,4
3Z5AFNK7TG,108,inicialization,0.22960601014874238,0.05044582302589088,12,398,0,12,11,565,5
9DSY48J6SK,108,inicialization,0.28907561232145773,0.026671786818536623,19,760,0,19,26,1039,6
GCBO5JN968,108,inicialization,0.19728818596481057,0.06505905784803057,7,60,1,7,17,60,4
XW2DA4MJYV,108,inicialization,0.24249029688769508,0.042819416249856364,18,573,1,18,32,1183,5
JHXYZCJGJC,108,inicialization,0.377113798156289,0.014238468762010677,16,637,1,16,15,2091,8
O69PDZFJ2L,108,inicialization,0.2817239298188954,0.027961840560319837,8,96,1,8,28,791,5
NDVX9G4OUI,108,inicialization,0.22975916353702563,0.05942501971236458,19,910,0,19,15,961,4
WSIAU22156,108,inicialization,0.26031868170690053,0.04674703059808041,21,383,0,21,25,383,5
IF38BVI5PF,108,inicialization,0.24879993140108536,0.04895798525766075,28,658,1,32,38,1108,5
74E0XJ4LBU,108,inicialization,0.23462740450574682,0.11831876313332162,27,1397,1,27,8,1617,3
H9O9HL0ZCN,108,inicialization,0.22389245719560869,0.13762499356128796,11,233,1,11,23,401,1
7QNYTJXKEH,108,inicialization,0.34023924456451815,0.012292987152953426,30,1107,0,30,20,1421,8
J61TOT8IEO,108,inicialization,0.3573731391815822,0.014789886665460373,13,304,0,13,39,1511,7
N01L5N5MI8,108,inicialization,0.2194073765124145,0.05221465279162743,21,230,0,30,9,230,4
NNCLQXY1RL,108,inicialization,0.5360157499435076,0.0013161387803296357,4,15,1,4,13,1588,9
QJ28Z7A23W,108,inicialization,0.28764778685571013,0.024075830197625537,11,262,0,11,17,1479,6
Q11V6EUD26,108,inicialization,0.1870376941190237,0.08413547578449929,19,226,0,22,19,226,3
XBQJFGDSWA,108,inicialization,0.31362278657698894,0.03635296821323429,21,699,1,21,33,1986,7
HJXMD8A8FN,108,inicialization,0.28033997037709213,0.04518126790457235,22,1286,1,22,9,1374,6
UYFLKHXU59,108,inicialization,0.26913506645603613,0.052303143808468455,29,2168,1,29,2,2168,5
FHYGOPBEFA,108,inicialization,0.2265534123061328,0.14010109108103005,3,8,0,3,18,728,3
6RVYZVQSSY,108,inicialization,0.3598805238446875,0.01640253639027972,15,98,0,15,21,98,7
JB5DXL0PZL,108,inicialization,0.365957188285554,0.004323182401117898,18,703,0,18,24,1353,8
I7EDYHQXGT,108,inicialization,0.41177345490278006,0.006549656007681547,14,569,1,14,4,1987,9
3DSNT4GJJ2,108,inicialization,0.2288477513469548,0.13019108776591878,4,16,0,4,7,2331,2
MJQH23J3ZP,108,inicialization,0.2352420517271353,0.13312515931684937,3,8,1,3,31,2349,2
AFCZSAE206,108,inicialization,0.2346052011505919,0.03812708102475239,13,357,1,13,29,846,5
LHPKTU6LW0,108,inicialization,0.24478174682474863,0.07259169056144248,31,1842,1,31,4,1842,1
9P6CSQWRT0,108,inicialization,0.2609478482088746,0.049956811100735805,20,866,1,20,18,2118,5
2G1AU89EEA,108,inicialization,0.20405515338469238,0.044843152974552894,13,82,1,23,40,82,4
CO5611A5XN,108,inicialization,0.4823575698894106,0.0022317566523452105,4,15,0,4,33,994,7
3SOEMOJPIP,108,inicialization,0.3462054319470542,0.02409134914460885,19,184,1,31,31,184,7
G9LHBKTRNN,108,inicialization,0.2688523765632863,0.03755486112853783,31,1107,0,31,7,1107,6
4LC264IAXD,108,inicialization,0.44072343346767207,0.006206258031880541,14,398,1,14,26,1184,9
YYDIUS99DP,108,inicialization,0.2958284856780351,0.02570928191520976,6,45,1,6,13,1323,6
K03ROGVCKG,108,inicialization,0.1827688969880189,0.06852902835542748,11,46,1,29,27,46,3
885ZU49DDI,108,inicialization,0.18844439676090585,0.13809782615873703,16,463,0,16,31,1429,2
A0Z9RXOPQ8,108,inicialization,0.30466463843713065,0.037180095068408844,28,698,0,28,3,698,7
WIWL0SZU18,108,inicialization,0.4185099738313526,0.006799279920859974,15,128,1,15,29,128,8
XASV513GUI,108,inicialization,0.22998747940849185,0.13248525039655865,4,15,0,4,33,1720,2
VOI1XZFOIB,108,inicialization,0.21532938526718204,0.11923966405111876,25,1192,0,25,11,1282,2
7LGURHK0F3,108,inicialization,0.19601292643142199,0.06401862801942576,7,67,1,7,21,2339,4
YJON97GU62,108,inicialization,0.3460069910221041,0.02369082823629479,13,398,0,13,19,1806,7
G8HHW86X6C,108,inicialization,0.1928558631096624,0.13645909139537127,19,499,0,19,37,1428,2
F6S8UGQCA6,108,inicialization,0.2297816194423199,0.128838628045841,7,70,1,7,26,635,1
HL2MU2F65A,108,inicialization,0.29235390434245245,0.031613745956819025,9,133,0,9,22,2350,6
FX4IKGGAZT,108,inicialization,0.3854430913583601,0.011283595218315262,15,221,0,15,28,221,8
B97PB3KMC3,108,inicialization,0.2857481775813997,0.02872656143719977,5,24,0,5,25,2235,6
VYJ5VGBVR1,108,inicialization,0.2976776049048663,0.023722196320622765,15,786,1,15,4,1897,6
8BMAW28T3C,108,inicialization,0.25094419411043845,0.04541008982498589,18,444,1,18,38,444,5
SCPPLJOM08,108,inicialization,0.21609248904445322,0.11812130929723604,23,1065,1,23,11,1729,2
GCRAR41BBW,108,inicialization,0.2203957168928845,0.06438778084341185,18,490,1,18,38,830,4
47RDQ6NW6Y,108,inicialization,0.3770435943474617,0.010227646442727164,32,961,0,32,28,1814,9
DRQ3F02CET,108,inicialization,0.34397971370403246,0.01869669902091954,10,172,1,10,40,772,7
ZW8DECX9IG,108,inicialization,0.3415534075988581,0.030365296200565554,23,1235,1,23,11,1877,9
KDKLFOXAAM,108,inicialization,0.2799511258280917,0.0274781116809463,26,719,0,26,36,1754,6
FRAFV869D2,108,inicialization,0.19880733771626635,0.12766744283414275,17,531,1,17,24,1831,2
NDLBJ5JI9Q,108,inicialization,0.4806636983747846,0.0022525586451100786,9,90,0,9,13,938,9
B7SGDKPA57,108,inicialization,0.19478095726674305,0.0642893841157304,5,29,0,5,25,1147,3
5GEO9NV4HT,108,inicialization,0.2724963571817498,0.037383162140637326,24,910,0,24,9,910,6
KQ6B4K7L6J,108,inicialization,0.19056314012699338,0.08690313139331085,7,83,0,7,5,1702,3
GJXGOTLDM0,108,inicialization,0.26126166111343174,0.051101250893164925,27,491,0,30,26,491,5
VAJSBHNW73,108,inicialization,0.36780820731550623,0.014727480687165763,18,647,1,18,25,2317,8
AQLPVNFI01,108,inicialization,0.2932727258296919,0.021682940648942925,27,862,0,27,27,1951,6
BT99M75LV5,108,inicialization,0.1968412762546783,0.09050814975849877,12,279,0,12,34,1025,3
3J4KBK0C4H,108,inicialization,0.19454124102130366,0.0645442910746904,5,30,0,5,7,1518,3
FZCS7EE63V,108,inicialization,0.30174836622203616,0.027857830596495492,4,16,1,4,29,1325,5
KPPB46Q8R2,108,inicialization,0.5329233894476448,2.0801992764868773e-05,4,15,0,4,30,1304,8
DYQ63MPKNF,108,inicialization,0.20917054991738637,0.05057591802826165,11,69,1,23,23,69,4
ACGUDT4SQ8,108,inicialization,0.4012656949892238,0.005186630196040621,11,208,0,11,13,857,8
P6GE84ENDX,108,inicialization,0.4492745562993914,0.003932897394005593,12,284,1,12,25,993,9
L9CBTMW6HR,108,inicialization,0.18513821534285768,0.09116390781613418,12,477,0,12,4,770,2
9TFPOXFYHE,108,inicialization,0.424969522283823,0.01616843142408461,19,562,1,19,38,1575,9
RKEC6ZBLGM,108,inicialization,0.18946179450358125,0.10397166174242775,11,227,1,11,32,1581,2
Z7481JVA1O,108,inicialization,0.2385229617294481,0.038376704937930814,19,166,0,25,3,166,5
AZI30CAW50,108,inicialization,0.4102525772214962,0.004208606345730441,10,145,0,10,18,372,8
EM9AGKLC29,108,inicialization,0.24271148004112797,0.059398934673818155,29,979,0,29,21,1891,4
KX87O5XZQ7,108,inicialization,0.23051419791508243,0.10484006239277067,25,1508,1,25,5,2175,2
YFO0651L7K,108,inicialization,0.3264118843432585,0.023035400369020752,3,8,0,3,28,1093,5
PTND55PFZW,108,inicialization,0.22282463961012244,0.09097107664510744,20,1069,0,20,11,2168,3
LV1TC0D2LS,108,inicialization,0.22208561255734027,0.11816291328276576,26,1071,1,26,12,1071,2
T1U9C1KDF6,108,inicialization,0.4742443474523099,0.0022733606378749476,7,55,0,7,11,399,8
QH19TGZVFE,108,inicialization,0.30010914830666613,0.025261873975584402,11,64,1,14,36,64,6
8V7FWBG6LM,108,inicialization,0.23362928458567556,0.051018042922105454,16,482,1,16,33,1572,5
ECWFRBFI70,108,inicialization,0.21771959751216663,0.0679617613146331,19,854,1,19,13,1679,4
BIT0MLOAOR,108,inicialization,0.22715753352510848,0.10496586492044391,9,155,0,9,25,1539,1
XDG869QNX2,108,inicialization,0.2315195745064158,0.056064342214573556,25,565,1,25,26,565,4
C4IQMA8D0M,108,inicialization,0.18752336720434593,0.14083939672900223,16,423,0,16,37,1361,2
PW20612W6Q,108,inicialization,0.22344025464584027,0.041737382435721844,11,61,1,16,10,61,4
BWNKCPQ086,108,inicialization,0.501490222939653,1.0,6,41,1,6,22,804,8
SA970SH0FX,108,inicialization,0.18901789383149614,0.11921919224871522,17,309,1,17,5,309,2
GWFRVA9ITB,108,inicialization,0.3618699002202638,0.018166083110234713,27,411,1,28,7,411,8
DN4M05BHTP,108,inicialization,0.2487203041284407,0.043776638107401684,25,682,0,25,37,1443,5
XL4BOFPS7T,108,inicialization,0.4012656949892238,0.005186630196040621,11,208,0,11,13,1302,8
KU0Q6PTBI1,108,inicialization,0.3102831500158466,0.028471654478239797,4,15,0,4,34,175,5
DQETA3RYUX,108,inicialization,0.19258753191629419,0.09983569727619368,15,410,1,15,31,1505,3
KPPB46Q8R2,108,inicialization,0.5329233894476448,2.0801992764868773e-05,4,15,0,4,30,1304,8
CO5611A5XN,108,inicialization,0.4823575698894106,0.0022317566523452105,4,15,0,4,33,994,7
NDLBJ5JI9Q,108,inicialization,0.4806636983747846,0.0022525586451100786,9,90,0,9,13,938,9
T1U9C1KDF6,108,inicialization,0.4742443474523099,0.0022733606378749476,7,55,0,7,11,399,8
