id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
P14TI18HQS,107,inicialization,0.4432369472833684,0.06105919003115265,12,103,0,,2,,
CRUMLMJ8IP,107,inicialization,0.4289219370357442,0.10778816199376948,12,80,1,12,2,103,
XHEKE5MJ3R,107,inicialization,0.33134920196201023,0.14080996884735203,5,16,0,5,19,85,2
TZSTCZTKOO,107,inicialization,0.5432245461923416,0.13457943925233645,8,28,1,8,32,94,7
NS45962VAY,107,inicialization,0.4261017813019985,0.041121495327102825,11,75,1,11,3,92,8
H6VQAOZ8SQ,107,inicialization,0.5282443398524277,0.05856697819314642,9,23,0,9,38,39,6
6PZ10I0201,107,inicialization,0.6270444037143365,0.13457943925233645,6,27,1,6,8,67,9
ZPTUJ5FB68,107,inicialization,0.37791913700921953,0.2542056074766355,5,18,1,5,36,36,2
J2J0NDHETK,107,inicialization,0.42826989717011765,0.2193146417445483,7,26,1,7,29,75,1
LMWQUTAB3I,107,inicialization,0.6352940469491072,1.0,4,14,0,4,9,53,6
WID622UXWJ,107,inicialization,0.5118136812972891,0.1838006230529595,5,20,1,5,17,25,4
GDCH4NRNGQ,107,inicialization,0.4749210548320202,0.1252336448598131,10,49,0,10,13,79,7
419IMOYIVD,107,inicialization,0.4763421100632632,0.13707165109034267,6,32,0,6,8,34,4
6Y1EM03406,107,inicialization,0.3640978182932114,0.21433021806853586,9,24,1,9,25,24,3
CEH8ACWH4W,107,inicialization,0.46950893972912,0.1264797507788162,3,8,1,3,17,29,4
CJZU00RG59,107,inicialization,0.5371474437548683,0.0866043613707165,7,19,1,7,34,19,7
IU23Z4CFAL,107,inicialization,0.46950893972912,0.1264797507788162,4,14,1,4,8,31,4
068SYGR4UW,107,inicialization,0.7538170180413345,1.0,4,13,1,4,33,99,8
J5OV0IKAXF,107,inicialization,0.49284797216778586,0.030529595015576325,12,37,1,12,10,37,8
LSTGAWLVV3,107,inicialization,0.5653769812753067,1.0,3,8,1,3,34,38,6
SZGOK72IOA,107,inicialization,0.5391642400860159,0.001246105919003121,5,17,0,5,4,17,5
R1UIYI0VZV,107,inicialization,0.3533494145735353,0.1663551401869159,9,23,1,11,32,23,3
Y9CMTXJOO9,107,inicialization,0.5860120882705363,0.0866043613707165,5,14,0,5,37,72,6
DLMORT256M,107,inicialization,0.5324754177878156,0.03987538940809969,7,25,0,7,30,71,6
FR9JYW9A12,107,inicialization,0.7538170180413345,1.0,3,8,1,3,33,17,8
CNP55D03O9,107,inicialization,0.3427767696091948,0.23551401869158878,10,24,0,10,38,87,2
546G4OUBMZ,107,inicialization,0.40799330034268566,0.24361370716510905,9,40,1,9,23,63,2
HDJ52IDYJZ,107,inicialization,0.47256113756986995,0.05856697819314642,9,30,1,9,9,30,6
6XVPYMVJED,107,inicialization,0.42935704419450493,0.036760124610591915,10,51,1,10,9,53,1
Z4BNI0X870,107,inicialization,0.5709852551872302,0.07725856697819314,5,24,0,5,4,57,6
1YXYTASKLD,107,inicialization,0.3629270860684969,0.2542056074766355,8,38,0,8,13,84,2
5JM2C6IFYG,107,inicialization,0.5473212697874074,0.03987538940809969,5,25,0,5,3,73,5
7PABGYX6V6,107,inicialization,0.5109241050731392,0.08785046728971964,9,54,1,9,11,87,8
GLMO3R9GZG,107,inicialization,0.47021173234540103,0.008099688473520245,8,29,0,8,6,29,6
LIVQKM6QF1,107,inicialization,0.4882163506658478,0.1252336448598131,11,35,1,11,30,100,6
552DH4YKXK,107,inicialization,0.3640978182932114,0.23551401869158878,10,33,0,11,6,33,2
Y45RIWV0H3,107,inicialization,1.0,1.0,2,3,1,12,31,3,8
RX7DCKDVED,107,inicialization,0.4746845860313963,0.10778816199376948,5,8,1,10,37,8,5
8XTWVZECZ2,107,inicialization,0.5691077199813944,1.0,2,3,0,9,36,3,6
WOK19UA1AZ,107,inicialization,0.7867992836443896,1.0,4,12,0,4,16,71,9
E3YRFHZ2FQ,107,inicialization,0.4326309837538489,0.097196261682243,9,44,1,9,18,102,5
W3CELH7H3A,107,inicialization,0.5137253959321428,0.05856697819314642,7,28,0,7,25,39,6
5MOP0RBL1S,107,inicialization,0.323042662378373,0.0809968847352025,9,55,0,9,8,55,3
ZX0PXX99AZ,107,inicialization,0.5219679354434862,0.0866043613707165,9,33,1,9,27,86,7
RIUU223NGL,107,inicialization,0.6352940469491072,1.0,4,14,0,4,8,25,7
Q5JGS73V7E,107,inicialization,0.33976023864514227,0.19688473520249222,11,34,0,11,29,34,2
MXLYYDD1H0,107,inicialization,0.47729162651068335,0.09844236760124611,5,8,1,11,3,8,4
K6FQTDWX79,107,inicialization,0.6352940469491072,1.0,4,14,0,4,22,67,7
ZO3B4W1IAI,107,inicialization,0.499875822672865,0.07850467289719627,10,45,1,10,20,76,8
F8YXVT4AH9,107,inicialization,0.4490670875515992,0.194392523364486,7,32,1,7,20,88,3
D382TWLKSN,107,inicialization,0.4243731682947395,0.25171339563862927,9,22,0,10,23,22,4
2WDZJ25T5O,107,inicialization,0.3521022570302812,0.1514018691588785,4,8,1,12,34,8,3
NTHZ7OLS9Y,107,inicialization,0.45404890956738586,0.17445482866043613,8,23,0,8,15,23,4
W2NDCMJEN1,107,inicialization,0.5653769812753067,0.10529595015576323,5,17,0,5,20,17,6
CRQJ1K9H3I,107,inicialization,0.45177883287177645,0.03987538940809969,8,43,1,8,15,69,6
Q6CDCLY7TS,107,inicialization,0.3427767696091948,0.23551401869158878,11,25,0,12,38,25,2
VD3M0DIVCZ,107,inicialization,0.6590536533024902,0.10529595015576323,9,37,0,9,20,37,9
R5MXYTPG3K,107,inicialization,0.513214871272832,0.07850467289719627,9,46,0,9,7,46,8
XH84BGBQE1,107,inicialization,0.6383717893441168,1.0,4,11,0,4,36,80,7
XWVYAEYXDA,107,inicialization,0.7538170180413345,1.0,3,8,1,3,20,38,9
LRNZZ1L666,107,inicialization,0.6352940469491072,1.0,4,13,1,4,34,39,6
5GGE1CP8D3,107,inicialization,0.4867624169144419,0.1838006230529595,5,23,0,5,8,81,4
LM0QNLRFW4,107,inicialization,0.4692748823339812,0.097196261682243,9,39,1,9,22,41,5
UW9EG5QDPJ,107,inicialization,0.5896277724715322,0.06791277258566979,8,24,0,8,32,35,8
QLPGNT5Y26,107,inicialization,0.4692748823339812,0.02118380062305296,9,60,1,9,4,64,7
FTGOGEAADF,107,inicialization,0.5046164431920575,0.13582554517133957,5,14,1,5,4,14,4
ZQCI6Z1MO2,107,inicialization,0.46950893972912,0.1264797507788162,3,8,0,3,31,18,5
3CT0PCLXY1,107,inicialization,0.7867992836443896,1.0,5,7,0,5,23,7,9
D8Q8EJZN8R,107,inicialization,0.42050264170040896,0.21183800623052956,10,45,0,11,6,45,4
CUIFJA0DNZ,107,inicialization,0.4097791466427969,0.2485981308411216,7,14,0,7,23,14,1
AJJMB99FA5,107,inicialization,0.5691077199813944,1.0,2,4,0,11,8,4,4
IGHTIVUXLB,107,inicialization,0.336008846173639,0.20747663551401868,8,22,0,8,35,24,2
XDZ45ZU8NH,107,inicialization,0.3426822934741002,0.13146417445482866,6,11,1,11,22,11,2
L751RDTL10,107,inicialization,0.5432245461923416,0.13457943925233645,7,26,1,7,32,58,7
MD5GRQMPF9,107,inicialization,0.5072558263503533,0.0866043613707165,7,31,1,7,21,54,7
