id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
M8W3D6NOS5,101,inicialization,0.4407250451791662,0.09496296296296297,31,1133,0,,2,,
NV2EQMKF28,101,inicialization,0.4287573396413743,0.08386831275720164,31,1102,1,31,2,1133,
XM4UPZ1NE1,101,inicialization,0.400501774773948,0.10776954732510285,9,143,0,9,27,709,4
RZYO1EZ0A3,101,inicialization,0.3680892601448791,0.10525102880658438,6,47,0,6,32,421,4
QJC1LREJZX,101,inicialization,0.4246875398973631,0.10442798353909466,19,628,1,19,8,956,5
L7AFECW82H,101,inicialization,0.42713863540258634,0.08635390946502056,20,343,1,20,25,523,6
LM92IFJTVY,101,inicialization,0.5256356035923013,0.037086419753086464,18,356,0,18,28,398,1
RUFRJQ3N1H,101,inicialization,0.42252324205945313,0.133843621399177,25,278,1,25,38,278,3
LAAZ3CVPR4,101,inicialization,0.4788111341957234,0.038666666666666655,18,380,1,18,22,380,8
SWXZZDO7EN,101,inicialization,0.39424219659700344,0.07010699588477368,6,54,0,6,15,420,5
MX69NI389U,101,inicialization,0.4546155091772752,0.07557201646090528,11,279,0,11,12,1000,3
TCPDV22DR9,101,inicialization,0.5500530492672715,0.04470781893004116,28,363,1,30,31,528,9
DA02RJ5DCR,101,inicialization,0.37297295101354255,0.1216625514403292,6,51,1,6,5,709,5
7EJ40GQAPW,101,inicialization,0.4467522428189378,0.08391769547325101,25,265,0,25,6,265,3
KLM2ICM76O,101,inicialization,0.444044295721191,0.11838683127572014,18,981,0,18,2,1022,5
I4IHHC2FRZ,101,inicialization,0.40870328185169136,0.05759670781893006,23,776,1,23,6,776,1
GTSPKY9YJV,101,inicialization,0.41185302319596484,0.09749794238683124,10,188,1,10,17,275,3
0JK525MRBM,101,inicialization,0.4315609707047968,0.0817448559670782,4,16,0,4,14,301,7
YIQX3QD3TF,101,inicialization,0.7124662811254696,0.022748971193415637,4,16,0,4,20,1100,8
YCWDOAYI5Z,101,inicialization,0.4314815604372231,0.054930041152263354,29,728,1,29,9,780,7
2RXNSZIK75,101,inicialization,0.6306401531057007,0.07665843621399171,9,111,0,9,35,596,1
GA5S3XSIX4,101,inicialization,0.593571753706111,0.16854320987654325,7,74,0,7,19,74,2
4G8D3RWYKE,101,inicialization,0.39656048921014575,0.09675720164609056,10,152,1,10,31,1133,5
00LDXGAKQK,101,inicialization,0.4566563481477177,0.05616460905349793,19,527,1,19,13,643,8
P9FMID9M4H,101,inicialization,0.5405175433507492,0.07812345679012345,17,210,1,17,39,210,2
514DKWEQLA,101,inicialization,0.5013274262136895,0.001744855967078185,12,263,0,12,8,263,8
K0PMUJVWYU,101,inicialization,0.40123135654916,0.09953909465020577,11,166,0,11,38,586,4
KJAYG71LQN,101,inicialization,0.38622672106099376,0.08171193415637862,14,120,0,29,10,120,4
ZATLI6ZDWF,101,inicialization,0.5782873137549973,0.014534979423868319,9,111,1,9,36,976,8
ALDYX6M74J,101,inicialization,0.45173414494513686,0.041415637860082316,13,435,0,13,2,528,8
PT2UE02WCW,101,inicialization,0.4995949776573606,0.01260905349794239,25,551,0,25,16,648,9
DF3YTORNL8,101,inicialization,0.456826595261987,0.061415637860082306,22,325,0,30,22,325,7
GJWBL0USXV,101,inicialization,0.4493195316468578,0.10276543209876543,15,319,1,15,21,886,3
DBTXMPVKET,101,inicialization,0.4084742886539705,0.06641975308641979,7,22,0,18,8,22,3
C7ASZF3VGZ,101,inicialization,0.4074532760694132,0.13965432098765435,14,247,1,14,29,381,4
GQT94E0MJB,101,inicialization,0.590581087271679,0.011786008230452678,7,76,0,7,5,897,8
SMY3EKSVKF,101,inicialization,0.4511881752385828,0.08836213991769548,22,385,1,22,25,806,3
LWDZCK07C8,101,inicialization,0.3826850108849926,0.11130864197530865,8,138,0,8,5,443,4
Y7V6FG6B0J,101,inicialization,0.4213746702616761,0.094238683127572,16,296,1,16,27,966,6
Q793HLG2LM,101,inicialization,0.41112897932252734,0.08164609053497943,5,30,1,5,37,822,6
AITNVP4FHD,101,inicialization,0.4092099884781022,0.12819753086419755,20,345,1,20,26,561,5
HXEPUSLD2L,101,inicialization,0.5022689066577373,0.09433744855967074,20,318,1,20,32,958,2
EEIZSDDI9H,101,inicialization,0.3908129273885016,0.11675720164609055,16,129,0,21,31,129,5
JV2PUJL21Q,101,inicialization,0.4740353597794674,0.058781893004115224,18,223,1,18,33,223,7
L24U98SH3R,101,inicialization,0.4234907274806202,0.08051028806584362,10,240,0,10,11,388,6
VB7LUOG076,101,inicialization,0.4180503876803596,0.13372839506172846,22,248,0,31,39,911,3
7CBXN17GQL,101,inicialization,0.4473615664382409,0.09359670781893004,23,781,0,23,7,901,4
S8E9GSI9AL,101,inicialization,0.44403043264976816,0.07968724279835393,5,30,1,5,40,412,7
5EO530JMR8,101,inicialization,0.416070935816905,0.11000823045267488,14,284,1,14,23,998,6
VL05HPXY63,101,inicialization,0.7195339390743947,0.008345679012345678,6,52,1,6,12,543,9
X5LUIHTJ99,101,inicialization,0.46327856064813344,0.05227983539094652,27,389,1,27,23,476,7
QT7H8C4DOX,101,inicialization,0.44326849533212054,0.10134979423868312,24,586,0,24,11,955,5
RU2X83D7X8,101,inicialization,0.5116865904907377,0.062337448559670716,22,324,1,22,8,324,2
6Z5U467ZFH,101,inicialization,0.4578248304719016,0.08530041152263375,23,253,0,29,11,253,7
DAODPR5QQ2,101,inicialization,0.5364665129283408,0.06748971193415643,13,396,0,13,7,606,1
JE04ZI7CNK,101,inicialization,0.7497842872715588,0.008345679012345678,7,39,0,7,39,570,9
S0OLE0O5J4,101,inicialization,0.5372653156906685,0.04105349794238683,13,198,0,13,35,340,8
RWR57Q6M84,101,inicialization,0.9265783369144642,0.003884773662551466,4,15,0,4,26,507,1
X2VZORBSOB,101,inicialization,0.537755740458765,0.032493827160493816,13,355,1,13,10,911,8
5O6ES6W4MK,101,inicialization,0.3633882896660331,0.13702057613168722,4,16,0,4,40,570,4
HGJXIO6L01,101,inicialization,0.4239645666106573,0.08630452674897116,28,546,0,29,6,546,1
SWY7712N32,101,inicialization,0.7530130123818068,0.008345679012345678,6,46,1,6,24,507,9
