id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
3NEHY3VH5F,103,inicialization,0.173101769405277,1.0,4,6,0,,2,,
IOBCOGI7SL,103,inicialization,0.13274181921601214,1.0,4,5,1,4,2,6,
00OPFXMN64,103,inicialization,0.18350341907227397,1.0,2,3,1,4,36,5,5
37M7SC4JI0,103,inicialization,0.18350341907227397,1.0,2,3,1,4,20,3,8
FT5HGYSB94,103,inicialization,0.18350341907227397,1.0,2,3,1,3,33,4,7
EL2CUSA8PP,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,3,17,4,6
YB43VF9JCU,103,inicialization,0.18350341907227397,1.0,1,2,0,4,11,2,5
ZLLRX7C5WI,103,inicialization,0.18350341907227397,1.0,1,2,0,4,5,2,8
K01SS8U0QR,103,inicialization,0.18350341907227397,1.0,2,3,1,3,25,3,7
0JI328AH5B,103,inicialization,0.057190958417936644,1.0,3,4,1,3,25,5,4
HQA98HDIJ7,103,inicialization,0.173101769405277,1.0,4,6,0,4,4,6,5
PQ1FSY4TM0,103,inicialization,0.18350341907227397,1.0,3,4,1,4,22,5,9
VGWS6SF43Z,103,inicialization,0.18350341907227397,1.0,1,2,1,3,13,2,7
7GPUSWYVMH,103,inicialization,0.18350341907227397,1.0,3,4,0,4,14,4,7
RJ2UURG9ZH,103,inicialization,0.08013378899220014,1.0,4,5,0,4,8,5,4
7U29RCJ5K0,103,inicialization,0.18350341907227397,1.0,3,4,0,3,36,5,8
W1GRWHQ9CB,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,9,3,4
GXARWJM3T0,103,inicialization,0.18350341907227397,1.0,2,3,1,3,13,3,8
3UFKT1PV8L,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,0,4,27,5,6
QKROH248UF,103,inicialization,0.08013378899220014,1.0,3,4,0,4,3,4,4
VLV2AIPFYM,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,3,29,4,6
IBYDYE21XI,103,inicialization,0.18350341907227397,1.0,2,3,1,3,32,3,7
ATJHTMBF5T,103,inicialization,0.09417837268432339,1.0,3,5,0,4,4,5,6
TBV7RJY5L7,103,inicialization,0.09417837268432339,1.0,3,5,1,3,10,6,7
OW3C3DSVHJ,103,inicialization,0.18350341907227397,1.0,3,4,0,4,18,5,7
Z1KC5UBZPV,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,3,26,5,5
KHGZXEW7GY,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,4,15,6,5
WL7L6DQY63,103,inicialization,0.09417837268432339,1.0,3,5,1,4,6,6,6
KEBD81GXD2,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,12,2,4
UUDI878ANV,103,inicialization,0.1229419806929708,1.0,3,4,0,3,27,5,2
86FR5O1W3E,103,inicialization,0.09417837268432339,1.0,3,5,1,3,10,5,7
80C036ZLJJ,103,inicialization,0.1229419806929708,1.0,3,4,1,3,6,4,2
9NJ87X0U1E,103,inicialization,0.18350341907227397,1.0,3,4,1,4,19,4,7
K68L556OHT,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,27,5,4
7BCVI694KI,103,inicialization,0.18350341907227397,1.0,3,4,1,3,15,4,7
0S74R8ZNGN,103,inicialization,0.1229419806929708,1.0,2,3,0,4,6,3,4
O3ILHTBZ2D,103,inicialization,0.09417837268432339,1.0,3,5,1,3,12,5,6
7UR6PGY6RQ,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,3,2,3
DTX6GVN198,103,inicialization,0.18350341907227397,1.0,2,3,1,4,26,3,8
CIMY8QX32K,103,inicialization,0.1229419806929708,1.0,2,3,0,4,17,3,1
0VFI32E2LT,103,inicialization,0.18350341907227397,1.0,3,4,0,3,23,4,7
IDB9UACOPL,103,inicialization,0.13274181921601214,1.0,4,5,1,4,3,5,5
NPEH4TQOA6,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,4,18,2,2
CRFNAGQ5BC,103,inicialization,0.1229419806929708,1.0,3,4,1,4,35,6,2
ESISSCFUAJ,103,inicialization,0.18350341907227397,1.0,4,5,0,4,30,6,9
LKHHA165EH,103,inicialization,0.18350341907227397,1.0,3,4,0,4,28,5,7
JXQI278RNN,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,1,3,9,3,6
08WP80W6TS,103,inicialization,0.18350341907227397,1.0,1,2,1,4,34,2,7
8FEN894E9H,103,inicialization,0.18350341907227397,1.0,2,3,0,4,37,3,8
ZWBAJCEX0H,103,inicialization,0.18350341907227397,1.0,3,4,0,4,24,5,7
QROEMCBPL5,103,inicialization,0.18350341907227397,1.0,1,2,1,3,22,2,5
HQ9XG2U3FP,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,0,3,15,6,6
AJVJBS8IUZ,103,inicialization,0.18350341907227397,1.0,3,4,1,4,16,6,8
D20W3RREBP,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,3,39,5,4
5IPELCJDF9,103,inicialization,0.18350341907227397,1.0,2,3,1,3,39,4,7
ZX2J89DFTA,103,inicialization,0.09417837268432339,1.0,3,4,0,3,7,4,7
W1UKFJOOWJ,103,inicialization,0.1229419806929708,1.0,3,4,1,4,35,5,2
T3PGR15376,103,inicialization,0.18350341907227397,1.0,2,3,1,3,8,3,7
XBRMLQQJHG,103,inicialization,0.08013378899220014,1.0,4,5,0,4,15,5,4
9VAR5SDFKI,103,inicialization,0.22650753184623817,1.0,4,5,1,4,4,5,2
JNV00225UB,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,4,21,4,6
ZOG4ZG0YTT,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,3,16,3,5
Z0W29ST8KN,103,inicialization,0.1229419806929708,1.0,3,4,1,3,16,5,2
4SI9XGW34R,103,inicialization,0.09417837268432339,1.0,3,4,0,3,8,4,6
55J7F8RJFL,103,inicialization,0.1229419806929708,1.0,2,3,0,4,32,3,3
IN5RDM33XJ,103,inicialization,0.08013378899220014,1.0,3,4,0,4,32,4,4
MZM08863VB,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,1,4,35,3,6
AGJ1OHSWT9,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,21,2,3
X6R0J05VM6,103,inicialization,0.13274181921601214,1.0,4,5,1,4,11,6,4
VG99EDSE74,103,inicialization,0.18350341907227397,1.0,1,2,0,3,5,2,9
CTSY8JER3C,103,inicialization,0.1229419806929708,1.0,3,4,0,3,28,4,2
ZBQ89Z1SD6,103,inicialization,0.1229419806929708,1.0,3,4,1,4,20,4,1
G5QJR8JO4P,103,inicialization,0.1229419806929708,1.0,3,4,1,3,3,4,3
MN41VUTPK5,103,inicialization,0.18350341907227397,1.0,2,3,1,3,22,3,8
3JJ6Y1UQDS,103,inicialization,0.1229419806929708,1.0,2,3,1,4,28,3,3
FQDNXEJBD6,103,inicialization,0.1229419806929708,1.0,2,3,0,3,21,3,4
D8PMYVSIZH,103,inicialization,0.057190958417936644,1.0,3,4,1,3,14,5,4
3HQNDMBZQC,103,inicialization,0.18350341907227397,1.0,2,3,1,3,38,5,5
ZCIGPJRWF4,103,inicialization,0.18350341907227397,1.0,2,3,1,4,39,3,8
4ODPYBWF5S,103,inicialization,0.1229419806929708,1.0,2,3,1,3,32,3,3
6HER876ABF,103,inicialization,0.18350341907227397,1.0,3,4,1,4,19,5,9
59W8AS5RQO,103,inicialization,0.1229419806929708,1.0,2,3,1,4,14,3,1
NFA9KPOE3H,103,inicialization,0.1229419806929708,1.0,3,4,0,3,33,4,3
BG5ZLPWFSS,103,inicialization,0.1229419806929708,1.0,3,4,1,3,25,4,2
4TGQUTG1PK,103,inicialization,0.1229419806929708,1.0,3,4,0,3,13,5,3
R4361VNRCC,103,inicialization,0.18350341907227397,1.0,2,3,1,3,29,6,5
Y0CTIWAOPS,103,inicialization,0.1229419806929708,1.0,3,4,0,4,34,6,3
EUPPPXN33H,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,19,2,2
KQVXIJ0Q67,103,inicialization,0.18350341907227397,1.0,2,3,0,4,27,3,7
NPOGKFAIZ9,103,inicialization,0.18350341907227397,1.0,3,4,0,4,29,4,9
RR46GY187F,103,inicialization,0.08013378899220014,1.0,4,5,0,4,15,5,4
5JT1M3V89O,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,3,30,2,4
AXTWR42IE4,103,inicialization,0.18350341907227397,1.0,3,4,0,3,16,4,7
1DCNINC5VM,103,inicialization,0.1229419806929708,1.0,2,3,0,4,4,3,3
R8H6XPKBSO,103,inicialization,0.1229419806929708,1.0,3,4,1,4,23,4,3
L4VI0ISDGR,103,inicialization,0.18350341907227397,1.0,1,2,1,4,5,2,7
NK0N34XDAM,103,inicialization,0.18350341907227397,1.0,3,4,1,3,17,6,7
K5J0706TGV,103,inicialization,0.1229419806929708,1.0,3,4,1,3,11,4,3
HFQ32VYRSM,103,inicialization,0.18350341907227397,1.0,3,4,1,4,18,6,7
NENVVVSXEE,103,inicialization,0.18350341907227397,1.0,2,3,1,3,39,6,9
P3LI7I0BR2,103,inicialization,0.09417837268432339,1.0,3,5,1,3,5,5,9
2DU25WM243,103,inicialization,0.18350341907227397,1.0,3,4,1,3,22,6,8
Q4KDEECFER,103,inicialization,0.1229419806929708,1.0,3,4,0,3,29,4,3
5EYS8V9U6P,103,inicialization,0.18350341907227397,1.0,2,3,0,4,33,3,8
MSAKCC658Y,103,inicialization,0.18350341907227397,1.0,2,3,1,3,18,3,5
W7CJKNQII5,103,inicialization,0.18350341907227397,1.0,3,4,0,3,20,4,7
097W8XPFH4,103,inicialization,0.1229419806929708,1.0,3,4,1,4,14,4,3
9BMBKVBYSS,103,inicialization,0.1229419806929708,1.0,2,3,0,4,23,3,4
G9GZTQNZC7,103,inicialization,0.18350341907227397,1.0,1,2,1,4,40,2,5
WKXW43HHVB,103,inicialization,0.1229419806929708,1.0,2,3,0,3,24,3,1
U6ZGLBKDJN,103,inicialization,0.18350341907227397,1.0,2,3,0,4,36,5,7
Q91P0JLZEV,103,inicialization,0.1229419806929708,1.0,4,5,0,4,24,6,3
BP6LVIGSBQ,103,inicialization,0.18350341907227397,1.0,2,3,1,3,12,3,8
2UCZUQHCM0,103,inicialization,0.08013378899220014,1.0,3,4,0,3,8,4,4
F7L6XJ0AFV,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,4,23,3,5
O605KAJ8MD,103,inicialization,0.1229419806929708,1.0,2,3,0,4,26,3,2
6FM3BJK1TB,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,35,4,4
7NFAG4O07F,103,inicialization,0.18350341907227397,1.0,2,3,0,3,21,3,8
2016X3EEM8,103,inicialization,0.057190958417936644,1.0,3,4,1,3,6,5,4
HL0797339X,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,4,14,5,5
OZXPLFNJ81,103,inicialization,0.1229419806929708,1.0,3,4,1,4,37,5,2
ZLGQV66FA6,103,inicialization,0.18350341907227397,1.0,3,4,0,3,8,5,8
MIERFXNZAJ,103,inicialization,0.057190958417936644,1.0,3,4,1,4,15,4,4
SV34S18JKH,103,inicialization,0.18350341907227397,1.0,3,4,1,3,32,6,9
H0YLEBPP13,103,inicialization,0.1229419806929708,1.0,3,4,1,3,24,5,3
DQC8CUO9JT,103,inicialization,0.1229419806929708,1.0,2,3,0,3,32,3,3
2XKYLV69SQ,103,inicialization,0.1229419806929708,1.0,3,4,1,4,32,5,2
R1ORES29LV,103,inicialization,0.18350341907227397,1.0,1,2,1,4,29,2,4
9OHO1TQPVN,103,inicialization,0.18350341907227397,1.0,2,3,1,3,38,4,8
F1VYVG0IEO,103,inicialization,0.08013378899220014,1.0,3,4,0,3,34,4,4
WD8GJI0HRP,103,inicialization,0.1229419806929708,1.0,2,3,1,4,27,3,2
AFD7L12055,103,inicialization,0.09417837268432339,1.0,3,4,1,3,7,4,6
0T5TMYU8UE,103,inicialization,0.1229419806929708,1.0,3,4,1,3,9,4,2
PESGV2JAVH,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,31,2,4
VO0U5AKO9R,103,inicialization,0.1229419806929708,1.0,3,4,0,3,24,4,1
UAMTU71RLG,103,inicialization,0.057190958417936644,1.0,3,4,1,3,17,5,5
E6NQHW8U1H,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,3,2,3
G2PROW0RST,103,inicialization,0.1229419806929708,1.0,2,3,0,4,33,3,2
MVY8NDKNX0,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,3,15,3,6
2PDIA18HVG,103,inicialization,0.1229419806929708,1.0,3,4,1,3,34,5,3
GD5FUIOHVV,103,inicialization,0.1229419806929708,1.0,2,3,1,3,22,3,2
G45BSMHAWP,103,inicialization,0.1229419806929708,1.0,3,4,1,4,7,4,3
94A6EVTRNP,103,inicialization,0.18350341907227397,1.0,2,3,1,3,33,4,8
JNLWZ2U4SH,103,inicialization,0.18350341907227397,1.0,2,3,0,3,4,3,7
BHP4TJ86BC,103,inicialization,0.09417837268432339,1.0,3,5,1,4,11,6,7
B0L95NQMAI,103,inicialization,0.18350341907227397,1.0,3,4,0,3,15,5,7
D0MI8F4IYN,103,inicialization,0.1229419806929708,1.0,3,4,1,3,24,4,2
T67SOLPRSH,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,3,29,4,4
1S0VDE22DC,103,inicialization,0.18350341907227397,1.0,3,4,1,3,18,5,8
JCTGAJFGCS,103,inicialization,0.18350341907227397,1.0,1,2,1,4,29,2,8
TND9R4JRGS,103,mutation,0.21553545944726393,0.08333333333333331,3,4,0,4,16,4,5
ZUNYD2QC9L,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,3,19,4,5
1B80GS14ZL,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,4,15,4,5
HOAO9385Y6,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,3,15,4,5
J42GFBWCHH,103,mutation,0.21553545944726393,0.08333333333333331,3,4,0,3,27,4,5
B94T939AEQ,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,3,19,4,5
RA7RMKSKNE,103,mutation,0.21553545944726393,0.08333333333333331,3,4,0,4,15,4,5
RUU8CPOE3T,103,mutation,0.21553545944726393,0.08333333333333331,3,4,0,3,29,4,5
JXQI278RNN,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,1,3,9,3,6
ZOG4ZG0YTT,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,3,16,3,5
MZM08863VB,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,1,4,35,3,6
F7L6XJ0AFV,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,4,23,3,5
MVY8NDKNX0,103,inicialization,0.13274181921601214,0.1388888888888889,2,3,0,3,15,3,6
FDL0YZOLXP,103,mutation,0.13274181921601214,0.1388888888888889,2,3,0,3,16,3,5
FWQGPR85NH,103,mutation,0.13274181921601214,0.1388888888888889,2,3,1,4,34,3,6
TW98K4SN0R,103,mutation,0.13274181921601214,0.1388888888888889,2,3,1,4,14,3,6
E4YJXC61NK,103,crossover,0.13274181921601214,0.1388888888888889,2,3,1,3,8,3,6
YYA492IE5A,103,crossover,0.13274181921601214,0.1388888888888889,2,3,0,4,15,3,5
WRNU106DXG,103,crossover,0.13274181921601214,0.1388888888888889,2,3,1,3,12,3,6
3B7N7YR9U6,103,crossover,0.13274181921601214,0.1388888888888889,2,3,0,4,24,3,5
E2LGQGT5VS,103,crossover,0.13274181921601214,0.1388888888888889,2,3,1,3,11,3,6
MIERFXNZAJ,103,inicialization,0.057190958417936644,1.0,3,4,1,4,15,4,4
VWCY25SW8D,103,crossover,0.057190958417936644,1.0,3,4,1,4,24,4,5
8TLIXYHL9D,103,crossover,0.057190958417936644,1.0,3,4,1,4,19,4,4
NM41JSQGNP,103,mutation,0.057190958417936644,1.0,3,4,1,4,25,4,4
QF92358VQ3,103,crossover,0.057190958417936644,1.0,3,4,1,4,23,4,5
EK54FOCHZL,103,crossover,0.057190958417936644,1.0,3,4,1,3,26,4,5
UECD952XS9,103,mutation,0.057190958417936644,1.0,3,4,1,3,21,4,5
VXZDENVR39,103,crossover,0.057190958417936644,1.0,3,4,1,4,23,4,5
GLTOSNY5J9,103,mutation,0.057190958417936644,1.0,3,4,1,3,25,4,5
4Q5JGQ4ED5,103,mutation,0.057190958417936644,1.0,3,4,1,3,12,4,4
L81PGVW6NH,103,crossover,0.057190958417936644,1.0,3,4,1,3,12,4,5
XIYGCHDK5J,103,mutation,0.057190958417936644,1.0,3,4,1,3,12,4,4
Z1KC5UBZPV,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,3,26,5,5
HL0797339X,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,4,14,5,5
AF6N51CM5P,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,3,21,5,5
C4LMBNXN9Z,103,crossover,0.21553545944726393,0.08333333333333331,3,4,0,4,18,5,5
EL2CUSA8PP,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,3,17,4,6
VLV2AIPFYM,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,3,29,4,6
JNV00225UB,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,1,4,21,4,6
9I1YX9ZFX8,103,mutation,0.13274181921601214,0.1388888888888889,3,4,1,4,27,4,6
N7HCBE989N,103,mutation,0.13274181921601214,0.1388888888888889,3,4,1,4,14,4,6
F4KAR1COY3,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,4,17,4,6
THYZGFBYDO,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,3,14,4,6
THZUP3MRT5,103,crossover,0.13274181921601214,0.1388888888888889,3,4,0,3,28,4,6
KLKCN5ARHR,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,4,27,4,6
ZP4147PGHZ,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,4,25,4,6
MLROQ6S78H,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,4,32,4,6
0JI328AH5B,103,inicialization,0.057190958417936644,1.0,3,4,1,3,25,5,4
D8PMYVSIZH,103,inicialization,0.057190958417936644,1.0,3,4,1,3,14,5,4
2016X3EEM8,103,inicialization,0.057190958417936644,1.0,3,4,1,3,6,5,4
UAMTU71RLG,103,inicialization,0.057190958417936644,1.0,3,4,1,3,17,5,5
18CKC2HPXJ,103,crossover,0.057190958417936644,1.0,3,4,1,4,21,5,4
O9R4PQRXI2,103,crossover,0.057190958417936644,1.0,3,4,1,4,19,5,4
XWSZF5LU62,103,crossover,0.057190958417936644,1.0,3,4,1,4,19,5,5
64VQEZCU34,103,mutation,0.057190958417936644,1.0,3,4,1,4,25,5,5
75FEQM2NVU,103,crossover,0.057190958417936644,1.0,3,4,1,4,24,5,4
96BUEK6PYI,103,mutation,0.057190958417936644,1.0,3,4,1,4,25,5,5
QKFL3939NA,103,crossover,0.057190958417936644,1.0,3,4,1,4,20,5,4
XH0UOYVLVI,103,mutation,0.057190958417936644,1.0,3,4,1,4,23,5,4
HBJ3XYZN69,103,crossover,0.057190958417936644,1.0,3,4,1,4,22,5,4
KHGZXEW7GY,103,inicialization,0.21553545944726393,0.08333333333333331,3,4,0,4,15,6,5
3UFKT1PV8L,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,0,4,27,5,6
JM3VYRG46D,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,4,24,5,6
2AMH5TJNID,103,crossover,0.13274181921601214,0.1388888888888889,3,4,1,3,25,5,6
CNE0Q39B8M,103,mutation,0.057190958417936644,1.0,3,4,1,4,19,6,4
HQ9XG2U3FP,103,inicialization,0.13274181921601214,0.1388888888888889,3,4,0,3,15,6,6
QKROH248UF,103,inicialization,0.08013378899220014,1.0,3,4,0,4,3,4,4
IN5RDM33XJ,103,inicialization,0.08013378899220014,1.0,3,4,0,4,32,4,4
2UCZUQHCM0,103,inicialization,0.08013378899220014,1.0,3,4,0,3,8,4,4
F1VYVG0IEO,103,inicialization,0.08013378899220014,1.0,3,4,0,3,34,4,4
4IY6G2XUL5,103,mutation,0.08013378899220014,1.0,3,4,0,3,21,4,4
O2CALUSP1U,103,crossover,0.08013378899220014,1.0,3,4,0,4,5,4,4
L130MLIRUD,103,mutation,0.08013378899220014,1.0,3,4,0,4,30,4,4
W4P54OIC8C,103,crossover,0.08013378899220014,1.0,3,4,0,3,28,4,4
UUGTJDF7JK,103,crossover,0.08013378899220014,1.0,3,4,0,4,9,4,4
KV5HEKU42P,103,mutation,0.08013378899220014,1.0,3,4,0,3,23,4,4
5XHYNNVVV9,103,crossover,0.08013378899220014,1.0,3,4,0,3,20,4,4
F4YKXX8F8W,103,crossover,0.08013378899220014,1.0,3,4,0,4,7,4,4
W1GRWHQ9CB,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,9,3,4
2BGN0F5202,103,crossover,0.26620061429465725,0.3055555555555556,2,3,1,4,29,3,4
67QJB3O8WA,103,mutation,0.26620061429465725,0.3055555555555556,2,3,1,4,29,3,4
33CAV7DA9N,103,mutation,0.26620061429465725,0.3055555555555556,2,3,1,4,20,3,4
1TYRJZYJJ4,103,crossover,0.08013378899220014,1.0,3,4,0,3,8,5,4
U91N4LV53R,103,crossover,0.08013378899220014,1.0,3,4,0,3,10,5,4
44UUOIV8Q6,103,crossover,0.08013378899220014,1.0,3,4,0,3,26,5,4
CDOY6GEINL,103,crossover,0.08013378899220014,1.0,3,4,0,3,25,5,4
6FM3BJK1TB,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,35,4,4
T67SOLPRSH,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,3,29,4,4
XZK504JQJQ,103,mutation,0.26620061429465725,0.3055555555555556,2,3,1,4,28,4,4
RJ2UURG9ZH,103,inicialization,0.08013378899220014,1.0,4,5,0,4,8,5,4
XBRMLQQJHG,103,inicialization,0.08013378899220014,1.0,4,5,0,4,15,5,4
RR46GY187F,103,inicialization,0.08013378899220014,1.0,4,5,0,4,15,5,4
K68L556OHT,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,4,27,5,4
D20W3RREBP,103,inicialization,0.26620061429465725,0.3055555555555556,2,3,1,3,39,5,4
MSOJO8FQGB,103,crossover,0.08013378899220014,1.0,4,5,0,4,9,6,4
1KYQO5UCO2,103,crossover,0.08013378899220014,1.0,4,5,0,4,25,6,4
KEBD81GXD2,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,12,2,4
7UR6PGY6RQ,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,3,2,3
NPEH4TQOA6,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,4,18,2,2
AGJ1OHSWT9,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,21,2,3
EUPPPXN33H,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,19,2,2
5JT1M3V89O,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,3,30,2,4
PESGV2JAVH,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,0,4,31,2,4
E6NQHW8U1H,103,inicialization,0.32063377951324257,0.41666666666666663,1,2,1,3,3,2,3
RMSSN16Z5V,103,mutation,0.32063377951324257,0.41666666666666663,1,2,0,3,30,2,3
04ASYSLS1X,103,mutation,0.32063377951324257,0.41666666666666663,1,2,0,4,14,2,2
V7RYIS8LJO,103,crossover,0.32063377951324257,0.41666666666666663,1,2,0,4,13,2,3
3NNGXIITJB,103,crossover,0.32063377951324257,0.41666666666666663,1,2,0,4,18,2,2
ZX2J89DFTA,103,inicialization,0.09417837268432339,1.0,3,4,0,3,7,4,7
4SI9XGW34R,103,inicialization,0.09417837268432339,1.0,3,4,0,3,8,4,6
AFD7L12055,103,inicialization,0.09417837268432339,1.0,3,4,1,3,7,4,6
Z8SEKL0LN4,103,crossover,0.09417837268432339,1.0,3,4,0,4,11,4,6
EB78F19Z60,103,crossover,0.09417837268432339,1.0,3,4,0,3,10,4,5
GZT4TYVHIZ,103,mutation,0.09417837268432339,1.0,3,4,1,3,11,4,8
ATJHTMBF5T,103,inicialization,0.09417837268432339,1.0,3,5,0,4,4,5,6
86FR5O1W3E,103,inicialization,0.09417837268432339,1.0,3,5,1,3,10,5,7
O3ILHTBZ2D,103,inicialization,0.09417837268432339,1.0,3,5,1,3,12,5,6
P3LI7I0BR2,103,inicialization,0.09417837268432339,1.0,3,5,1,3,5,5,9
BBC7NJ0VWY,103,crossover,0.09417837268432339,1.0,3,5,1,4,8,5,6
2TZ0Q8DGWW,103,mutation,0.09417837268432339,1.0,3,5,1,3,5,5,6
TBV7RJY5L7,103,inicialization,0.09417837268432339,1.0,3,5,1,3,10,6,7
WL7L6DQY63,103,inicialization,0.09417837268432339,1.0,3,5,1,4,6,6,6
BHP4TJ86BC,103,inicialization,0.09417837268432339,1.0,3,5,1,4,11,6,7
0S74R8ZNGN,103,inicialization,0.1229419806929708,1.0,2,3,0,4,6,3,4
I58MP0ILGZ,103,crossover,0.1229419806929708,1.0,2,3,0,3,15,3,3
CIMY8QX32K,103,inicialization,0.1229419806929708,1.0,2,3,0,4,17,3,1
55J7F8RJFL,103,inicialization,0.1229419806929708,1.0,2,3,0,4,32,3,3
3JJ6Y1UQDS,103,inicialization,0.1229419806929708,1.0,2,3,1,4,28,3,3
FQDNXEJBD6,103,inicialization,0.1229419806929708,1.0,2,3,0,3,21,3,4
4ODPYBWF5S,103,inicialization,0.1229419806929708,1.0,2,3,1,3,32,3,3
59W8AS5RQO,103,inicialization,0.1229419806929708,1.0,2,3,1,4,14,3,1
1DCNINC5VM,103,inicialization,0.1229419806929708,1.0,2,3,0,4,4,3,3
9BMBKVBYSS,103,inicialization,0.1229419806929708,1.0,2,3,0,4,23,3,4
WKXW43HHVB,103,inicialization,0.1229419806929708,1.0,2,3,0,3,24,3,1
O605KAJ8MD,103,inicialization,0.1229419806929708,1.0,2,3,0,4,26,3,2
DQC8CUO9JT,103,inicialization,0.1229419806929708,1.0,2,3,0,3,32,3,3
WD8GJI0HRP,103,inicialization,0.1229419806929708,1.0,2,3,1,4,27,3,2
G2PROW0RST,103,inicialization,0.1229419806929708,1.0,2,3,0,4,33,3,2
GD5FUIOHVV,103,inicialization,0.1229419806929708,1.0,2,3,1,3,22,3,2
N5657NNZML,103,crossover,0.1229419806929708,1.0,2,3,0,4,10,3,4
4VJUUFWWAG,103,mutation,0.1229419806929708,1.0,2,3,1,3,14,3,3
3MV42006YM,103,crossover,0.1229419806929708,1.0,2,3,0,3,13,3,3
9ZTXO8A19I,103,crossover,0.1229419806929708,1.0,2,3,1,3,19,3,2
31EYEBTSAB,103,crossover,0.1229419806929708,1.0,2,3,1,3,20,3,3
BMT1IPCLIE,103,crossover,0.1229419806929708,1.0,2,3,0,4,15,3,3
43P54KW0T2,103,mutation,0.1229419806929708,1.0,2,3,0,4,30,3,4
3NHNTMFA0V,103,mutation,0.1229419806929708,1.0,2,3,0,4,26,3,3
