id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
311CR80MKY,100,mutation,0.3096963781852604,0.104841769776693,0.0912902805652747,2,1,2,0.326235880383893,0.1124493691797501,0.1051907678588673,2,1,9,24,2,2
PTLK3TYS6N,100,mutation,0.3949583788206291,0.0124326228911208,0.1082408470468171,3,2,3,0.4132861894206504,0.0051724507152559,0.1083145343216243,3,0,24,39,3,5
LPBP5V21J2,100,crossover,0.3239671901068788,0.0134764642272377,0.0747132241541014,4,3,4,0.3381542834463408,0.0059464445233054,0.0851971366047253,4,0,18,3,4,6
UJ0MB8X8MK,100,mutation,0.532606283247731,0.0002342040814057,0.0117694805194805,5,4,5,0.5335939065527837,1.0,0.0153846153846153,5,0,19,26,5,9
OI3MRNIYR9,100,mutation,0.2268158178029689,0.0923080290996833,0.0860416792753535,5,3,5,0.2404371765903953,0.1172937138242024,0.0685485190639829,5,1,8,11,5,2
R21F5AF5RN,100,crossover,0.5061019684848473,0.0007561247494641,0.0045893719806763,8,5,8,0.5076791653393582,0.0005598453236089,0.0020595394120951,8,0,17,25,8,7
71TLBP1B70,100,mutation,0.3062048602334085,0.0139983848952961,0.0682668986607614,8,5,8,0.3205292953682689,0.0053452991348401,0.0864718063618155,8,0,31,10,8,6
9LCJ5S588N,100,mutation,0.4893570019444557,0.0002074478287822,0.0203504043126685,11,5,11,0.4881150743374868,0.0015273375836708,0.0066751700680272,11,0,25,25,11,8
V2YQGZNWWO,100,crossover,0.1913164105647324,0.0575391475249423,0.0549790120737156,12,6,12,0.1959788878654592,0.0579967632986209,0.0807346370126542,12,0,17,6,12,3
RBR0IXZG1O,100,mutation,0.4944045469903609,0.0012780454175226,0.0003805175038051,13,6,13,0.4895667929884149,0.0013338391316584,0.0057086125589476,13,0,14,11,13,7
VV6W9Z3CNM,100,crossover,0.2865788340820852,0.0076015556154772,0.0940247702047921,13,7,13,0.2924402406823045,0.0053452991348401,0.0851241469435166,13,0,20,11,13,6
LHS388Q8DA,100,mutation,0.4886040269717608,0.0012780454175226,0.0005659309564233,16,7,16,0.4846897778592961,0.0017208360356832,0.0091987412248849,16,0,12,16,16,7
D6X8WA43E2,100,crossover,0.266192776988946,0.0005347775686697,0.148096135841894,17,7,17,0.2738085412609851,0.0034554387596519,0.1463761737089202,17,1,25,33,17,4
K46PWSV1AA,100,mutation,0.1837911909025563,0.0699314622952278,0.0444815348965339,18,7,18,0.1901139899272393,0.0703470123227156,0.0613172981594034,18,0,15,14,18,3
BWJH0I6FWE,100,crossover,0.2977641199409997,0.0024893739453866,0.1132648170829118,18,9,18,0.3047007725712373,0.0046952055213597,0.0859297016034831,18,0,26,38,18,6
MZQ1G8L1E0,100,crossover,0.5046136879627825,2.6756252623502804e-05,0.0132428940568475,22,5,22,0.4979902557338137,0.0007533437756213,0.0016259407228468,22,0,5,34,1446,8
NN3D77R3KD,100,crossover,0.4750393549864861,0.0003412290918997,0.036075036075036,22,8,22,0.4720453790812564,0.0016795359708268,0.008480195428372,22,0,8,21,22,7
9V2JTL9AA8,100,mutation,0.2261222936643337,0.0277090532039396,0.0512054104676398,24,8,24,0.2239074364699087,0.0313383362498317,0.0618485373613015,24,0,14,20,24,4
IZZ4MY47UG,100,mutation,0.3476943252195181,0.0065174061585248,0.0474563666364544,29,10,29,0.3562847845493672,0.0005131915466415,0.0828918172349771,29,0,31,9,29,6
8Z87SE8A0G,100,mutation,0.2271207983008709,0.0232994837780662,0.057715231404863,29,9,29,0.2236007600191393,0.0232320512977398,0.0768661336778916,29,0,10,34,29,4
W46EUQT360,100,crossover,0.4174669854297467,0.0001271790709117,0.0547956771361026,30,11,30,0.4212302028870779,0.0003946450641833,0.0509259259259259,30,0,15,21,30,7
I4HRIHJILC,100,mutation,0.4957026119126791,0.0012780454175226,0.0002295684113866,32,9,32,0.4949978655978457,0.0009468422276337,0.0007183908045976,32,1,9,33,32,8
MT0ISOBOA6,100,crossover,0.220287911973836,0.0312353188094371,0.0291675938446791,34,9,34,0.2199303640921031,0.0316144348315569,0.0528895564866788,34,0,12,25,34,4
PE6PXW3CQV,100,crossover,0.2767574531983624,0.0040217775047327,0.1250194704049845,35,8,35,0.2774739213076679,0.000320457910645,0.1238527390212783,35,1,16,39,35,5
TQ8QFLGIBZ,100,crossover,0.4727824596520084,0.0007026122442171,0.0251024294535172,37,8,37,0.4715218253298439,0.0014860375188144,0.0114942528735632,37,0,8,22,37,7
42YKMV2WCV,100,mutation,0.2146458982452256,0.0316502144670015,0.0310337245704592,38,9,38,0.2154081332522143,0.0285467577919455,0.0720315051974418,38,0,32,15,38,4
J4YQDDHVWO,100,crossover,0.3037421106323509,0.0107129255634102,0.06131592421915,43,6,43,0.315315280029213,0.005703997846278,0.0796883542919628,43,1,6,4,1208,6
P0WXKPDKKU,100,mutation,0.2785894602577047,0.0118304334651918,0.0664386181107381,43,12,43,0.2803961379045879,0.000923132931142,0.1088222122704881,43,0,18,11,43,5
J6PQIH0FD0,100,crossover,0.4127056683851346,0.0011710204070286,0.0437883891420646,47,11,47,0.4169293775842965,0.0005881435161957,0.0470401908758072,47,0,11,8,47,7
AYKWIIWGWL,100,crossover,0.2720252242358207,0.0102646714610164,0.0800360290806151,48,8,48,0.2810119366726221,0.0068726367185109,0.0810596626287785,48,0,8,9,48,5
NTVOPRRYKX,100,mutation,0.2184356404864226,0.0261700474523877,0.0492413793103447,49,11,49,0.218470336952391,0.0250844356881508,0.0755683959301595,49,0,28,37,49,4
I0RDHNFW0R,100,crossover,0.2341061613229963,0.0281103969932921,0.0170229276895943,51,11,51,0.2354052445664188,0.0308044946707619,0.0193060169804355,51,0,11,24,51,5
BSDMW0P15A,100,crossover,0.2588478478077585,0.018929874989228,0.0368326463636186,52,13,52,0.2620457170211344,0.0177911501609172,0.039178247986311,52,0,18,22,52,5
676JUSBC0C,100,mutation,0.2454598686806169,0.0256613311687409,0.0148333557317564,55,15,55,0.2424105984345437,0.0239211505280289,0.027651021295089,55,0,23,34,55,5
02XH5OG88D,100,mutation,0.3628693730096134,3.335844482930256e-05,0.0774946921443736,57,14,57,0.3612999164355224,0.0055158531063767,0.034514411602717,57,0,14,5,57,7
3UDP4NX5SI,100,mutation,0.2311008412039245,0.0293884424108148,0.0138888888888888,58,11,58,0.2337558450409965,0.02818576463246,0.0366226917070184,58,0,11,19,58,5
9LBFTQZH7I,100,crossover,0.2670571057879939,0.0078826700099241,0.1042614740296188,58,7,58,0.2722555527204501,0.0001361372508229,0.1298340587466931,58,1,7,37,1130,4
40158JR2QN,100,mutation,0.1999712061650539,0.0369966002184978,0.0398644833427442,60,11,60,0.2029557498314863,0.0388717740060451,0.0635034927458355,60,0,13,36,60,4
DYJH4W8YBR,100,crossover,0.2612782425541775,0.0133628370245379,0.0863542587680518,60,7,60,0.2676192181157254,0.0102187067878951,0.0940940058698583,60,0,7,36,1626,4
G6LFBJNUMP,100,mutation,0.1996806915538318,0.0425837922436056,0.021515809799662,62,11,62,0.2025222987434326,0.0388924240384733,0.0643021491163655,62,0,26,3,62,4
QVI8CWO3IR,100,crossover,0.2423264381684371,0.0269393765862635,0.0118408880666049,66,15,66,0.2408154839553302,0.0216894173937517,0.0445746053807207,66,0,30,34,66,5
E72GTCY6WB,100,crossover,0.1994705082254519,0.0394255119826313,0.0294612754011855,68,12,68,0.2027329919489245,0.0367432910339088,0.0693081415731986,68,0,22,16,68,4
BLJRGRPN93,100,crossover,0.20242791141857,0.0351966341329167,0.0396103458565556,69,13,69,0.2038776687891456,0.0379249317784113,0.0630632838991706,69,0,25,30,69,4
ZX1YDUIGKO,100,mutation,0.391045421257176,0.0058683064195547,0.0065505671832561,75,14,75,0.3990573030805555,0.0073605893366291,0.0060244233378561,75,1,14,4,75,7
6CSPZ82AIL,100,mutation,0.3905796954085776,0.004536748496785,0.0229323308270675,79,17,79,0.3989360023003488,0.0085215800487034,0.0009677419354838,79,1,17,11,79,7
3AN4C48DKA,100,crossover,0.2473211223511815,0.0212986720559087,0.0490337106760898,79,12,79,0.2486765924345385,0.0114003475323976,0.0913188654688195,79,0,12,10,79,5
CBYLX4PU8E,100,mutation,0.1760466242379442,0.053945817545986,0.0542894406012812,79,12,79,0.1909001591731529,0.0415906949424246,0.0952355803689313,79,0,25,34,79,3
OOF6KAWQF6,100,crossover,0.3485385995571263,0.0012179307200698,0.0644460249723407,81,16,81,0.3527447951757153,0.0064007452367258,0.0532565801383005,81,0,29,30,81,7
56PBX8M1AO,100,mutation,0.1759720714254586,0.0560870127234668,0.048058356575842,85,12,85,0.1909392199676672,0.0410101995863874,0.0959467120181405,85,0,20,14,85,3
6VA480SDQB,100,mutation,0.3199760443837132,9.34731422821064e-05,0.1241931555230788,89,16,89,0.3133900383543497,0.0122752970545405,0.0422120925432183,89,0,16,23,89,6
OA41PGQ2V2,100,inicialization,0.342157003502464,0.0030446530582744,0.0599612403100775,91,15,91,0.3451478760172767,0.0067670921083224,0.0454216867469878,91,0,15,34,91,7
N8QX5NB8S1,100,crossover,0.2114035638114781,0.0299774274523321,0.0718096457533077,94,17,94,0.2059738260336852,0.0351050551279384,0.0711258123060711,94,0,28,34,94,4
PD92HQ5BPO,100,mutation,0.2077168452932912,0.0313357416277253,0.049174989144594,97,16,97,0.2043180804150354,0.0325689252193492,0.0739498519615099,97,0,16,11,97,4
EIEMXVH9P6,100,mutation,0.2513412441860371,0.017671983632123,0.0754476700366453,98,12,98,0.2542700081466476,0.0149865698307615,0.0822189002464547,98,0,12,13,98,5
RT7F7UO7F5,100,mutation,0.2549164227437943,0.015269828120613,0.0742781281115166,128,16,128,0.2531883567169265,0.015352916702358,0.0835500707714084,128,0,33,8,128,5
EAQ5FJ1F14,100,crossover,0.2558780413580613,0.0166548985486296,0.0592200041160732,143,15,143,0.2543298169943907,0.0160366622205362,0.0701832562802874,143,0,15,8,143,5
8LV32FH8I5,100,mutation,0.2534122267310306,0.0160794653753242,0.0674908728841686,143,19,143,0.2493612880497482,0.0179303466758036,0.0672568710359408,143,0,24,8,143,5
WZWPRO1P0B,100,crossover,0.2864853981301284,0.0044700316071264,0.1014285714285714,145,17,145,0.2854664236032112,0.0146668767361323,0.0457675996607294,145,0,17,5,145,6
N4WOUUZZXR,100,mutation,0.2340166929693616,0.0310344731728606,0.0109841827768013,209,19,209,0.2287771336349825,0.0144343726673111,0.0862557418763083,209,1,19,19,209,5
2QYFGGFPLA,100,mutation,0.2345962702166655,0.0315563938409191,0.0094381035996488,216,20,216,0.2291513778119388,0.0146278711193235,0.0855974140290404,216,1,22,17,216,5
ZD42UC9K1H,100,mutation,0.3603053374221561,0.007273530907989,0.0350678733031674,223,22,223,0.3647401439813453,0.0126546457984067,0.0051194539249146,223,1,26,36,223,7
