id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
RWI5N1ZHI7,100,mutation,0.3765074464336237,0.0202020202020201,0.0548354935194416,71,14,71,0.4121378808640942,0.0002895193977996,0.0865384615384615,71,0,14,2,71,3
2Q2AO1JVOW,101,crossover,0.3619385780741854,0.1549145299145299,0.0422832980972515,2,1,2,0.3423952083795814,0.3236263736263736,0.0242223355430902,2,1,13,4,2,1
742R4VSE3G,101,crossover,0.3221475607628089,0.141025641025641,0.031578947368421,4,3,4,0.3265548282810754,0.3181318681318681,0.0108695652173912,4,1,14,7,4,3
3E7TFBDKI5,101,mutation,0.3142903849491166,0.1485042735042734,0.0525974025974026,5,3,5,0.3294362327706438,0.2681318681318681,0.004079254079254,5,0,13,31,5,3
QJQJV5J6GB,101,mutation,0.2517814527714648,0.1527777777777778,0.0810185185185184,6,4,6,0.3323837800824794,0.2598901098901098,0.0124999999999999,6,0,7,39,6,4
N5X7X55T68,101,crossover,0.2592810559349271,0.1602564102564103,0.0797607178464606,7,4,7,0.3263418811858817,0.2598901098901098,0.0185185185185184,7,0,16,15,7,4
HYYKBYOJS9,101,crossover,0.3018595913574631,0.174145299145299,0.0689189189189189,8,4,8,0.3206703212780801,0.2510989010989011,0.01,8,0,9,22,8,3
KMWSO0BN8I,101,mutation,0.5948125714301928,0.0576923076923076,0.1666666666666666,8,5,8,0.5825452089366375,0.017032967032967,0.0142857142857143,8,0,11,17,8,9
9UXK9TMBWY,101,crossover,0.2658289761924804,0.1506410256410256,0.0737976782752902,13,4,13,0.3214625427472639,0.2170329670329669,0.0054945054945054,13,0,4,23,29,4
XHRV8C9DMR,101,mutation,0.2619341423689252,0.1591880341880341,0.0808080808080808,13,4,13,0.3271407802914799,0.2170329670329669,0.0,13,0,4,12,13,4
C4HYCH3XPD,102,mutation,0.3841519808884404,0.0259740259740259,0.2870605291772381,2,1,2,0.365875516797393,0.0610421836228287,0.1491228070175438,2,1,8,23,2,2
38JFMCN5H0,102,crossover,0.4330659451229366,0.0017316017316017,0.3166666666666666,6,3,6,0.3738810161126353,0.0009925558312655,0.2360248447204969,6,1,3,6,6,4
HUFG0IDTL1,102,crossover,0.4242757456603432,0.1627705627705627,0.0380952380952381,12,7,12,0.3451890929091362,0.0009925558312655,0.2040816326530612,12,0,8,39,12,5
MPSPLZPNIQ,102,crossover,0.4031465031583445,0.1264069264069264,0.0380952380952381,15,7,15,0.3220586663156703,0.0049627791563275,0.2135416666666666,15,0,7,27,15,4
0Q1LQ7P0W0,102,mutation,0.3289949651481207,0.0649350649350649,0.179144385026738,44,12,44,0.285822961037094,0.0751861042183622,0.1541501976284585,44,0,12,4,44,1
ZOJ2V5DX8Y,103,crossover,0.3352016228544253,0.2138660399529964,0.008312020460358,22,6,22,0.3012361309129292,0.0849474266740453,0.1260659992584353,22,0,6,16,22,3
