id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
CHCQ600ZQN,100,mutation,0.3729619891391776,0.1536481751372135,0.0215012396340941,2,1,2,0.3601805882505089,0.1276724552586621,0.03381914695474,2,0,7,8,2,4
KCKDJ2UGRO,100,mutation,0.6263821949541105,0.0487767062544575,0.0005396654074473,4,3,4,0.6059923654701747,0.0199781061850027,0.0924574209245742,4,1,17,22,4,7
L9OWLXYDNN,100,crossover,0.5807188340320102,0.0634283233588638,0.0158963071655662,4,2,4,0.5246808498532981,0.0371199681544509,0.0327777777777777,4,0,4,27,4,7
097HKQFT0B,100,crossover,0.3474190752904562,0.0932121926261279,0.0221412733607855,5,3,5,0.3472625415254374,0.1249606077192284,0.0096566031154478,5,0,5,5,5,5
R4VD7SMW80,100,mutation,0.5433607043604961,0.0697308443672672,0.0297418630751964,5,3,5,0.4919312858499419,0.039176659866315,0.0311839708561019,5,0,18,27,5,7
MNX4851GH2,100,crossover,0.3393481134759228,0.1001038791900523,0.0381656161703978,7,4,7,0.3469067167975075,0.1385530178633626,0.0495499680023121,7,0,15,8,7,4
3MLH71IC1M,100,crossover,0.5947577990864616,0.0529783869267264,0.038327526132404,8,4,8,0.5739137148851138,0.0189000016586223,0.0901689708141321,8,1,22,15,8,7
QKNK5DXMAE,100,mutation,0.4798284288152256,0.0801807807994046,0.0077186963979416,9,5,9,0.4528483071222519,0.0478927203065134,0.0134433962264151,9,0,12,13,9,6
2BGLP9NH3L,100,crossover,0.3320323640665076,0.1091274148035598,0.0273136217104958,9,4,9,0.3404617849581394,0.1230780713539334,0.0534690534690535,9,0,24,13,9,4
MP24ZEHQ3S,100,mutation,0.5285158219678842,0.0650175199230983,0.0095898796164047,10,5,10,0.5302383197700364,0.0324177737970841,0.0257518796992481,10,0,8,31,10,7
5AWNAZM6AE,100,mutation,0.9366275749475522,0.0005116437718999,0.0543722520762091,11,5,11,0.9456952234757616,0.0004892935927418,0.0865087424938184,11,1,10,25,11,1
4GKHPIWPRO,100,mutation,0.4913240950050302,0.0691649353468324,0.0457894736842104,13,5,13,0.5008250541905754,0.0290839428770463,0.0457746478873239,13,0,16,14,13,7
OEJW8AVK1L,100,mutation,0.3210796510105335,0.1376786877112468,0.0022541561003098,14,6,14,0.3405214431801803,0.1207311207311207,0.059108875314409,14,0,19,26,14,4
UID4Z1WIA4,100,mutation,0.5577970489387005,0.058714998914695,0.0162962962962962,14,4,14,0.5458598728078479,0.0203678824368479,0.0804195804195804,14,0,4,31,14,7
F5HD1HSIK1,100,crossover,0.8793539407547094,5.426524853491266e-05,0.057657941763902,14,4,14,0.8790345950206976,0.0017664328009155,0.086368894067325,14,0,4,33,109,1
POZVBLOWLV,100,crossover,0.5931202963258837,0.0492883500263574,0.001466275659824,15,4,15,0.582307044861452,0.0046939012456253,0.158156911581569,15,1,4,25,15,7
NPQ11H3FSD,100,crossover,0.4714971325284195,0.071211510434432,0.0586073500967118,17,5,17,0.457691061505,0.0341759134862583,0.041670437064519,17,0,5,29,17,6
VNQ9ZO333C,100,crossover,0.4124925203946654,0.0767853266767961,0.0022040661219836,18,6,18,0.3988798975969194,0.0744306778789537,0.0127032520325203,18,1,21,18,18,6
Y3OXPOO1DZ,100,crossover,0.327089952968787,0.137950013953921,0.000660309270435,19,6,19,0.3458117635641904,0.1254499013119702,0.0212063144447486,19,0,7,4,19,5
BXTG5XIVV0,100,mutation,0.4843625208659327,0.0654748984464634,0.0699186991869919,19,7,19,0.4914238736963235,0.0353535353535353,0.0321646249471969,19,0,11,10,19,7
2F3JIALAF2,100,crossover,0.6364115609805061,0.0314583397934819,0.0038363171355497,21,9,21,0.6117887663282799,0.0128294438639266,0.0245614035087718,21,0,25,34,21,8
H3LJPYV6LO,100,crossover,0.6298990115510742,0.0314583397934819,0.0037151702786377,22,9,22,0.6092136934236689,0.0175316382212933,0.0067226890756302,22,0,10,4,22,8
MYNI45ECWK,100,crossover,0.5296275545128664,0.0528698564296567,0.0375748502994011,23,9,23,0.5131736653680999,0.0243817485196795,0.0600430416068866,23,1,21,30,23,7
1MRZBT2U4C,100,mutation,0.7772647643615743,0.0128221030109461,0.0555096462511521,23,5,23,0.7868381667723562,0.0021645021645022,0.0864712956031194,23,0,5,39,327,1
X498K7KJ15,100,mutation,0.6447892658444329,0.027256659121213,0.0027359781121751,24,11,24,0.6210727316024864,0.0096946476256821,0.030188679245283,24,0,12,31,24,8
