id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
CFKNFXWBUO,100,mutation,0.3536755703344768,0.1061076604554865,0.0337837837837837,2,1,2,0.4039153799420252,0.1067272437430256,0.0496624022743426,2,0,9,9,2,3.0
SNALFC881Z,100,mutation,0.4096696880569276,0.0626293995859213,0.1378187737384699,4,2,4,0.4910902974950299,0.0487406344651681,0.0990990990990991,4,0,24,22,4,3.0
RCZYQCMAKZ,100,crossover,0.4359283826783504,0.0372670807453416,0.1142857142857142,5,3,5,0.5448020306306627,0.0290530846484935,0.1476793248945148,5,0,7,20,5,5.0
GEYNUEVM2P,100,mutation,0.4080618857731536,0.0538302277432712,0.0061728395061728,6,3,6,0.4694579644874855,0.0329188586003507,0.1526610644257702,6,0,11,35,6,4.0
NT1J7AQR9E,100,mutation,0.429554489773488,0.0372670807453416,0.1207243460764588,6,3,6,0.5347964843940878,0.0290530846484935,0.1604938271604938,6,0,11,19,6,5.0
UWOJ78ZF0N,100,mutation,0.4020522076963139,0.0538302277432712,0.0121951219512195,7,3,7,0.4609687528877687,0.0329188586003507,0.1620879120879121,7,0,14,11,7,4.0
5T14H95Z7S,100,mutation,0.4024728533989582,0.0502070393374741,0.0416068866571018,8,3,8,0.4621508403787745,0.0351107922843934,0.159845310989365,8,0,3,12,323,4.0
O7C849I4H8,100,crossover,0.4488972798756903,0.0372670807453416,0.1008403361344538,12,4,12,0.5392753277827775,0.0257851107922843,0.1666666666666666,12,1,4,11,12,5.0
D4A3T7JMZN,100,mutation,0.4496642986470086,0.0357142857142857,0.1217391304347825,15,7,15,0.5405181805249691,0.0252670173760561,0.1771336553945249,15,1,13,28,15,
XZBUAK5LNR,100,mutation,0.7015564013068107,0.0093167701863354,0.2802197802197802,26,7,26,0.676270213580445,0.0028295871194006,0.286096256684492,26,1,21,22,26,5.0
U7CLTQDJ1Q,100,mutation,0.4608247466394569,0.020703933747412,0.2483912483912484,36,9,36,0.4621508403787745,0.0220787501992667,0.2067307692307692,36,0,13,22,36,4.0
R4XS4F4MNI,100,crossover,0.5271930095368534,0.0300207039337474,0.0635964912280701,40,10,40,0.5320415538936545,0.0067352144109676,0.2615283267457181,40,0,10,32,40,5.0
RID33I18E1,100,mutation,0.4809253485291391,0.0150103519668737,0.2441558441558441,49,10,49,0.4709127027219224,0.0106806950422445,0.2342857142857143,49,0,10,12,49,4.0
UIU9LCVSZW,100,mutation,0.4436119778661626,0.0186335403726708,0.2333333333333333,60,8,60,0.466905401384686,0.0047824007651841,0.3,60,0,8,18,60,4.0
V63X0IW10K,100,mutation,0.4287176391753748,0.0,0.1636363636363636,107,10,107,0.4320275750812905,0.0015941335883947,0.2346163917255826,107,1,10,25,107,3.0
V33GICD1W7,100,crossover,0.4282776834992126,0.0098343685300207,0.0928571428571428,171,11,171,0.4450330061280108,0.0007173601147776,0.17858185001459,171,1,11,9,282,3.0
SYSBEZOVNJ,100,mutation,0.4374370398342072,0.0263975155279503,0.069047619047619,191,13,191,0.4544538095346738,0.0003985333970986,0.1864801864801864,191,1,13,11,312,3.0
L3PMJ1E1S0,100,mutation,0.3769941749603215,0.025879917184265,0.0772077874009919,276,13,276,0.4376497655098975,0.0001594133588394,0.1459523809523809,276,0,13,7,381,1.0
XLLKSA2HQ4,101,mutation,0.3935222554720515,0.1634166822168315,0.008080808080808,2,1,2,0.3335784764439076,0.1153287891822734,0.0376290974405029,2,0,22,3,2,1.0
09TOV47ZN0,101,mutation,0.3967741703000023,0.0829134788828761,0.0751515151515151,3,2,3,0.3500039007762545,0.0784064588710211,0.0366167329538688,3,0,19,33,3,1.0
NT7HHTEIQB,101,mutation,0.5014043178505939,0.0439758661441811,0.0606617647058823,5,3,5,0.4801359594185657,0.0299252200383826,0.0101204819277108,5,0,7,23,5,4.0
T2K5PFZVW0,101,mutation,0.3558207907374696,0.1444299309572682,0.0668642951251647,6,4,6,0.3040649758710727,0.0988021970749785,0.0295229097779877,6,0,13,11,6,1.0
TWGVJXS3LA,101,mutation,0.4169238634487628,0.0770821670709709,0.0133928571428571,7,4,7,0.3952227037220177,0.0535548055500408,0.0631166373834301,7,0,12,12,7,3.0
3NZMH6XSYK,101,mutation,0.3927719796272008,0.0687006282266591,0.0758966513683494,7,4,7,0.3567324790973231,0.0810005955926146,0.0302230624811269,7,1,22,9,7,1.0
YTQOTUQ0EA,101,mutation,0.6846604025765037,0.0185046961497791,0.1884057971014492,7,5,7,0.7108275779830096,0.0170648313590541,0.0999999999999999,7,0,13,17,7,7.0
S5KVH3DW2W,101,mutation,0.3808029648725467,0.1495925856814082,0.011951869498506,8,4,8,0.3311555179442156,0.1212891271259347,0.0232620320855614,8,0,25,17,8,2.0
C985X296VR,101,crossover,0.5024738843640639,0.038875412079368,0.0121457489878541,8,3,8,0.4633559695516761,0.0320164118853815,0.0333333333333333,8,0,3,32,414,5.0
QXMDHLCKCX,101,mutation,0.4501601258279392,0.0635379735025191,0.0122448979591837,8,3,8,0.4251731012827916,0.0390841109125802,0.0503261882572227,8,1,3,31,445,3.0
OGF0DVGZ88,101,crossover,0.350878004720537,0.131025688872302,0.066303690260133,8,4,8,0.3257864622218517,0.1009154479077052,0.0242736470806646,8,0,17,4,8,1.0
E9UYU0OVGO,101,mutation,0.3888108937880816,0.06950923679791,0.075886062187432,8,3,8,0.3658029625164265,0.0805197097037478,0.032987518236343,8,0,3,10,121,1.0
54WY2VG4LF,101,crossover,0.3508429346748976,0.1121944392610561,0.0171428571428571,12,5,12,0.3586944414145339,0.0728343590761696,0.0364372469635627,12,0,16,19,12,2.0
QDCIZ0PYYO,101,mutation,0.4281197148549125,0.0582975679542203,0.0516382699868938,13,5,13,0.4052290058375766,0.0443738556901153,0.0705555555555556,13,1,14,38,13,3.0
3EPYNJQYUX,101,mutation,0.3497637035634909,0.1136717049200721,0.0123426616155444,14,5,14,0.3618771189190702,0.0728343590761696,0.0333714721586574,14,0,5,24,14,2.0
F4DTHLV6VI,101,mutation,0.3524651539503478,0.1186322075013995,0.010877192982456,15,6,15,0.3583426631518701,0.0841065007830939,0.0275341130604288,15,0,13,12,15,2.0
RSPZPROD92,101,crossover,0.3585335538209803,0.0851060521241525,0.0421248036555761,16,6,16,0.3641300220931598,0.0639887057993073,0.0520833333333333,16,0,22,12,16,2.0
R110AA2WED,101,mutation,0.3541548924355316,0.0677987186664178,0.0745578231292516,18,5,18,0.3649040576544573,0.0498091897734542,0.049645390070922,18,0,5,17,18,2.0
WBNGHFHSYA,101,crossover,0.3477292523136447,0.0876407289917273,0.0749611887336438,18,7,18,0.3543954199096234,0.0765358568813006,0.028169014084507,18,0,7,5,18,2.0
KIJAFQ6Z15,101,mutation,0.4158862287253695,0.0502425825713752,0.0923076923076923,18,5,18,0.3972174057060267,0.0532195089669776,0.0491228070175439,18,0,5,6,18,3.0
37WFECFIJB,101,mutation,0.5206227176229743,0.0360608322448217,0.0039215686274509,19,5,19,0.4833404218680772,0.030573754218781,0.0045454545454546,19,1,5,26,19,5.0
JD8DIQJNLD,101,mutation,0.3446303629911325,0.117061640853393,0.0587700908455625,19,7,19,0.323886239273139,0.0714269957867337,0.0344626168224299,19,0,20,32,19,1.0
O8XUDVRUIA,101,crossover,0.5143570688213679,0.0382067549916029,0.0028462998102466,20,5,20,0.4795802521080285,0.0354046720931771,0.0097402597402597,20,1,5,5,20,5.0
ZUYTYO4CI3,101,mutation,0.3397368684164358,0.0668501586116812,0.0545793981989897,23,8,23,0.3559288966217344,0.0570445370921845,0.0497440529960855,23,0,12,7,23,2.0
CGV15VKVMQ,101,mutation,0.3388685632059096,0.0681874727872115,0.0448019549943997,24,8,24,0.3579397385678313,0.0650960668828447,0.0409171075837742,24,0,12,35,24,2.0
GPXPCT8579,101,crossover,0.4961357165432668,0.038875412079368,0.003987240829346,25,7,25,0.4764375423516087,0.0304061059272494,0.0232558139534884,25,1,22,5,25,5.0
65BF9VLQ6G,101,crossover,0.3270937136155581,0.0830689805311936,0.0526685393258427,25,7,25,0.3547253992718854,0.0762005602982374,0.0305672268907563,25,0,8,40,25,2.0
CGUM6H4TH6,101,crossover,0.6734251609216502,0.0041518940100765,0.0138888888888888,26,8,26,0.66538448087552,0.0157677629982573,0.0871794871794871,26,0,16,16,26,7.0
9ZCMMRHX27,101,mutation,0.3237257695983638,0.0852149032779747,0.0262172284644194,27,8,27,0.3468286135779003,0.0679813822160456,0.0288888888888888,27,0,17,37,27,2.0
MTBQQZRKS0,101,mutation,0.3179469753722401,0.0951359084406295,0.0309679427326485,27,8,27,0.3471897231151374,0.0765137978955727,0.0246663208036598,27,0,11,39,27,2.0
70U0V4IRK9,101,mutation,0.4401162584644542,0.0447533743857685,0.1074999999999999,29,6,29,0.4269844190741644,0.0569430657578364,0.0293650793650793,29,0,6,4,29,3.0
MCB2H27SP1,101,mutation,0.6738716065699915,0.0084437395036387,0.0,32,8,32,0.6585438650584097,0.0189883749145214,0.0088691796008869,32,0,23,10,32,7.0
OYD970RR98,101,crossover,0.4902423666500861,0.0410213348261491,0.0030959752321981,38,9,38,0.4722267297916175,0.0320164118853815,0.0227272727272727,38,1,12,21,38,5.0
W0U8KHAZDI,101,mutation,0.3391165339979519,0.0900354543758163,0.0075780771586037,39,10,39,0.3446274459636118,0.0607239759115875,0.055575935436537,39,0,18,10,39,2.0
4WTSVMGGDT,101,crossover,0.3348177693183846,0.0740654350936119,0.0216450216450216,39,9,39,0.35233294306962,0.0592592592592592,0.0602208368985046,39,0,10,33,39,2.0
L6JQ5EYQ5B,101,mutation,0.4862919394800766,0.0250513155439447,0.0964285714285714,39,9,39,0.4692039733506912,0.0270178457194538,0.0217470097861544,39,1,10,12,39,5.0
S9WDO0R6R9,101,crossover,0.4805891368216826,0.0271972382907258,0.0972222222222222,41,9,41,0.4650880150501374,0.0286281516775858,0.0216235377525699,41,1,15,12,41,5.0
OEIMMKFGC9,101,crossover,0.3416290405517774,0.0905641599800957,0.0035822540644805,42,10,42,0.350612708812857,0.0571680674122604,0.0616666666666666,42,0,15,12,42,2.0
