id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
4B974DQEM5,inicialization,0.35148406598860915,0.033377837116154885,0.038461538461538436,113,0,,2,,
X12SO3R4IL,inicialization,0.3477802325902717,0.013796172674677337,0.10518053375196235,108,1,17,2,113,
RX5WESWVLI,inicialization,0.3897575618384662,0.11259457053849575,0.18286445012787722,12,0,4,30,13,2
X29TQ521PJ,inicialization,0.4696699141100894,0.01780151312861593,0.18333333333333335,23,1,10,8,23,6
9NIURIW928,inicialization,0.31992647456322776,0.18513573653760568,0.24180327868852458,60,0,12,11,60,4
YIKCW87EG8,inicialization,0.5871529237921947,1.0,0.5294117647058824,26,1,10,22,26,8
ANG0HXOSNI,inicialization,0.7458674886337182,1.0,0.6666666666666667,12,1,4,30,36,8
RGV3A168MG,inicialization,0.3099479186322238,0.13217623497997327,0.1084967320261438,2,0,15,13,2,3
KCUA7K7VUH,inicialization,0.298439239979886,0.016021361815754337,0.14534883720930236,45,1,14,33,61,7
CHM9X70DWU,inicialization,0.22137942488012807,0.11882510013351133,0.23750000000000004,58,1,14,20,69,4
WYA0VZD6SJ,inicialization,0.3317077111522734,0.027592345349354674,0.13664596273291924,44,1,10,17,96,2
RMVQ7CTKXJ,inicialization,0.46235467080983583,0.1019136626613262,0.3904761904761904,62,0,12,19,64,8
2HBF823FFW,inicialization,0.45156472578799245,0.2910547396528705,0.261238025055269,34,0,14,36,101,1
Q0ADVR5CDE,inicialization,0.3534949729507124,0.03159768580329328,0.13967611336032382,11,1,4,17,103,4
K3SO6M6AIL,inicialization,0.33954718816052676,0.1713395638629283,0.21853546910755145,29,1,8,22,95,1
OHVRTZBDBG,inicialization,0.3322924791996624,0.03159768580329328,0.04112554112554112,59,1,12,15,98,6
F512K3JL16,inicialization,0.34152164044670386,0.04494882064975522,0.23484848484848486,31,1,8,33,89,5
HGP75L1OTJ,inicialization,0.2917892262892353,0.03159768580329328,0.10963455149501666,8,1,3,39,105,5
0W3MGW7MPZ,inicialization,0.4055377079522481,0.020471740097908322,0.06999999999999995,52,0,9,8,52,7
P957TNA6CH,inicialization,0.35652311618831245,0.0792167334223409,0.008333333333333415,51,1,13,8,51,6
COOLVT7RKG,inicialization,0.309099319728226,0.011570983533600365,0.1716791979949875,63,0,16,11,63,3
JZ2KUSR6LW,inicialization,0.3901844541174766,1.0,0.3214285714285714,34,0,10,34,77,7
E22TCOWENY,inicialization,0.4157002053739878,0.04005340453938584,0.06190476190476191,43,1,9,18,112,7
O85W20RMFO,inicialization,0.41905249806888745,0.1299510458388963,0.33333333333333337,62,0,10,8,62,8
APAAXG5M06,inicialization,0.5455658280161287,0.0008900756564307957,0.08333333333333337,12,0,4,31,31,6
KEPUR9U05Z,inicialization,0.298439239979886,0.016021361815754337,0.14534883720930236,47,1,16,29,92,7
577U8PHCTP,inicialization,0.3468824761193434,0.045838896306186025,0.19758064516129037,12,0,4,29,35,5
O2F4TCYCV8,inicialization,0.25548883487216933,0.013796172674677337,0.08771929824561397,46,0,13,8,46,5
IJKAF51P6U,inicialization,0.2862036646680418,0.052959501557632405,0.1233822260569456,37,0,11,37,91,4
17JP4793GQ,inicialization,0.36262256080090194,0.060525144637294165,0.0357142857142857,64,1,14,13,101,6
96ERIQ57H0,inicialization,0.3451900721074346,0.13662661326212727,0.1748251748251748,86,0,17,5,86,2
B4FNJ0A0YN,inicialization,0.28029954147576086,0.1290609701824655,0.23636363636363644,52,0,16,20,67,4
NEP3Q3S80F,inicialization,0.40052105958591,1.0,0.3076923076923077,29,0,8,37,113,7
6JDKBJZ6D6,inicialization,0.29899625535950236,0.06497552291944814,0.12654320987654327,26,1,13,35,26,3
UW2TZM99MW,inicialization,0.3494793751668335,0.07610146862483308,0.15838509316770183,21,0,6,32,67,2
2AU8PC7E2Y,inicialization,0.37032994751219106,0.1579884290164664,0.40051679586563305,73,1,14,10,76,8
4FAY5WSGSI,inicialization,0.33268260924804305,0.24121050289274587,0.3150912106135987,92,0,12,3,98,4
9OEN1U2P55,inicialization,0.6188012329505773,1.0,0.36363636363636365,20,1,5,6,40,8
3JL4M258GY,inicialization,0.2928932188134524,0.12105028927458833,0.08576533650982726,15,1,5,4,65,3
ZBYEOE5O9S,inicialization,0.4958505512581942,0.0008900756564307957,0.02777777777777779,13,0,13,23,13,6
THLXTEVS2I,inicialization,0.5058941155986907,1.0,0.2142857142857143,17,1,10,36,17,7
0FFM3TDAOU,inicialization,0.3528910447227608,0.057409879839786404,0.16233766233766228,51,1,12,16,51,2
O3ORLO4FRJ,inicialization,0.298439239979886,0.016021361815754337,0.14534883720930236,42,1,16,34,42,7
7G7LMRJZTD,inicialization,0.3315129021439531,0.12550066755674233,0.1891025641025641,51,0,16,22,85,2
LOGQGJXJW7,inicialization,0.375,0.03916332888295505,0.02777777777777779,18,0,16,28,18,6
1GUH7HIDEQ,inicialization,0.6188012329505773,1.0,0.4,8,1,3,32,109,7
5W5GSHEFNT,inicialization,0.3046845739761941,0.0022251891410769997,0.16571428571428576,41,0,10,13,41,3
ZPID7W82Z4,inicialization,0.2583801512904337,0.08188696039163329,0.09665955934612658,30,1,7,5,101,4
SS08KR3OWQ,inicialization,0.309099319728226,0.011570983533600365,0.14545454545454545,23,0,9,37,65,3
1YX17HEKA7,inicialization,0.322227914413702,0.10324877614597244,0.09722222222222221,15,1,5,26,53,2
Y1TTXEIKB4,inicialization,0.6218879134436457,1.0,0.5454545454545454,34,0,12,39,53,8
WJE1KHELIU,inicialization,0.3200222123725903,0.11348464619492654,0.09527972027972026,8,0,3,8,107,3
3UC79UO73Y,inicialization,0.3385621722338523,0.18513573653760568,0.2584745762711864,113,0,15,2,113,4
5H2OVV0KNW,inicialization,0.25069476624453413,0.004450378282153972,0.09039548022598864,44,0,17,16,44,5
XAOWTGW8BB,inicialization,0.3200222123725903,0.11348464619492654,0.09527972027972026,8,0,3,25,39,3
ZVA8LKZ5O9,inicialization,0.615739346276515,1.0,0.25,10,1,15,4,10,6
TB1LHF9YXJ,inicialization,0.6218879134436457,1.0,0.5454545454545454,34,0,12,39,48,8
FJ2UJQL033,inicialization,0.5303480898935184,0.00845571873609257,0.2333333333333334,22,0,16,6,22,8
IS10SZ7LAL,inicialization,0.4596972299410882,1.0,0.41666666666666663,26,1,6,12,50,6
WPJOGNL2K6,inicialization,0.3200222123725903,0.11348464619492654,0.09527972027972026,8,0,13,20,8,3
RK8ARE18ZL,inicialization,0.2901364567749658,0.10769915442812639,0.2086267605633803,69,0,9,3,94,2
J6UWUA6V57,inicialization,0.23760246590115464,0.18558077436582107,0.04202898550724643,10,0,17,29,10,5
4K0WXF80G2,inicialization,0.40052105958591,1.0,0.31999999999999995,16,1,5,37,17,6
DGNDD2R3UN,inicialization,0.2537419738008396,0.10992434356920339,0.07936507936507942,11,0,15,3,11,4
JLGPW52KJE,inicialization,0.7204915028125263,1.0,0.7272727272727273,30,1,8,32,80,8
K7LG5JMLB4,inicialization,0.2953835263066864,0.21317311971517577,0.30000000000000004,68,0,15,14,108,4
6ZLR9H58J5,inicialization,0.209265900149319,0.16644414775255895,0.2879120879120879,53,1,15,23,65,4
IC3M5ZGH5S,inicialization,0.5264825768781047,1.0,0.33333333333333337,14,1,8,6,14,6
7P0BJQ1D7A,inicialization,0.40052105958591,0.007565643079661774,0.1293103448275862,57,0,15,11,57,9
K2ESLVCA8N,inicialization,0.36878094135237016,0.23676012461059187,0.2661616161616162,33,1,15,38,48,1
H57L1O033P,inicialization,0.33541993208743714,0.02848242100578552,0.1360869565217392,5,1,15,32,5,2
4RALRSPR8L,inicialization,0.2973265338722402,0.0022251891410769997,0.13246753246753246,45,0,13,21,76,3
GQ79H4XPAC,inicialization,0.5264825768781047,1.0,0.33333333333333337,16,0,5,33,47,7
BXNPNOJ9GV,inicialization,0.3040294546462473,0.04227859368046283,0.16666666666666663,32,0,7,34,112,4
XC1ZYTPQCW,inicialization,0.429912287450431,0.2919448153093013,0.2676962676962677,40,0,16,34,110,1
91VA6YYF28,inicialization,0.4532291765891917,0.041388518024032095,0.09037267080745343,25,0,6,19,78,1
OFQN09VDWH,inicialization,0.4011730216498258,0.2639074321317312,0.26939115929941615,34,0,12,24,34,1
4654HQF282,inicialization,0.27543116269052814,0.014241210502892732,0.12429378531073443,67,0,10,6,71,5
O226WXQUK8,inicialization,0.47188424564305986,1.0,0.3913043478260869,34,0,12,38,37,7
NOUO06HE6R,inicialization,0.298439239979886,0.016021361815754337,0.14534883720930236,48,1,15,22,48,7
AXA9V0NWY8,inicialization,0.3085341657030335,0.07209612817089453,0.14230769230769225,40,0,16,33,109,4
A5EBVPR5ZB,inicialization,0.6950922270587383,1.0,0.75,42,1,13,36,70,9
26VGYS8NJA,inicialization,0.34152164044670374,0.1272808188696039,0.16761363636363635,84,0,11,3,84,4
6A72EPW17P,inicialization,0.23760246590115464,0.18558077436582107,0.04202898550724643,9,0,15,30,9,5
SM25TLUC0C,inicialization,0.3552091747447601,0.11971517578994215,0.30000000000000004,78,0,14,8,78,8
9GJDCPP71B,inicialization,0.33541993208743714,0.02848242100578552,0.1360869565217392,7,1,3,33,84,2
1EL81QPOCD,inicialization,0.6406023557858695,1.0,0.4444444444444444,13,0,4,9,43,8
1ZLCR9VBJG,inicialization,0.38508130618755787,0.00845571873609257,0.13586956521739135,23,0,7,14,23,6
Y4992JRS2R,inicialization,0.32309297167188467,0.01824655095683131,0.1531007751937985,28,1,7,22,30,3
XO54SELLLG,inicialization,0.2884875264621146,0.040943480195816645,0.09523809523809523,5,0,4,26,5,5
JSRK8SW1U8,inicialization,0.3586513233817349,0.011125945705384957,0.12142857142857144,38,0,12,30,108,6
M9GIH72PEI,inicialization,0.44168221414681763,1.0,0.125,11,0,16,31,11,7
2VLSQQHY7P,inicialization,0.27229312792397886,0.09212283044058744,0.09090909090909094,17,1,6,19,17,3
RT6RFLSFK5,inicialization,0.40052105958591,1.0,0.31999999999999995,16,1,5,31,24,5
SDFDMJHF3M,inicialization,0.31563213474038687,0.06364040943480195,0.2047619047619048,25,1,7,28,67,5
4ZGVSSW2VB,inicialization,0.2537419738008396,0.10992434356920339,0.07936507936507942,13,1,6,28,13,4
TMHGQ10RWC,inicialization,0.7428116772998172,1.0,0.5,10,0,10,27,10,8
EOM1MLMPVJ,inicialization,0.541856099753218,1.0,0.3076923076923077,18,0,5,13,55,7
XLPXHOMJKE,inicialization,0.5568813176284861,0.0017801513128615915,0.3382352941176471,61,1,14,19,81,9
BPOOD1MGAG,inicialization,0.3474808431930906,0.12060525144637294,0.3615384615384616,80,0,14,11,84,7
B1OF4SQ7RT,inicialization,0.6172672276901284,1.0,0.2727272727272727,12,0,4,10,109,9
79A0O0RBZJ,inicialization,0.7458674886337182,1.0,0.6666666666666667,16,1,5,37,35,8
7XHDIA3BBR,inicialization,0.40641449647081174,1.0,0.21739130434782605,17,0,6,17,17,6
7851OPKL2S,inicialization,0.42717803813052,1.0,0.33333333333333337,19,1,5,6,78,7
