id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
M7JJXCJ78M,102,mutation,0.26415525262203976,0.11624671624671623,0.076443805415768,2,1,2,0.2702255773664417,0.11924552537463998,0.06678518631798946,2,0,10,22,2,3
V5Z7T5OZDN,102,mutation,0.2411276942244469,0.117023717023717,0.06911732929991354,3,2,3,0.24478884088288078,0.1198221158032389,0.05049246765326293,3,1,23,4,3,4
7L8YO3GFXK,102,crossover,0.2433430328578874,0.09925999925999929,0.10273447482749809,3,2,3,0.24913833861415247,0.10373728580419295,0.09166995908320957,3,0,5,32,3,2
K4W6BAFZER,102,crossover,0.3317531032464116,0.01753431753431754,0.04300925925925925,4,3,4,0.3238805741885741,0.011089696406395691,0.06614863080038746,4,0,11,11,4,6
4LXOWLPI6L,102,mutation,0.2259853399814441,0.1086247086247086,0.09530174394241747,5,3,5,0.22899253547979426,0.11030510103026617,0.07124654627239252,5,0,13,25,5,3
5RJ4CCFLB5,102,mutation,0.3189630196888522,0.008876308876308886,0.15546055547348214,5,3,5,0.3170051771180027,0.00241247656795604,0.14523163709437603,5,1,5,24,5,4
TLMF41YVMV,102,crossover,0.3105972167986939,0.02037962037962038,0.03579067060129415,6,4,6,0.30259597421191176,0.011382256049389625,0.07547773963830107,6,0,11,14,6,6
45N8OMH99T,102,mutation,0.2874791599656261,0.009135309135309147,0.1463211860884024,6,3,6,0.27744127150546694,0.0019570752524888935,0.13425872859402588,6,0,27,14,6,3
BPXQ94S3SO,102,mutation,0.4910827902442839,0.0007622007622007619,0.046610781904899534,9,5,9,0.45425752793714,0.005991224797474347,0.10502935110264944,9,0,22,29,9,7
FLBL52B4K3,102,crossover,0.1982038759464635,0.06744366744366745,0.10596884947248308,9,5,9,0.19846798267100285,0.06180704273374077,0.07687692471062973,9,0,13,3,9,3
8G4AY4PGU3,102,mutation,0.3085649071795131,0.019865319865319867,0.03738317757009346,10,6,10,0.30206044781312424,0.010876673317191977,0.07533783783783787,10,0,13,31,10,5
TICANKK60B,102,mutation,0.1939800434194624,0.056066156066156086,0.11912499865035575,10,6,10,0.19377632768694564,0.050914303429374225,0.08616325532324426,10,0,12,37,10,4
L55H0JEACR,102,crossover,0.4843158713851802,0.004384504384504384,0.027875243664717275,11,4,11,0.44792774695341764,0.005435460648546216,0.10608741635649932,11,0,4,5,11,7
6X8J516WJM,102,mutation,0.28182651863939134,0.021652421652421656,0.05508315147866649,12,4,12,0.2738422242911427,0.007768400662712054,0.1046902165323218,12,0,4,37,1991,6
7GEWELDWFE,102,mutation,0.19881527606657312,0.06496096496096497,0.07992913574974636,12,7,12,0.1994286998560021,0.056433069196603444,0.06286972938955326,12,0,16,7,12,4
PO56TE5L1F,102,crossover,0.18469468688216084,0.05861545861545861,0.12093496893180078,13,6,13,0.18881657316265232,0.06243381457907016,0.07501521084968632,13,0,6,31,13,3
E9PIOH2DTP,102,crossover,0.3255579030736203,0.005890405890405889,0.07555699614452893,15,6,15,0.3168959717354731,0.00022908907637829434,0.10824272071941166,15,0,10,39,15,7
MWKT6J29WP,102,mutation,0.19949384567441208,0.065993265993266,0.0770502992754385,16,7,16,0.19898869681067477,0.056746455119268124,0.0618758434547908,16,1,7,25,16,4
3K17XEGDLL,102,mutation,0.18381076534922425,0.06042846042846042,0.11993608906298314,16,7,16,0.187752911185192,0.06397138905533384,0.07444881730642927,16,0,33,28,16,3
XLIJ6ARB0T,102,mutation,0.23552267002550387,0.031683131683131686,0.09010729585273014,18,8,18,0.2301045673904797,0.033439468021445914,0.04663668455921466,18,0,27,16,18,4
96XMCA07H4,102,mutation,0.2814135676069853,0.011810411810411814,0.09190150949893816,19,8,19,0.2764437839910382,0.00440069206719073,0.10711866917818358,19,0,10,37,19,5
0J6ACZF3T7,102,mutation,0.18248864620993177,0.05888555888555888,0.12166445988653607,22,8,22,0.18566754599675417,0.06413423072780708,0.07512564914370501,22,0,32,19,22,3
UNSIOBAIKF,102,crossover,0.23177676499038613,0.023657823657823658,0.10668813918597131,23,9,23,0.2299150923881067,0.02536720202106152,0.06474164133738602,23,0,11,30,23,5
O13IJS51Q8,102,mutation,0.4039333681812298,0.0033411033411033415,0.02960806124452009,24,9,24,0.3838811762307912,0.004566310576953402,0.11401183233800305,24,0,25,17,24,7
ZR07FLLKZA,102,crossover,0.18811016162826122,0.0802419802419802,0.10190509894128402,25,8,25,0.19365314578242943,0.08513485611123378,0.07587670727205609,25,1,8,19,25,2
RCI3Q09TKD,102,mutation,0.4076240050070504,0.002305102305102306,0.040057915057915006,26,9,26,0.3897823009749294,0.004110909261486238,0.10936132983377078,26,0,16,20,26,7
W2XAOBJD4B,102,crossover,0.4326709474435343,0.0033596033596033593,0.00799625906008894,31,11,31,0.4186937911464321,0.0005178801544794259,0.05774515030964189,31,0,12,24,31,8
QTYPVXWQZP,102,mutation,0.4088222896298457,0.004121804121804121,0.02028782028782028,31,9,31,0.39269224071693953,0.003605326529288591,0.10506296655080061,31,0,13,12,31,7
P9Q5X5J7DE,102,crossover,0.18133730133855097,0.05761275761275761,0.11969174143087191,31,7,31,0.1855113411656243,0.06057432532275278,0.07669302851066662,31,0,7,28,31,3
AR4WRXCI35,102,crossover,0.1802408263570301,0.07404077404077403,0.11437354829894791,33,7,33,0.18850739220402302,0.08366828933137133,0.07768035771907988,33,0,7,36,33,2
LP4A7S7KLI,102,mutation,0.2086751552532744,0.03008103008103008,0.12330056473541107,33,10,33,0.20761137185527145,0.03485208481968509,0.07522505193506202,33,0,28,24,33,4
LT4DQY8IS6,102,crossover,0.49698998369554415,0.0018093018093018093,0.0025528169014084057,35,10,35,0.46177099540553324,0.0019636206546711265,0.052781657355679745,35,0,10,33,35,8
32DNYBSVHM,102,mutation,0.2357127904620464,0.027550227550227548,0.08470637061631037,37,9,37,0.22551200243963743,0.02968736580685867,0.05657887539656492,37,1,12,31,37,4
98ZQHNJX72,102,mutation,0.2882302135930094,0.007673807673807674,0.10582252733282482,37,9,37,0.28510448832095825,0.0005775821562022526,0.11997050768906681,37,0,9,21,37,6
VBQUN3DDM5,102,crossover,0.17899707594731518,0.05683575683575684,0.12192134255112275,38,9,38,0.1831832872381839,0.06160631706681882,0.07831540852907759,38,0,28,15,38,3
6WFYFCSZPY,102,crossover,0.42549158909055684,0.003873903873903874,0.0006578947368420796,39,8,39,0.40842817215544813,0.001955091797282151,0.0864971937933312,39,1,8,15,39,7
ESR88GH6H2,102,mutation,0.17740233429848984,0.06253006253006255,0.11607264410379287,40,9,40,0.18169861461752967,0.06737222135280768,0.07045022522552447,40,0,20,4,40,3
UU5QU6K1ZA,102,mutation,0.2029680492626894,0.03681133681133682,0.11386217232925389,41,10,41,0.2020717508850205,0.039322792855673694,0.06996906892340837,41,0,35,19,41,4
FD50OG2UTV,102,crossover,0.4373874763832276,0.001542901542901543,0.015308988764044962,42,12,42,0.42018939725915105,0.003417890012251802,0.009261686325906515,42,0,31,2,42,8
HC97ULBMUA,102,mutation,0.1970284465844755,0.05411995411995413,0.07744019556486814,42,10,42,0.19474897246029355,0.04830209292209961,0.07250532377553165,42,1,30,34,42,3
Z6G7E9Q4WB,102,crossover,0.20009817343839476,0.05075295075295075,0.08285930320479262,42,10,42,0.19943918396107918,0.0470277229517701,0.07419145332872956,42,1,36,18,42,3
Q10NTXIWRY,102,mutation,0.18525243461510033,0.05823065823065825,0.08332153685603572,45,11,45,0.1857916420822585,0.055108517809543484,0.06777364458101964,45,1,18,5,45,3
HTB669YGQZ,102,crossover,0.22384115238183333,0.020509120509120515,0.13012318941828505,45,10,45,0.2163062358683795,0.02410988976550997,0.09311603429250492,45,1,18,10,45,4
O1JX4BNVIU,102,crossover,0.384152261773717,0.00029970029970029927,0.07680457746478875,46,10,46,0.37146384803507493,0.00014578395769528074,0.08171746870619179,46,0,19,31,46,7
QFK667ME62,102,crossover,0.49235946533194885,0.0005106005106005106,0.025582532181847806,49,10,49,0.45815908233625957,0.0013870302260722417,0.04660385318520599,49,0,10,15,49,8
F112AIILWB,102,crossover,0.400600306694027,0.007229807229807229,0.0013544891640866474,51,7,51,0.38242153385931954,0.006124711332887851,0.13015683147262092,51,0,7,35,1468,7
VKXN7N5HYM,102,mutation,0.5083421854325676,0.0007733007733007734,0.00952380952380949,51,10,51,0.47566656082048575,0.002469203386868773,0.05402310133830701,51,1,10,39,51,8
2ZJ2FY61KO,102,crossover,0.4286789410768488,0.0002368002368002371,0.04942716857610474,54,11,54,0.4123919740717815,0.0005642930063171053,0.054225893200153696,54,0,11,37,54,8
Z9K6MTFFFI,102,crossover,0.17322213465893566,0.06039516039516041,0.11520559056592006,54,11,54,0.17926727360635442,0.07488495463937114,0.06217524252936457,54,1,22,30,54,2
JU6E0CIXM4,102,mutation,0.32431865461046094,0.003552003552003552,0.09738955823293172,55,10,55,0.31657953735210387,0.005004654177642613,0.13877100530087516,55,1,21,3,55,6
FRUK20KZAN,102,mutation,0.1727485531708025,0.058582158582158594,0.1169711648883971,55,11,55,0.17947092642441254,0.0749559623357724,0.06288766725443423,55,1,18,5,55,2
UJA6BGVLBS,102,mutation,0.4032667149717213,0.006711806711806712,0.0009801038910124404,56,7,56,0.384945135061626,0.007277892190085622,0.13581514762516045,56,0,7,19,510,7
LFFTB2L7X3,102,mutation,0.23398877482929203,0.017445517445517443,0.13784414021363012,56,9,56,0.23496305966676378,0.023658257014935624,0.06946372802712597,56,0,9,18,56,5
B62VZKFAYQ,102,crossover,0.35389639975528175,0.0033263033263033256,0.05501431341767471,58,13,58,0.3459010213032404,0.0004601616079633365,0.09476651801732539,58,0,18,2,58,7
SUS7WR2NNJ,102,crossover,0.511263019271528,7.4000074000075446e-06,0.03457600927177906,59,11,59,0.48149266875084085,0.001245014833269763,0.036054421768707434,59,1,27,14,59,9
BKY54XTWT2,102,mutation,0.20969123659927447,0.03788803788803789,0.10055674010897897,60,13,60,0.20671340432650687,0.05119258219487964,0.031948128499852624,60,0,14,26,60,4
YN844IAA9T,102,crossover,0.2725323117990355,0.009220409220409224,0.11469265367316339,60,8,60,0.26944442710240857,0.005432683811256778,0.11350243402510896,60,0,8,8,60,5
TSQSERNF0J,102,mutation,0.17188578549843148,0.0660931660931661,0.11157937806873974,62,10,62,0.18065498900460975,0.0839892123838216,0.05200137805503474,62,1,10,15,62,2
NUIO3JG3DA,102,crossover,0.3480763831362167,0.0020165020165020184,0.08370870870870872,65,14,65,0.34414656005120947,0.0012081225664244272,0.09923952165331473,65,0,33,23,65,7
ONYQY48QVR,102,crossover,0.187357898688842,0.05201465201465201,0.09222141798970429,67,13,67,0.186557909703833,0.049798014839021784,0.07441340369100535,67,1,17,15,67,3
R35K23G762,102,mutation,0.32087198432373243,0.014200614200614201,0.021997587731893642,68,11,68,0.3152748824499504,0.001571689905819601,0.10475940736855904,68,0,11,27,68,6
WR8I18HOQ0,102,mutation,0.2628352992919466,0.006604506604506601,0.1563486486769935,68,13,68,0.26491285262920605,0.008871400103179342,0.10106195383831651,68,0,13,20,68,5
EDWXFD0XB5,102,mutation,0.17156635859571256,0.0660931660931661,0.11178545502878112,69,11,69,0.18093669212788688,0.08269401613382132,0.0545515260802778,69,1,21,3,69,2
LK8GYZCOQD,102,mutation,0.2414704268682316,0.012798312798312804,0.14654005010494953,71,14,71,0.2429059386575796,0.023649728157546644,0.06269113149847094,71,0,14,35,71,5
UFTN8L0WS5,102,mutation,0.496881071706327,0.0012913012913012912,0.004009476945507573,72,10,72,0.46554147268170964,0.0031878092082701353,0.06791958041958035,72,1,10,4,72,8
LKEYTVY3NK,102,mutation,0.1724345464262963,0.07128427128427128,0.10406049374544973,73,12,73,0.1825849571835776,0.08122744935395887,0.05535810313117118,73,1,22,13,73,2
958JWIP0I1,102,crossover,0.18544368095506825,0.06651866651866652,0.06824604730503847,75,11,75,0.1848894459145366,0.059387029035999114,0.06181241276474003,75,1,11,32,75,3
2VXJQJHU41,102,mutation,0.32578818671095044,0.014204314204314205,0.013316662697467674,76,11,76,0.31945227042602353,8.707368357582096e-05,0.10997860504920831,76,0,11,27,76,6
6MMY3081GL,102,crossover,0.3429305068402584,0.006430606430606429,0.04327443953662802,76,14,76,0.33943870720985436,0.00043933532829257965,0.0995657509676201,76,0,19,11,76,7
EYWP7QY1WE,102,crossover,0.2543011574343692,0.007629407629407628,0.15387827539409116,79,16,79,0.25045472938750557,0.008344991091310941,0.10612535612535612,79,0,34,12,79,5
WR3SIKV8AB,102,crossover,0.1844302361064627,0.06315166315166316,0.0726670131736834,80,12,80,0.18534870173597384,0.056696273702537645,0.06650448628838612,80,1,22,27,80,3
WQCD8VWLLL,102,crossover,0.31638552278571885,0.013934213934213936,0.03178082191780818,81,12,81,0.3139367257194503,0.000589879578484033,0.11282771535580516,81,0,12,11,81,6
WOMFHJLT9L,102,crossover,0.2111703614244813,0.023846523846523845,0.144712439879351,82,13,82,0.20800468267183048,0.03276727505188223,0.09558899844317592,82,1,30,12,82,4
IEU3Q0LROS,102,crossover,0.1739874175172169,0.07852147852147853,0.0995249476262135,88,12,88,0.18331330309599336,0.08445314255667771,0.05272735475914764,88,1,24,27,88,2
OC2OCML2B7,102,crossover,0.1751829394582144,0.08188848188848188,0.09636044191423204,89,12,89,0.18294522195139684,0.08553531571747428,0.05139892214195624,89,1,32,34,89,2
Y1YRRJJA42,102,crossover,0.29656971590166936,0.004824804824804831,0.11559454710048467,90,13,90,0.29541037361071765,0.0011039911680706532,0.11503500416568224,90,1,21,17,90,6
RC2PLHIJ75,102,crossover,0.29997761357487807,0.017808117808117807,0.044633569739952694,91,14,91,0.3015342266273138,0.0073167679121376936,0.08898682208377595,91,0,14,25,91,6
QT967GOOS6,102,crossover,0.18732806421087755,0.06395086395086394,0.06527419638031173,101,15,101,0.18430292806425397,0.05635353264281323,0.06463868499948311,101,1,17,36,101,3
WMOTUN4C1Y,102,mutation,0.43132230922249926,0.0036149036149036146,0.0,102,14,102,0.41462707330288184,0.0002755019282159807,0.06333314262829681,102,1,17,21,102,8
FNEA1574KX,102,mutation,0.18075941926284278,0.10443260443260444,0.08171430116122358,103,13,103,0.19034824180388454,0.10521892684362658,0.04411102879575718,103,0,20,20,103,2
L8Q5N4CRWC,102,mutation,0.21487140840309582,0.018174418174418172,0.1415465791438031,109,10,109,0.2155426932055542,0.029107006813366976,0.08928291404377342,109,1,10,20,109,4
YG2AHDKV3S,102,mutation,0.26999653752945285,0.003244903244903244,0.14295900178253118,110,16,110,0.27096534990520726,0.006272478745789865,0.1013295729250604,110,1,27,4,110,6
KZCB72BWPO,102,mutation,0.31166478298876976,0.009520109520109517,0.06173873075281522,111,13,111,0.3147849863349156,0.0033308163286759826,0.10601841455198746,111,0,13,11,111,6
B2ZJWXCXCQ,102,mutation,0.305314359594581,0.013671513671513674,0.03480519480519473,113,11,113,0.3071273392662527,0.002491021394142895,0.10696846750658418,113,0,11,33,113,6
47L5OEX95T,102,crossover,0.26679869157841596,0.003751803751803749,0.15044896463258195,115,16,115,0.2676859387332925,0.010308611745982063,0.09132248041209434,115,1,32,4,115,6
4SQQH9W24R,102,mutation,0.2520727521926821,0.011255411255411255,0.1339224278419585,116,16,116,0.2461791198618325,0.011612336853371291,0.10698815728002975,116,1,25,4,116,5
QBPRBGAE9V,102,mutation,0.3686781159950747,0.0012432012432012432,0.06982960240561309,118,9,118,0.36421905395519905,0.005063364451762073,0.11507321274763138,118,0,9,19,1581,7
ZSO6RWD6A4,102,crossover,0.21767581755437215,0.015832315832315827,0.15280059662324708,122,9,122,0.2163562166193358,0.02660844828943848,0.09313276059175746,122,1,9,10,122,4
DRTQNL4TBD,102,crossover,0.19428035556539613,0.03938653938653938,0.12245058411106902,124,13,124,0.19826094122001647,0.04972224685012437,0.05694597681125757,124,0,13,16,124,4
EVYN40XIOI,102,mutation,0.2931209436316178,0.01805971805971806,0.04806257175660167,129,21,129,0.29575415973822916,0.01089749959686273,0.06738475474075978,129,0,22,38,129,6
K09B5X14LG,102,mutation,0.2959585289214868,0.01832241832241832,0.04377736085053152,130,19,130,0.29965491217988416,0.010128712358730883,0.0702722984562607,130,0,19,35,130,6
LZBMWZEONT,102,mutation,0.37079073046952493,4.070004070003998e-05,0.08513747564407881,136,15,136,0.35849828621607993,0.0033345848935687865,0.0643157683830895,136,1,15,16,136,7
XF916KSDCL,102,crossover,0.18172382712968294,0.051677951677951695,0.10751348660756321,138,9,138,0.1858504629575296,0.0613260548461067,0.06647318960751791,138,1,9,30,1360,3
84JKAZ1AWE,102,mutation,0.2886306466972246,0.018315018315018312,0.051117771606126405,143,20,143,0.29338750124121293,0.01075548420406025,0.07340966921119596,143,0,33,39,143,6
DFR1TIJN4J,102,crossover,0.1987533837164155,0.031871831871831874,0.14011342697839146,147,16,147,0.2024274056086499,0.041942540492733896,0.06925879460512474,147,0,29,6,147,4
C5IFHHBUYY,102,crossover,0.17614935477249638,0.09252599252599253,0.08758334331456863,158,17,158,0.18762051349860287,0.0883264338843967,0.05519211152669157,158,0,20,18,158,2
HQOXF5LHOR,102,mutation,0.33893028107995193,0.0005920005920005932,0.10979971387696708,158,12,158,0.33685170983278756,0.0029406706895105175,0.11772268135904496,158,0,12,3,158,7
G6HRE5796F,102,mutation,0.2986477877979923,0.014959114959114957,0.04041817087845967,163,13,163,0.3081882742646742,0.009410106537329523,0.07978501819969819,163,0,13,34,163,6
V1EJOC2NI4,102,mutation,0.18997072591974284,0.041880341880341884,0.14183966097369327,166,9,166,0.19603341871348678,0.060055453440669995,0.05934665991341537,166,0,9,12,304,3
66LUSHO609,102,mutation,0.30881665854151585,0.0019684019684019713,0.1376940133037694,167,9,167,0.29869493785636025,0.003893125879786352,0.14102038928604466,167,1,9,2,268,6
86RJEB1J5E,102,mutation,0.2356581643257627,0.021881821881821875,0.09878043669586356,169,19,169,0.23717184905398525,0.024034121776612564,0.06507218271924153,169,0,34,18,169,5
8UZJBOH8Q1,102,mutation,0.17982972473997483,0.12315462315462317,0.060490107194282994,178,19,178,0.19201606237189128,0.12239069029596522,0.029380351233519453,178,0,28,39,178,2
OTBTQ4ALUD,102,crossover,0.21828782967397098,0.011928811928811928,0.16382774609604012,183,10,183,0.21895519814993192,0.029370211319301176,0.08546061510050429,183,1,10,7,183,4
WNINBD0UWQ,102,mutation,0.1778736962783476,0.12135272135272135,0.05812751921273962,187,19,187,0.19126100436334437,0.11972076124217454,0.02804710134534294,187,0,24,28,187,2
R3TD34GZ9N,102,mutation,0.1890997513755741,0.04214304214304214,0.14080990561250384,187,9,187,0.19600148596215639,0.058183666762070846,0.06383699633699635,187,0,9,3,1521,3
W1M62PVM5V,102,crossover,0.29132506962302784,0.010537610537610539,0.07626537608388795,196,13,196,0.29722582068833336,0.008023076311257274,0.0866046616800853,196,0,13,9,196,6
9ZHMLZL6KM,102,crossover,0.22667913104007298,0.02808672808672809,0.09124049027895176,198,21,198,0.2250466242457353,0.030690002413864992,0.04841099529940729,198,0,34,18,198,5
2J18TCKWE1,102,crossover,0.3354260142825195,0.010818810818810816,0.03264746227709181,203,11,203,0.34120698555087325,0.000468690465352313,0.11726729966911242,203,0,11,11,203,7
9MFOUCFCH7,102,mutation,0.2716903303091569,0.017005217005217007,0.06858359957401494,211,14,211,0.28311941938420915,0.008963234079251328,0.08685491513741705,211,0,14,2,211,6
3E8I0U5LPU,102,crossover,0.265217348591545,0.014407814407814412,0.08121759342034685,213,17,213,0.275862882237219,0.006707053781586272,0.10550060824033425,213,0,17,5,213,6
64DVRQQ0XY,102,crossover,0.2424139828440025,0.009679209679209676,0.14991733680037234,214,14,214,0.24204383328499568,0.013806038312024087,0.10751614892719186,214,1,14,7,214,5
7ARQ8PBCP3,102,crossover,0.17856145025288572,0.12473082473082475,0.053089541654225136,217,20,217,0.19267759133866091,0.12372753910530698,0.022352628286897658,217,0,29,26,217,2
T72TBUPF75,102,mutation,0.1765463434211234,0.11512561512561514,0.06534744592728947,218,20,218,0.19131004772022253,0.11475299933137725,0.03310606511135439,218,0,23,8,218,2
R6QNCPI53F,102,crossover,0.17732023876729763,0.117985717985718,0.060811416359311976,239,21,239,0.19133665651214982,0.11813300534918034,0.02665223444344822,239,0,30,2,239,2
A24KXN2C34,102,mutation,0.19482527522506599,0.029503829503829487,0.13891565570462605,242,19,242,0.1973422175744869,0.049417389784848664,0.06362350811697493,242,1,33,8,242,4
EI3Q6IK2GV,102,mutation,0.181599947171042,0.04887704887704887,0.10810557989429537,250,14,250,0.18627067071137549,0.05590666018473506,0.06612997943764265,250,1,14,5,250,3
0QY5CP9632,102,mutation,0.2058117719742717,0.01915861915861916,0.1561509356784948,250,14,250,0.20295457791076987,0.04407753167726726,0.06165882965042657,250,1,14,11,250,4
NFDZJSVBCE,102,mutation,0.19445601369463628,0.03261923261923261,0.1316078561917443,255,19,255,0.19694152547890598,0.05258437271344804,0.05387111171751602,255,1,30,4,255,4
41RMXCVDIC,102,crossover,0.2358019256987911,0.031472231472231466,0.06595541506141134,258,22,258,0.2361627431613883,0.028525656092271923,0.05597981563890664,258,0,30,25,258,5
7OGXRC06CX,102,mutation,0.1800446296009629,0.05276205276205277,0.10463017346621861,260,14,260,0.18684621150511382,0.06109597404212502,0.060115470322101516,260,1,14,3,260,3
MZ5QOI1FPY,102,crossover,0.335375205507213,8.88000888000888e-05,0.12177985948477754,261,12,261,0.33239726889141563,0.0007612501083462397,0.10836449733831954,261,0,12,33,648,7
EZU5RPI5Y9,102,crossover,0.20176358092180535,0.04509564509564509,0.09382533779364222,269,13,269,0.20653532241781059,0.05318178942171768,0.046834484165137136,269,0,13,9,269,4
EQLXOJ6KYV,102,crossover,0.17990224660176246,0.0776075776075776,0.08083929909943188,275,12,275,0.18260992290118394,0.06645288986448439,0.0745647386178655,275,1,12,34,2015,3
IM2TOKEB01,102,mutation,0.24333131951886677,0.0055130055130055144,0.1714006612563871,277,19,277,0.2417134919249453,0.01700237637768319,0.09698873517476936,277,1,26,9,277,5
SJPODNXLZD,102,mutation,0.18310693503583986,0.04498834498834499,0.11865907653383934,289,20,289,0.18781136752841054,0.05648325061333395,0.0684888242268602,289,1,24,7,289,3
WVZ6F1JY7O,102,mutation,0.25009531434461785,0.004739704739704753,0.17171180186378132,289,19,289,0.24608961466051493,0.01747860397282111,0.08954692730726099,289,1,22,13,289,5
NTRXQPTIF7,102,mutation,0.19507048202555322,0.02092352092352094,0.15953258116509328,303,19,303,0.1965831269858025,0.05184494061237592,0.05583329306383522,303,1,27,8,303,4
EO3KRSYAER,102,mutation,0.2963315063510553,0.0006512006512006535,0.16040615236721945,303,11,303,0.291683824004233,0.012798641412521593,0.07240380121514256,303,1,11,5,1186,6
4RCB1MG4DC,102,mutation,0.20886049043683075,0.0176009176009176,0.161570970426262,305,14,305,0.20622971003059887,0.04556492473680046,0.05455117826947298,305,1,14,16,305,4
FSVEDULFA9,102,mutation,0.1955073080409978,0.020146520146520144,0.1604112120745418,319,19,319,0.19772305786514344,0.05371672729097507,0.04777086986556145,319,1,25,8,319,4
76ZKTN1HND,102,mutation,0.29749145549978306,0.0001295001295001305,0.16481164383561653,322,11,322,0.29062727317382986,0.01008705979938937,0.08262336667783465,322,1,11,2,2182,6
V06GNJRYIA,102,mutation,0.24245381872478022,0.01694231694231694,0.11440025402873699,334,14,334,0.24718317958753877,0.0200273439134801,0.08625919542307992,334,1,14,8,334,5
83GY2MA3PB,102,mutation,0.2252613476850085,0.03404003404003404,0.07874604544147257,341,14,341,0.2364710144176585,0.035524277789248764,0.034564680032957984,341,0,14,3,341,5
YVG3MVF1KK,102,crossover,0.24849063764575197,0.03638583638583638,0.054445409788589694,363,16,363,0.2439299214202949,0.03140860823526635,0.04972875226039786,363,0,16,22,363,5
CYIXN9ZZCR,102,crossover,0.2429651996761033,0.03974173974173974,0.05689542093966138,381,25,381,0.2373346426205618,0.0340577110093863,0.048259807277890254,381,0,35,27,381,5
BV1IDNFK96,102,crossover,0.20411249161218903,0.018599918599918594,0.15847259028004657,385,23,385,0.20488361679323108,0.04538125678465646,0.0666955937517496,385,1,35,8,385,4
8X1TGZZ9G2,102,mutation,0.2834602574151066,0.0016835016835016828,0.15397395002658154,407,16,407,0.29112276153273997,0.01088520217458095,0.09163845633039946,407,1,16,11,407,6
FSZ3NCRQWR,102,mutation,0.21138136068547508,0.054959854959854976,0.06922744364681988,412,20,412,0.21476213060199023,0.05171522264185524,0.0487246963562753,412,0,20,9,412,4
DV8GK9C985,102,mutation,0.23987971786902362,0.008332408332408336,0.16496743132257152,413,22,413,0.2329267774015662,0.018022070699467457,0.09048805733008969,413,1,34,33,413,5
D61CWT8C6S,102,mutation,0.19537220252777587,0.11618751618751619,0.04911499499053762,425,27,425,0.20039895839711197,0.10959680917593984,0.021783631530923886,425,0,28,37,425,2
TFBFUBN4VR,102,mutation,0.24944672746854513,0.041303141303141305,0.049971727452643444,456,28,456,0.2464673005617749,0.031366955675924846,0.05043859649122806,456,0,32,25,456,5
O0ATXFYHCF,102,crossover,0.19414954605243306,0.11255781255781258,0.051472179593121614,556,20,556,0.20472513791556646,0.11735568925365955,0.018038098118975054,556,0,20,39,1743,2
M41Q2IDPNH,102,mutation,0.20103045829072685,0.08931438931438933,0.05830810433162559,581,15,581,0.20571823459115712,0.08878461203715328,0.02367446751806157,581,0,15,18,1300,3
M9GK71ATHQ,102,mutation,0.20442776887756342,0.09910459910459911,0.05132238427120972,637,29,637,0.20678300922814752,0.10274873172915444,0.03514080958512966,637,1,29,34,637,2
JB7KM6NN3V,102,mutation,0.2776443548050095,0.0019129019129019154,0.1614852225963337,697,15,697,0.2869796697927707,0.016538446204827063,0.09614634269933364,697,1,15,9,1973,6
AL7V38AA2V,102,crossover,0.20437519864678255,0.1117919117919118,0.0486148174568668,777,24,777,0.21169546730388678,0.10768713850289198,0.015480972358594358,777,0,24,28,1804,2
XFQBFDPEPL,102,crossover,0.21121140527411242,0.1048026048026048,0.047741273100616044,865,25,865,0.2173650182412632,0.10365100550269978,0.025103820918564224,865,0,25,24,1563,2
JUYZRHDYST,102,crossover,0.2844951136090389,0.00018870018870018046,0.1646900202242142,1029,28,1029,0.2877917212901774,0.011094456698891864,0.10906180305663116,1029,0,28,4,1029,8
TIM3M126X2,102,mutation,0.2706561677514331,0.0018648018648018683,0.17402190923317684,1186,30,1186,0.2784016505832767,0.021017683098204648,0.07992501493521209,1186,0,30,3,1186,8
O5MZH0UPPZ,102,mutation,0.273127227034788,2.9600029600035382e-05,0.17262331455879842,1321,28,1321,0.27691999370591425,0.024456399390127184,0.06275436074153529,1321,0,28,3,1321,8
