id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
XM8K3J3380,100,mutation,0.3335522560829637,0.2626262626262626,0.019480519480519487,2,1,2,0.32549782596061716,0.10596409959467279,0.18749999999999994,2,0,7,26,2,3
N8BZJVTEM2,100,crossover,0.36873217893377774,0.28535353535353536,0.018207282913165257,3,2,3,0.36528422735323396,0.09496236247828604,0.19232649071358743,3,0,13,35,3,2
QTXXOX8II0,100,crossover,0.32785242395922753,0.09217171717171718,0.054187192118226535,3,2,3,0.3437086100339638,0.1360741169658367,0.11204481792717091,3,1,15,24,3,5
WTDV1JBCO7,100,crossover,0.3523023891336705,0.11489898989898989,0.044816053511705645,4,2,4,0.36336562427874797,0.12507237984944986,0.12857142857142856,4,0,6,3,4,3
QP0KRGXDYD,100,crossover,0.3285971860450564,0.2727272727272727,0.01315789473684209,5,3,5,0.3357836095600043,0.15228720324261724,0.15121951219512192,5,1,11,15,5,2
L4BTP6NVI2,100,crossover,0.34710918484763553,0.19949494949494956,0.02777777777777779,5,3,5,0.33940658108091415,0.08048639258830337,0.20073891625615758,5,0,16,2,5,2
D11BFFUFSN,100,crossover,0.31851980253479795,0.17676767676767674,0.03076923076923077,5,3,5,0.31015709588702445,0.09148812970469022,0.19374999999999998,5,1,12,6,5,4
YUN334WTUR,100,mutation,0.7549744432673244,0.02146464646464646,0.16666666666666663,5,3,5,0.6289236001209841,0.026346265199768387,0.25,5,0,10,17,5,8
BWTMV4FXOR,100,crossover,0.3204496943667975,0.1477272727272727,0.04887218045112779,6,4,6,0.3373847763496026,0.1259409380428489,0.15435835351089588,6,1,15,36,6,2
FZK6CP20RU,100,mutation,0.33345842324280606,0.0744949494949495,0.08777777777777784,6,4,6,0.34382851345872734,0.09322524609148808,0.18387413962635202,6,1,9,7,6,3
B0L70CW7QR,100,crossover,0.3057008699045619,0.05176767676767674,0.10100334448160542,6,4,6,0.3170350633239417,0.10422698320787493,0.17473118279569894,6,1,7,21,6,4
WERNPURO5D,100,crossover,0.5756032865861556,0.02146464646464646,0.0,7,5,7,0.5647161527268584,0.007237984944991317,0.1842105263157895,7,0,6,26,7,8
TU0ON8H18F,100,mutation,0.46096697886523585,0.08838383838383837,0.015151515151515138,7,4,7,0.4604332585572364,0.061667631731326,0.06521739130434784,7,0,8,38,7,5
KNIQ84ZVTP,100,crossover,0.3607579535135007,0.016414141414141437,0.11904761904761896,7,4,7,0.3839046091968483,0.12796757382744645,0.019189765458422214,7,0,7,9,7,5
PIU4J7R6Y0,100,crossover,0.37791329389007255,0.2462121212121212,0.010111223458038388,8,5,8,0.33690995348419017,0.13520555877243778,0.19773674806432406,8,0,12,36,8,4
5ANNFEPIUS,100,mutation,0.3425274387052074,0.2095959595959596,0.02112676056338031,8,3,8,0.3302977809209843,0.1187029530978575,0.17023445463812437,8,0,3,17,15,4
AQMQVKK3G8,100,mutation,0.3280385370947463,0.023989898989898978,0.1752701080432173,8,4,8,0.3470742290902875,0.09612044006948467,0.08941176470588236,8,0,4,5,8,5
UTH7XGXR0G,100,mutation,0.4221083802280684,0.17424242424242425,0.007017543859649089,9,4,9,0.40793666882785584,0.021134916039374646,0.261904761904762,9,1,13,38,9,4
7RGNKHOY3P,100,crossover,0.5415991578513935,0.02146464646464646,0.015151515151515138,9,6,9,0.5970054650882,0.007237984944991317,0.1470588235294118,9,0,17,18,9,8
XSTLG54DE5,100,mutation,0.44080823088438237,0.07828282828282829,0.0241758241758242,9,6,9,0.4430674255198266,0.04892877822814129,0.11688311688311687,9,0,14,34,9,5
X2NBPMED6F,100,mutation,0.30148016762396845,0.06186868686868685,0.09307065217391308,9,4,9,0.3110701907996153,0.11696583671105965,0.16575091575091577,9,0,4,35,9,4
EF5Q6TVG3S,100,mutation,0.42699894731424193,0.07702020202020202,0.0026881720430107503,10,6,10,0.46247873962194996,0.04169079328314998,0.0921409214092141,10,0,9,35,10,5
56OS1VAX2K,100,crossover,0.3198977378883887,0.09217171717171718,0.04600484261501203,10,6,10,0.32549782596061716,0.12970469021424436,0.12499999999999994,10,1,8,8,10,5
6HTDH5I1ZC,100,mutation,0.31732784164185124,0.09343434343434343,0.08333333333333337,10,5,10,0.33940658108091415,0.02605674580196876,0.17445298639858076,10,1,10,36,10,4
