id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
CHCQ600ZQN,100,mutation,0.37296198913917766,0.15364817513721352,0.021501239634094116,2,1,2,0.3601805882505089,0.12767245525866217,0.03381914695474009,2,0,7,8,2,4
KHK92ZTI4U,100,crossover,0.4714971325284195,0.08279326490743899,0.03491447716452123,3,2,3,0.49708074714614203,0.04916156640294572,0.09242830616876418,3,1,15,4,3,6
KCKDJ2UGRO,100,mutation,0.6263821949541105,0.0487767062544575,0.0005396654074473206,4,3,4,0.6059923654701747,0.019978106185002738,0.09245742092457421,4,1,17,22,4,7
L9OWLXYDNN,100,crossover,0.5807188340320102,0.06342832335886384,0.015896307165566226,4,2,4,0.5246808498532981,0.037119968154450914,0.032777777777777795,4,0,4,27,4,7
YP70KRM0Z7,100,mutation,0.3863766323717187,0.1391283450649633,0.022624266290214745,4,2,4,0.38588610442876115,0.11227214675490532,0.06321699733983593,4,0,7,31,4,4
097HKQFT0B,100,crossover,0.34741907529045624,0.09321219262612795,0.02214127336078553,5,3,5,0.34726254152543745,0.1249606077192284,0.009656603115447804,5,0,5,5,5,5
R4VD7SMW80,100,mutation,0.5433607043604961,0.0697308443672672,0.02974186307519644,5,3,5,0.49193128584994195,0.039176659866315036,0.031183970856101917,5,0,18,27,5,7
MNX4851GH2,100,crossover,0.33934811347592286,0.10010387919005237,0.03816561617039782,7,4,7,0.3469067167975075,0.13855301786336266,0.04954996800231215,7,0,15,8,7,4
5T14H95Z7S,100,mutation,0.3765906116098515,0.14815188067847063,0.013889250814332232,8,3,8,0.3757373749030546,0.09679720024547611,0.06733167082294267,8,0,3,12,710,4
3MLH71IC1M,100,crossover,0.5947577990864616,0.052978386926726406,0.03832752613240409,8,4,8,0.5739137148851138,0.01890000165862235,0.09016897081413211,8,1,22,15,8,7
E8H8SCJNVL,100,mutation,0.8235254268454878,0.004713324444168811,0.05555555555555558,8,3,8,0.8188024634160848,0.004801711698263422,0.24242424242424243,8,0,3,20,294,9
QKNK5DXMAE,100,mutation,0.4798284288152256,0.08018078079940462,0.007718696397941649,9,5,9,0.4528483071222519,0.04789272030651341,0.013443396226415105,9,0,12,13,9,6
