id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
1N4YINISTX,106,crossover,0.34054200259319956,0.09630156472261736,0.1391039639997353,2,1,2,0.3683359454984203,0.15114807220070378,0.04620032293348614,2,1,7,4,2,2
MDJJAJ8MQB,106,mutation,0.3319544969757815,0.08290659080132767,0.14211764705882352,2,1,2,0.35389732374729677,0.1325029746082378,0.06795163290615958,2,0,10,24,2,1
W735KD0RE6,106,mutation,0.39982848574907703,0.08245614035087719,0.09302325581395349,3,2,3,0.441678271786932,0.07954229006860586,0.08956916099773243,3,1,15,23,3,4
H00234FRM4,106,mutation,0.4217870726084956,0.0709815078236131,0.065086782376502,4,3,4,0.46896954119726253,0.06137819295714032,0.1425339366515837,4,1,21,37,4,4
IKFXMODO2M,106,mutation,0.3525505754462295,0.07899478425794215,0.12147725624788513,5,3,5,0.35670271607238646,0.1319460266828688,0.055997388569054535,5,0,15,2,5,1
P138M3DWUE,106,crossover,0.5589038014201378,0.025723091512565202,0.2955465587044534,6,4,6,0.570666814856801,0.028315738842054634,0.19601990049751244,6,0,14,30,6,5
MC545W7TT2,106,crossover,0.38517243590703487,0.07271218587008062,0.08045697617890135,7,3,7,0.4118250184118516,0.07577023366497052,0.10416666666666669,7,0,22,17,7,3
JMNWLFG6TZ,106,crossover,0.3627773500811402,0.09293504030346136,0.08388520971302432,8,3,8,0.35994970099527324,0.05755550492392597,0.10021367521367519,8,1,3,15,300,2
M557ZCWYU2,106,crossover,0.7922018862874263,0.005500237079184447,0.11111111111111105,9,7,9,0.8184751648655355,0.005328979013189539,1,9,0,11,19,9,9
8J66ELM0Y9,106,mutation,0.34249580315733785,0.06275486012328119,0.1258373205741627,9,4,9,0.3549361979152239,0.13074352548036755,0.05718527619925254,9,0,4,25,9,1
DAJFPFY2MJ,106,crossover,0.547377969547169,0.031223328591749637,0.23333333333333334,10,4,10,0.5594930841958563,0.034695324169008376,0.13194444444444442,10,0,4,15,10,4
HE209DRI1U,106,crossover,0.3787551356861574,0.07821242294926505,0.06349206349206349,11,4,11,0.40481024435781254,0.08214981899192425,0.07606263982102912,11,0,4,30,11,3
ESI2RDH0KK,106,mutation,0.7290581181116618,0.01901375059269796,0.16666666666666663,11,5,11,0.7242470470737896,0.0059112427533480165,0.3533333333333334,11,0,9,25,11,6
2WQ3CDA1TW,106,mutation,0.38070567382668974,0.08722143195827407,0.04957264957264956,12,4,12,0.4068086487313537,0.07899800005063162,0.09576023391812866,12,0,13,28,12,3
YMG30OPI9Z,106,crossover,0.3588982721095043,0.10519203413940256,0.062090191355546664,12,5,12,0.3564036888243647,0.06342877395508975,0.08801313628899837,12,0,12,38,12,2
PELGOMW0YD,106,crossover,0.8072181567231855,0.0012565196775723092,0.13333333333333341,12,4,12,0.8717711084221786,0.008518771676666414,1,12,0,4,13,180,8
NLGHKSV2AL,106,crossover,0.5426309891510326,0.03672356567093409,0.17557932263814618,13,4,13,0.5542824460780515,0.0394800131642237,0.12171052631578949,13,0,4,37,50,4
QF9562BAD2,106,crossover,0.545733859409981,0.025723091512565202,0.24876847290640391,13,5,13,0.5592622710200474,0.028860028860028863,0.2147887323943662,13,0,18,16,13,5
LUB0I1DPGV,106,mutation,0.3831525199264275,0.09272166903745852,0.046994755949979816,14,5,14,0.40747628130223534,0.0821877927141085,0.09054834054834054,14,0,17,23,14,3
Y11VQ0N3WD,106,mutation,0.37826845730026504,0.08172119487908962,0.05238095238095236,14,4,14,0.4086278597882923,0.08055492266018582,0.07482993197278914,14,1,4,21,14,3
APJZW71U8B,106,mutation,0.8240150595997718,0.0012565196775723092,0.08333333333333337,14,6,14,0.8517114299288598,1,1,14,0,6,13,14,9
