id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
HHQ8NB6BSZ,101,crossover,0.3545027756320972,1,0.0,2,1,2,0.1229419806929708,1,0.0,2,0,3,30,2,8
XUYPYK4EGA,101,crossover,0.3545027756320972,1,0.0,2,1,2,0.1229419806929708,1,0.0,2,1,4,25,2,7
77TRN8PGXJ,101,mutation,0.3545027756320972,1,0.0,2,1,2,0.1229419806929708,1,0.0,2,1,3,20,2,8
SDMWOMDE2F,101,mutation,0.3545027756320972,1,0.0,2,1,2,0.1229419806929708,1,0.0,2,0,3,24,2,8
0NNE6YBZDX,101,mutation,0.3545027756320972,1,0.0,2,1,2,0.1229419806929708,1,0.0,2,1,3,37,2,8
ONO4JX1KRH,101,crossover,0.4755955759149243,0.20000000000000007,0.11111111111111105,2,1,2,0.19560033346015626,0.5192307692307692,0.033333333333333326,2,0,4,19,2,3
OPRYEV31Z6,101,mutation,0.4522774424948339,0.6,0.20454545454545459,2,1,2,0.35831105208025216,0.21153846153846156,0.16666666666666663,2,0,3,12,2,2
L5SWQ7QGGJ,101,crossover,0.4522774424948339,0.6,0.20454545454545459,2,1,2,0.35831105208025216,0.21153846153846156,0.16666666666666663,2,0,4,14,2,1
8SUST56AET,101,mutation,0.4522774424948339,0.6,0.20454545454545459,2,1,2,0.35831105208025216,0.21153846153846156,0.16666666666666663,2,1,3,9,2,1
MY87WSEW5D,101,mutation,0.4522774424948339,0.6,0.20454545454545459,2,1,2,0.35831105208025216,0.21153846153846156,0.16666666666666663,2,0,3,2,2,2
OO8257B7V0,101,crossover,0.4522774424948339,0.20000000000000007,0.06666666666666665,3,2,3,0.15983194958319413,0.5961538461538461,0.11111111111111116,3,0,3,38,3,4
XBKLWU1BYA,101,mutation,0.4522774424948339,0.20000000000000007,0.06666666666666665,3,2,3,0.15983194958319413,0.5961538461538461,0.11111111111111116,3,0,4,10,3,4
M2OQ90355G,101,crossover,0.4522774424948339,0.20000000000000007,0.06666666666666665,3,2,3,0.15983194958319413,0.5961538461538461,0.11111111111111116,3,0,4,12,3,4
9TDUK1BIYK,101,crossover,0.17841616374225078,1,0.1428571428571429,3,2,3,0.08013378899220014,1,0.0,3,0,3,37,3,6
1W48GTUR8I,101,crossover,0.17841616374225078,1,0.1428571428571429,3,2,3,0.08013378899220014,1,0.0,3,0,4,23,3,6
9XQVGC6817,101,crossover,0.3675444679663241,0.4,0.15000000000000002,3,2,3,0.35831105208025216,0.21153846153846156,0.16666666666666663,3,1,4,6,3,4
VY3S2S2ZF3,101,crossover,0.3675444679663241,0.4,0.15000000000000002,3,2,3,0.35831105208025216,0.21153846153846156,0.16666666666666663,3,1,4,6,3,4
7Z2XEOEP17,101,mutation,0.3675444679663241,0.4,0.15000000000000002,3,2,3,0.35831105208025216,0.21153846153846156,0.16666666666666663,3,1,4,5,3,4
2DZ2L37JTL,101,mutation,0.2583801512904337,0.39999999999999997,0.16666666666666674,3,2,3,0.12552536780479384,0.34615384615384615,0.02777777777777779,3,0,3,11,3,3
OR119MISH6,101,crossover,0.2583801512904337,0.39999999999999997,0.16666666666666674,3,2,3,0.12552536780479384,0.34615384615384615,0.02777777777777779,3,0,4,12,3,3
CWKJYMQMOZ,101,mutation,0.552786404500042,0.0,0.0,4,3,4,0.15983194958319413,0.5961538461538461,0.11111111111111116,4,0,3,18,7,4
RWHPJUPKJM,101,crossover,0.0871290708247231,1,0.0,4,3,4,0.0,1,0.0,4,1,3,10,4,9
QVZO8MFV9X,101,crossover,0.0871290708247231,1,0.0,4,3,4,0.0,1,0.0,4,1,3,17,4,9
1AXLF8U09B,101,mutation,0.0871290708247231,1,0.0,4,3,4,0.0,1,0.0,4,1,4,6,4,7
879ZXKYPU9,101,mutation,0.198959010620139,0.2,0.08333333333333337,4,3,4,0.09251478702696991,0.4230769230769231,0.125,4,0,3,16,4,4
NLNANEWVBW,101,mutation,0.0,1,0.0,5,4,5,0.029857499854668124,1,0.1428571428571429,5,1,4,10,6,2
